Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.6967,0.4,0.95
2,0.2956,0,0.7
3,0.3513,0.1,0.6
4,0.0997999999999999,0,0.3
5,0.1567,0,0.35
6,0.0542,0,0.15
7,0.4027,0.15,0.7
8,0.3078,0.1,0.6
9,0,0,0
10,0.2086,0,0.5
11,0.1043,0,0.25
12,0.1521,0,0.3
13,0.0992,0,0.25
14,0,0,0
15,0.0992,0,0.25
16,0.0516,0,0.15
17,0,0,0
18,0,0,0
19,0,0,0
20,0.1019,0,0.25
21,0,0,0
22,0,0,0
23,0.1494,0,0.3
24,0,0,0
25,0.045,0,0.15
26,0.1544,0,0.3
27,0.1975,0,0.45
28,0.1942,0.05,0.35
29,0.2527,0.05,0.45
30,0,0,0
31,0.0473,0,0.15
32,0.1953,0.05,0.4
33,0.1392,0,0.4
34,0.1437,0,0.3
35,0.2381,0.05,0.5
36,0.1437,0,0.3
37,0.0473,0,0.15
38,0.1015,0,0.25
39,0.1015,0,0.25
40,0.0499,0,0.15
41,0.0966,0,0.25
42,0.0992,0,0.25
43,0.0492,0,0.15
44,0.0499,0,0.15
45,0.202,0,0.5
46,0.0516,0,0.15
47,0.247,0,0.55
48,0.303,0,0.75
49,0,0,0
50,0.0923,0,0.25
51,0.101,0,0.25
52,0.0516,0,0.15
53,0.1465,0,0.35
54,0.5129,0.25,0.85
55,0.295,0.05,0.6
56,0.0516,0,0.15
57,0.0497,0,0.15
58,0.2053,0,0.4
59,0.1019,0,0.25
60,0.0502999999999999,0,0.2
61,0.4518,0.2,0.8
62,0.1942,0.05,0.4
63,0.0499,0,0.15
64,0.4061,0.1,0.75
65,0,0,0
66,0.2035,0.05,0.4
67,0.0473,0,0.15
68,0.2998,0.05,0.6
69,0.4075,0,0.85
70,0.4042,0.1,0.75
71,0,0,0
72,0.1535,0,0.35
73,0.1994,0,0.45
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
