Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.8015,1.6,1.95
2,2.6003,2.3,2.95
3,3.194,2.75,3.7
4,3.4989,2.9,4.15
5,3.8991,3.2,4.65
6,3.9469,3.25,4.65
7,3.9469,3.25,4.65
8,4.2493,3.4,5.1
9,4.4464,3.6,5.3
10,4.5453,3.6,5.4
11,4.5969,3.65,5.45
12,4.6485,3.7,5.5
13,4.8993,3.9,5.8
14,5.1972,4.2,6.05
15,5.3463,4.4,6.2
16,5.6395,4.7,6.5
17,5.9371,4.9,6.9
18,6.1386,5,7.15
19,6.4417,5.15,7.65
20,6.4909,5.15,7.7
21,6.8019,5.6,7.95
22,8.0068,6.35,9.8
23,8.4672,6.8,10.3
24,9.2182,7.35,11.2
25,9.8047,7.95,11.75
26,10.3023,8.3,12.3
27,10.736,8.55,12.85
28,11.5227,9.05,13.85
29,12.0717,9.55,14.55
30,12.9161,10.35,15.5
31,13.1215,10.55,15.75
32,14.2574,11.4,17.1
33,15.1967,12.35,18.15
34,15.939,13,19.1
35,16.338,13.4,19.5
36,16.9816,13.95,20.1
37,17.1878,14.25,20.35
38,17.4846,14.45,20.75
39,17.6313,14.5,20.9
40,17.7734,14.5,21.15
41,17.9234,14.7,21.3
42,17.9755,14.75,21.4
43,18.0701,14.75,21.6
44,18.1645,14.85,21.7
45,18.1645,14.85,21.7
46,18.2123,14.85,21.7
47,18.4669,15.05,21.9
48,18.6662,15.3,22.1
49,18.714,15.3,22.15
50,18.8096,15.3,22.35
51,18.8585,15.35,22.35
52,19.0564,15.65,22.65
53,19.2548,15.9,22.7
54,19.4472,16,23.05
55,20.2343,16.85,23.7
56,20.679,17.1,24.2
57,21.0656,17.25,24.9
58,21.4659,17.65,25.4
59,21.7519,17.8,25.75
60,22.3393,18.25,26.45
61,22.9901,18.9,27.05
62,23.6842,19.6,27.85
63,24.2821,20.15,28.6
64,24.6815,20.5,29.25
65,24.8776,20.6,29.65
66,25.0279,20.7,29.85
67,25.178,20.9,29.95
68,25.8286,21.55,30.7
69,26.2291,21.85,30.85
70,26.5293,22.2,31.15
71,26.8263,22.35,31.35
72,27.0225,22.35,31.65
73,27.1698,22.4,32.05
74,27.2214,22.45,32.1
75,27.3246,22.55,32.15
76,27.3762,22.7,32.25
77,27.4278,22.8,32.3
78,27.531,22.9,32.4
79,27.6342,23,32.5
80,27.6858,23.05,32.5
81,27.6858,23.05,32.5
82,27.6858,23.05,32.5
83,27.6858,23.05,32.5
84,27.6858,23.05,32.5
85,27.6858,23.05,32.5
