Week,Mean,LowerBound,UpperBound
0,0,0,0
1,170.162,165.5,174.4
2,182.8632,178.45,186.35
3,161.5502,156.3,166.5
4,176.2804,171.55,181.8
5,32.407,29.3,35.4
6,31.9425,30,34.1
7,34.1873,32.25,36.1
8,31.8585,30.1,33.7
9,32.1398,29.45,34.65
10,33.5491,31.15,36.1
11,32.7087,30.7,34.6
12,33.6211,31,36.55
13,31.7683,29.45,33.85
14,34.1058,31.65,37.25
15,31.318,28.6,34
16,32.7307,30.6,34.95
17,32.1422,30.3,34
18,32.6231,30.9,34.55
19,32.8909,30.45,35.7
20,33.0639,30.35,35.65
21,33.8981,30.85,36.75
22,34.8852,32.75,37.05
23,30.7255,28.7,33.3
24,34.644,32.45,36.7
25,31.8802,29.85,33.8
26,31.1088,28.4,33.95
27,33.0581,30.5,35.6
28,29.2237,26.6,31.95
29,32.4268,30.25,34.65
30,36.5549,33.95,38.95
31,33.4765,31.5,35.65
32,33.102,30.65,35.5
33,27.8562,25.45,30.3
34,33.2523,30.65,35.75
35,32.948,30.35,35.45
36,33.1121,30.95,35.2
37,32.7392,30.4,35
38,32.5515,29.65,35.7
39,32.7334,30.1,35.1
40,31.3781,29,33.9
41,31.8716,29.65,33.95
42,31.1873,28.6,33.4
43,32.3994,30.35,34.55
44,32.1384,29.05,35.45
45,35.3549,32.85,37.75
46,30.8219,29.3,32.55
47,33.7618,31.95,35.4
48,31.0834,28.7,33.7
49,32.4804,30.35,34.25
50,35.3367,32.75,37.5
51,34.73,32.3,36.85
52,32.42,30.1,34.85
53,31.1256,28.75,33.25
54,34.0039,32.25,35.65
55,31.5516,29.45,33.65
56,32.5627,29.75,35.35
57,33.4098,31.2,35.75
58,32.4387,30.1,34.4
59,31.7924,29.8,33.85
60,30.6721,28.3,33.55
61,28.8506,26.9,30.8
62,30.3725,27.95,33.1
63,32.0991,29.8,34.55
64,31.9396,29.2,34.3
65,31.1396,28.35,33.95
66,32.1057,30.15,34
67,33.5694,30.45,37
68,29.0337,26.55,31.8
69,31.3947,29.4,33.4
70,31.0898,28.4,33.55
71,31.7589,29.15,34.6
72,30.8064,28.3,33.35
73,31.3774,29.25,33.25
74,31.4194,29.2,33.35
75,30.15,27.95,32.1
76,29.6127,27.45,31.9
77,29.0536,27.1,31.05
78,31.3309,29.4,33.3
79,32.1338,30.45,33.85
80,28.9701,26.35,32.1
81,31.8382,30.1,33.65
82,30.6492,27.8,33.35
83,29.7724,27.2,32.05
84,31.7379,29.8,33.7
85,30.7545,27.95,33.4
