Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.6606,0.3,1.05
3,0.7124,0.3,1.2
4,0.8739,0.4,1.4
5,0.5106,0.25,0.8
6,0.7959,0.5,1.15
7,0.3024,0.1,0.6
8,0.3002,0,0.75
9,0.2381,0.05,0.55
10,0.4996,0.2,0.85
11,0.4046,0.15,0.7
12,0.2515,0.05,0.5
13,0.5619,0.2,1
14,0.6971,0.25,1.25
15,0.7039,0.25,1.15
16,0.6256,0.2,1.15
17,0.4846,0.2,0.85
18,1.1456,0.7,1.6
19,1.0223,0.4,1.75
20,1.1615,0.55,2
21,1.448,0.65,2.4
22,1.1168,0.55,1.85
23,0.942,0.55,1.45
24,1.8721,0.95,3.25
25,2.3522,1.5,3.35
26,1.6097,0.9,2.65
27,1.3488,0.8,2
28,2.3625,1.35,3.55
29,2.2802,1.15,3.95
30,2.0779,0.9,3.6
31,2.0754,0.8,4.15
32,2.0311,0.7,3.8
33,2.1259,1.2,3.1
34,2.3286,1.5,3.15
35,2.8735,1.35,4.5
36,2.5046,1.15,4.1
37,1.6131,0.85,2.5
38,2.1244,1,3.4
39,1.7537,0.8,2.9
40,1.8122,0.95,2.75
41,1.2078,0.55,1.85
42,1.25,0.75,1.8
43,1.1954,0.55,1.85
44,0.9952,0.5,1.6
45,1.3075,0.45,2.45
46,1.2447,0.65,2
47,1.3619,0.7,2.15
48,1.4849,0.85,2.1
49,1.2926,0.6,2.1
50,1.3006,0.7,1.95
51,0.9062,0.45,1.4
52,1.2568,0.45,2.25
53,1.0097,0.5,1.7
54,1.6514,0.7,2.65
55,1.6438,0.65,2.9
56,1.2651,0.5,2.1
57,1.7675,0.7,3.05
58,0.9357,0.05,2.05
59,2.3014,0.9,4.05
60,1.588,0.5,2.95
61,1.4792,0.4,2.85
62,1.8791,0.75,3.55
63,1.6166,0.8,2.5
64,1.3606,0.7,2.2
65,0.9036,0.35,1.5
66,1.2005,0.45,2
67,1.0151,0.35,1.8
68,1.2697,0.45,2.3
69,1.2018,0.5,2.1
70,1.1249,0.45,2.1
71,1.0005,0.35,1.8
72,0.8001,0.35,1.4
73,1.0087,0.55,1.5
74,0.8585,0.45,1.3
75,1.1116,0.35,2.25
76,0.8062,0.3,1.4
77,0.6002,0.2,1.05
78,0.5565,0.15,1.05
79,0.6622,0.25,1.25
80,0.7171,0.15,1.65
81,0.664,0.15,1.4
82,0.41,0.1,0.8
83,0.6612,0.05,1.75
84,0.258,0,0.75
85,0.205,0,0.5
