Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.6618,1.4,1.9
2,0.2485,0.1,0.45
3,0.0497,0,0.15
4,0.0955999999999999,0,0.3
5,0.1024,0,0.25
6,0,0,0
7,0.045,0,0.15
8,0.0959,0,0.25
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0.0514999999999999,0,0.15
14,0.0514999999999999,0,0.15
15,0.0478,0,0.15
16,0,0,0
17,0.103,0,0.3
18,0.0514999999999999,0,0.15
19,0,0,0
20,0,0,0
21,0.0492,0,0.15
22,0.1026,0,0.25
23,0.1026,0,0.25
24,0,0,0
25,0,0,0
26,0.1051,0,0.25
27,0.1051,0,0.25
28,0.1084,0,0.3
29,0.0981,0,0.25
30,0.0492,0,0.15
31,0,0,0
32,0.0473,0,0.15
33,0.1539,0,0.3
34,0.2483,0.1,0.45
35,0.0521,0,0.15
36,0.0516,0,0.15
37,0.1032,0,0.3
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0.1084,0,0.3
43,0,0,0
44,0.0542,0,0.15
45,0,0,0
46,0.0492,0,0.15
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0.0495999999999999,0,0.15
55,0,0,0
56,0,0,0
57,0,0,0
58,0.0982,0,0.25
59,0.0508999999999999,0,0.15
60,0,0,0
61,0.0991999999999999,0,0.3
62,0.0966,0,0.25
63,0.045,0,0.15
64,0.0946,0,0.25
65,0,0,0
66,0,0,0
67,0.0991999999999999,0,0.3
68,0.1443,0,0.3
69,0.0542,0,0.15
70,0,0,0
71,0,0,0
72,0.045,0,0.15
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
