Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.0673433333333333,0.01,0.135
3,NaN,0.0817764030612245,0.467186989795918
4,NaN,0,0.0600694444444445
5,0.0648833333333333,0,0.141666666666667
6,NaN,0.247708333333333,0.928472222222222
7,0.0602083333333333,0,0.141666666666667
8,NaN,0.0375,0.233333333333333
9,NaN,NaN,NaN
10,NaN,NaN,NaN
11,NaN,NaN,NaN
12,0.171275,0.025,0.351388888888889
13,0.0857333333333333,0.0111111111111111,0.175
14,NaN,0.051625,0.34225
15,NaN,0,0.375
16,NaN,0,0.42005
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,0.0603480902777777,0,0.134548611111111
21,NaN,0.0111111111111111,0.114512471655329
22,0.223816694444444,0.0970694444444444,0.368402777777778
23,NaN,0.0196666666666667,0.201166666666667
24,0.176358333333333,0.0291666666666667,0.390277777777778
25,NaN,0,0.41
26,0.232773333333333,0.1,0.378055555555556
27,NaN,0.17795,0.720511111111111
28,0.118084567901235,0.0361111111111111,0.210262345679012
29,NaN,0.0125,0.119834710743802
30,NaN,0,0.225
31,0.253253333333333,0.112222222222222,0.446944444444444
32,0.155526007936508,0.0696388888888889,0.252277777777778
33,0.152370458049887,0.0609897959183674,0.257080498866213
34,NaN,0.075954861111111,0.426728732638888
35,0.102641666666667,0.015625,0.203125
36,0.13497087585034,0.0183673469387755,0.269338151927438
37,NaN,0.0899652777777778,0.443940972222222
38,NaN,0.655555555555555,0.655555555555555
39,NaN,0.108641975308642,0.215200617283951
40,NaN,NaN,NaN
41,NaN,NaN,NaN
42,NaN,NaN,NaN
43,NaN,NaN,NaN
44,NaN,NaN,NaN
45,NaN,NaN,NaN
46,NaN,NaN,NaN
47,NaN,NaN,NaN
48,NaN,NaN,NaN
49,NaN,NaN,NaN
50,NaN,NaN,NaN
51,NaN,NaN,NaN
52,NaN,0.0875,0.2125
53,NaN,NaN,NaN
54,0.0717,0,0.225
55,NaN,0.025,0.2
56,NaN,NaN,NaN
57,0.0442444444444443,0,0.0999999999999999
58,NaN,0.0449999999999999,0.327916666666667
59,NaN,0.225416666666667,0.865
60,NaN,0.000357142857142859,0.201607142857143
61,0.155048866213152,0.0102040816326531,0.318537414965986
62,NaN,0,0.190612244897959
63,NaN,0.106944444444444,0.528240740740741
64,NaN,0.0301777777777778,0.2335679138322
65,NaN,0.0333333333333333,0.421458333333334
66,NaN,NaN,NaN
67,NaN,0,0.105555555555555
68,NaN,0.0833333333333333,0.311
69,NaN,0.0317120181405895,0.247522675736961
70,NaN,0,0.15
71,NaN,NaN,NaN
72,NaN,NaN,NaN
73,NaN,NaN,NaN
74,NaN,NaN,NaN
75,NaN,NaN,NaN
76,NaN,NaN,NaN
77,NaN,NaN,NaN
78,NaN,NaN,NaN
79,NaN,NaN,NaN
80,NaN,NaN,NaN
81,NaN,NaN,NaN
82,NaN,NaN,NaN
83,NaN,NaN,NaN
84,NaN,NaN,NaN
85,NaN,NaN,NaN
