Week,Mean,LowerBound,UpperBound
0,0,0,0
1,266.6332,260.3,271.9
2,274.9072,270.5,278.85
3,261.7982,257.1,266.75
4,265.8903,261.2,270.5
5,128.6966,123.35,134.5
6,132.8091,127.65,137.4
7,127.7005,122.4,132.55
8,128.1525,123.65,133.05
9,124.7665,121.6,128.2
10,126.8843,118.45,135.95
11,126.1329,120.75,131.25
12,127.1675,120.65,132.8
13,126.5423,123.6,129.7
14,130.5088,125.85,135.65
15,127.8343,124.3,131.05
16,124.1126,119.9,128.35
17,127.0935,122.7,131.45
18,126.7856,122.9,130.85
19,131.8285,128.7,134.7
20,122.4011,118.75,125.6
21,124.6706,118.65,130
22,126.6641,122.35,130.4
23,125.6242,121.25,130
24,120.6461,115.5,125.35
25,123.9229,118.65,128.8
26,126.5727,122.45,130.6
27,128.0605,123.5,132.4
28,123.2113,118.45,127.9
29,122.034,117.35,126.75
30,119.9954,115.55,124.65
31,120.0633,114.5,125.7
32,122.0905,118.65,125.35
33,124.8634,121.35,128.65
34,124.0445,118.7,128.8
35,124.3375,120.75,128.2
36,121.6109,117.3,125.55
37,124.9553,121,129.15
38,127.0126,122.8,131
39,123.9285,120.1,128.05
40,128.2823,124.05,132.55
41,126.6649,121.25,132.2
42,121.7614,117.7,126
43,125.3628,121.5,129.6
44,126.7157,123.25,130.35
45,126.3278,122.25,130.1
46,123.5183,119.3,127.2
47,119.7271,115.35,124.75
48,125.1417,121.75,128.3
49,128.7486,123.25,134.35
50,128.7179,123.55,133.9
51,120.5575,113.9,127.05
52,124.1912,121.8,126.8
53,128.6494,123.8,133.65
54,127.6011,124.15,131.15
55,123.5253,120,127.15
56,120.8241,115.9,125.3
57,123.1055,117.25,128.8
58,127.0493,124.95,129.35
59,124.3903,119.1,130.25
60,125.2452,121.65,129.15
61,119.6148,115.45,123.75
62,128.9592,125.15,133.1
63,122.2941,117.25,127.9
64,126.8993,122.15,131.5
65,119.5637,115.95,123.75
66,123.8019,119.3,129.4
67,129.5179,126.05,133.1
68,126.5647,123.5,129.45
69,121.1842,115.85,126.4
70,119.4415,114.8,123.75
71,124.2246,119.95,128.25
72,122.4361,116.65,128.2
73,119.5495,115.65,123.55
74,116.3728,111.55,120.7
75,124.6642,120.15,128.6
76,115.8013,111.95,119.65
77,118.9447,113.35,124.8
78,120.3957,117.35,123.5
79,123.5969,119.45,127.8
80,122.7662,117.1,128.35
81,123.4251,118.05,129.2
82,123.0653,117.1,129.45
83,119.8687,114.9,125
84,116.6717,112.95,121.45
85,115.8529,109.35,122.1
