Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1045,0,0.25
2,0.1566,0,0.3
3,0.2039,0.05,0.4
4,0.1508,0,0.4
5,0.5262,0.15,1.1
6,0.1013,0,0.25
7,0.2919,0.1,0.55
8,0.2491,0,0.6
9,0.1954,0.05,0.4
10,0.1974,0.05,0.35
11,0.0542,0,0.15
12,0,0,0
13,0.1511,0,0.3
14,0.2565,0.05,0.5
15,0.2689,0,0.7
16,0.7637,0.15,1.45
17,0.3008,0.05,0.6
18,0.7164,0.1,1.4
19,0.2062,0.05,0.4
20,0.2062,0.05,0.4
21,0.2524,0.05,0.5
22,0.1591,0.05,0.35
23,0.396,0.15,0.7
24,0.3082,0.05,0.6
25,0.1536,0,0.35
26,0.2014,0.05,0.4
27,0.3477,0.15,0.6
28,0.462,0.1,1
29,0.294,0.1,0.5
30,0.2366,0.05,0.5
31,0.1987,0.05,0.4
32,0.5016,0.25,0.8
33,0.5452,0.3,0.8
34,0.5557,0.25,0.95
35,0.8113,0.4,1.3
36,0.2964,0.1,0.5
37,0.7504,0.15,1.45
38,0.4029,0.1,0.75
39,1.0448,0.35,1.8
40,0.9926,0.25,1.9
41,0.3412,0.05,0.8
42,0.6452,0.15,1.25
43,0.2365,0,0.75
44,0.4459,0.1,0.9
45,0.5359,0,1.35
46,0.6847,0.2,1.45
47,0.4355,0.1,1
48,0.4372,0,1.15
49,0.4404,0.05,1.1
50,0.3389,0,0.9
51,0.4354,0.05,1.05
52,0.2916,0,0.75
53,0.1934,0,0.45
54,0.1996,0.05,0.4
55,0.0945999999999999,0,0.3
56,0.192,0,0.4
57,0.4494,0.2,0.75
58,0.1451,0,0.3
59,0.3933,0.1,0.7
60,0.0989,0,0.25
61,0.339,0,0.95
62,0.2001,0,0.45
63,0.2507,0,0.55
64,0.0521,0,0.15
65,0.248,0.05,0.5
66,0.2074,0,0.45
67,0.2108,0,0.45
68,0.2487,0.05,0.45
69,0.0502999999999999,0,0.2
70,0.7142,0.4,1.1
71,0.4592,0.1,1
72,0.1495,0,0.35
73,0.3037,0.1,0.55
74,0.0983999999999999,0,0.3
75,0.2517,0.05,0.5
76,0.0983999999999999,0,0.3
77,0,0,0
78,0.0492,0,0.15
79,0,0,0
80,0.0492,0,0.15
81,0,0,0
82,0,0,0
83,0,0,0
84,0.0492,0,0.15
85,0,0,0
