Week,Mean,LowerBound,UpperBound
0,0,0,0
1,20.3937,19.25,21.5
2,20.2405,18.15,22.25
3,20.5321,18.35,22.75
4,20.7632,18.85,23.05
5,19.3729,17.45,21.3
6,20.62,19.1,22.15
7,20.5315,19.15,22
8,21.3915,19.4,23.45
9,21.1392,19.55,22.8
10,20.7442,18.35,23.25
11,21.0716,19.05,23.1
12,22.0073,19.35,24.75
13,20.6184,18.9,22.5
14,21.3246,19.8,22.75
15,20.6668,19.4,22.15
16,18.6258,17,20.5
17,19.5613,17.85,21.4
18,18.1156,16.25,20.1
19,20.0631,18.35,21.8
20,20.8663,18.75,23.1
21,19.5356,17.8,21.6
22,18.1478,15.95,20.2
23,20.3115,18.65,22.3
24,22.5568,21.1,24.2
25,18.9388,16.85,20.75
26,20.8856,19.2,22.45
27,18.8553,17.4,20.5
28,22.3185,20.35,24.15
29,20.0513,17.6,22.4
30,19.434,17.55,21.25
31,20.5265,18.7,22.4
32,20.6646,19.35,22.1
33,21.2675,19.3,23.15
34,20.6734,19.25,22.2
35,19.4765,17.5,21.55
36,18.604,16.75,20.3
37,18.4254,16.9,20.35
38,20.4955,18.75,22.3
39,20.834,19.35,22.2
40,21.2403,19.55,22.95
41,20.4394,19.45,21.45
42,21.8317,20.15,23.55
43,20.4388,18.25,22.5
44,21.6455,20.15,23.05
45,16.6684,15.6,17.9
46,21.0033,19.45,22.65
47,18.6704,17.4,19.95
48,20.9579,19.65,22.25
49,22.1588,20.85,23.55
50,21.3181,19.5,23.25
51,20.0498,18.2,22.05
52,19.785,18.2,21.35
53,18.5088,17,20.1
54,19.4911,17.7,21.2
55,19.1787,17.4,20.85
56,21.5908,20.1,22.85
57,19.1405,18.4,19.9
58,20.3815,18.35,22.65
59,19.1647,17.45,20.95
60,20.734,19.25,22.35
61,21.6364,19.45,23.85
62,20.9662,19.2,22.85
63,20.3513,18.3,22.65
64,19.5988,17.6,22
65,18.8321,17.45,20.15
66,19.214,17.95,20.5
67,21.4935,19.4,23.3
68,19.0575,17.25,21.15
69,19.9016,18.2,21.5
70,17.3773,15.15,19.8
71,20.6666,18.85,22.5
72,18.1538,16.75,19.55
73,19.3986,18,21.15
74,19.753,17.9,21.65
75,18.9361,17.3,20.5
76,18.3637,17.1,19.6
77,20.9919,18.65,23.55
78,18.6981,16.75,20.8
79,20.0294,18.25,21.55
80,17.7052,16.25,19.15
81,19.168,17.4,21
82,18.9515,17.8,20.15
83,20.5512,18.9,22.1
84,18.0288,16.6,19.5
85,19.7818,17.8,21.75
