Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,0.85,0.17,0,0,0.35,0,0.15,0.45,0.4,0,0.5,0.1,0.1,0.15,0,97.1,175.75,272.85,22.35,0.05,1.7,1.75,0.85,0.05,0.8,0,0,0.85,0.05,1.7,0,0,0.9,0.8,0.05,0,11.1,41.9,44.1,26.95,23.25,19.6,15.45,11.85,16.3,79.8,79.65,43.9,37.35,40.05,29.6,24.85,27.4,121.7,123.75,70.85,60.6,59.65,45.05,36.7,0.75,2.4,0,0.85,66.5,0.5,263335.5,260556.8,0.1,3.55,2775.05,2.65,0.05,2.6,19481.05,45688.05,19311.05,0.05,0,169.95,45438.95,0,0.7,248.4,0,0,19481.05,0,0,45688.05,4323.1,10192.15,1.55,0.8,50325.15,0.65
2,80,0.85,0.22,0.22,0,0.75,0.05,0.3,0.8,0.05,0,0.1,0.3,0.25,0.15,0.05,93.7,182.25,275.95,19,0.05,0.65,0.7,0.2,0.1,0.1,0,0.1,0.1,0.35,0.35,0,0.3,0.2,0.1,0.1,0,10.95,39,43.75,25.65,21.65,20.7,15.45,10.25,23.85,73.2,85.2,49.8,41.7,40.05,26.25,24.45,34.8,112.2,128.95,75.45,63.35,60.75,41.7,34.7,0.7,1.85,0,0.5,68.15,0.3,263347.35,260568.3,0.25,2.4,2776.4,1.5,0,1.5,19388.5,45861.9,19218.45,0.05,0.05,169.95,45612.65,0.05,0.65,248.55,0,0,19388.5,0,0,45861.9,4303.15,10237.75,0.75,0.45,50342.5,0.5
3,80,1,0.27,0.37,0,0.75,0.05,0.25,0.8,0.2,0,0.3,0.3,0.2,0.15,0.05,94.85,168.4,263.25,21.95,0.15,0.75,0.9,0.75,0.55,0.2,0,0.4,0.35,0.65,0.25,0,0.25,0.25,0.25,0.15,0,10.1,36.7,48.05,26.2,22.35,18.65,16.05,11.6,23.85,70.1,74.45,40.65,40.7,32.45,32.85,21.75,33.95,106.8,122.5,66.85,63.05,51.1,48.9,33.35,0.9,1.55,0.05,0.35,64.2,0.3,263363.15,260583.05,0.3,2.3,2777.5,1.45,0,1.45,19311.35,46022.65,19141.25,0,0.1,170,45773.05,0,0.65,248.95,0,0,19311.35,0,0,46022.65,4287.65,10280.7,0.5,0.4,50360.4,0.65
4,80,0.05,NaN,NaN,0,0.05,0,0,0.05,0,0,0,0.05,0,0,0,96.65,173.05,269.7,21.75,0,0.8,0.8,0.6,0.6,0,0,0.25,0.35,0.7,0.1,0,0.15,0.25,0.25,0.15,0,10.2,41.8,44.65,25.8,22.4,17.9,17.55,13,21.6,81.35,70.1,43,42.2,37.75,30.55,19.55,31.8,123.15,114.75,68.8,64.6,55.65,48.1,32.55,0.25,0.8,0,0.55,69.15,0.45,263374,260594.05,0.1,1.75,2778.1,1.45,0,1.45,19230.5,46188.1,19060.45,0,0.1,169.95,45938.55,0,0.4,249.15,0,0,19230.5,0,0,46188.1,4273.9,10322.1,0.65,0.6,50379.1,0.8
5,80,0.65,0.29,0.18,0,0.35,0.05,0.05,0.55,0.1,0,0.2,0.35,0.1,0,0,92.9,34.45,127.35,21.5,0.2,0.25,0.45,0.35,0.3,0.05,0,0.3,0.05,0.3,0.15,0,0.25,0.15,0,0,0.05,10.6,39.85,42.45,26.6,21.85,17.9,16.05,10.5,4.8,14.55,15.1,10.15,8.15,6.4,5.9,3.85,15.4,54.4,57.55,36.75,30,24.3,21.95,14.35,0.6,1,0,0.6,70.15,0.5,263383.85,260602.55,0.15,2.35,2778.8,1.9,0.1,1.8,19284.8,46212.9,19114.5,0.05,0.25,170,45963.15,0.05,0.3,249.4,0,0,19284.8,0,0,46212.9,4288.2,10335.05,0.8,0.8,50396.55,0.9
6,80,0.4,NaN,NaN,0,0.25,0.15,0,0.3,0.1,0,0.1,0.2,0.05,0.05,0,94.2,33.6,127.8,23.7,0,0.45,0.45,0.2,0.2,0,0,0.15,0.05,0.4,0.05,0,0.05,0.3,0.1,0,0,11.55,41,41.65,23.65,22.15,21.5,16.85,10.05,4.05,14.35,15.2,8.9,7.4,7.9,5.25,4.15,15.6,55.35,56.85,32.55,29.55,29.4,22.1,14.2,0.25,1.2,0,0.2,69.9,0.05,263393.95,260612.45,0.3,1.4,2779.8,1.15,0.05,1.1,19341.85,46238.05,19171.4,0.15,0.05,170.25,45988.3,0.05,0.25,249.45,0,0,19341.85,0,0,46238.05,4306.5,10346.75,0.35,0.3,50415.2,0.65
7,80,0.75,0.24,0.32,0,0.3,0.05,0.3,0.7,0.05,0,0.15,0.25,0.1,0.15,0.1,93.7,33,126.7,20.45,0.05,0.25,0.3,0.2,0.05,0.15,0,0.2,0,0.15,0.15,0,0.15,0.05,0.05,0,0.05,9.55,38.9,45.25,26.1,21.8,19.85,15.45,10.5,3.9,12.4,16.7,9.75,7.1,6.35,6.05,3.75,13.45,51.3,61.95,35.85,28.9,26.2,21.5,14.25,0.55,0.85,0,0.5,71,0.35,263402.95,260619.95,0.5,2.1,2780.4,1.6,0.05,1.55,19399.45,46263.15,19228.9,0.1,0.2,170.25,46012.9,0.1,0.45,249.7,0,0,19399.45,0,0,46263.15,4321.25,10358.9,0.6,0.45,50431.2,0.65
8,80,0.4,NaN,NaN,0,0.2,0.05,0.2,0.4,0,0,0.05,0.1,0,0.05,0.2,97.1,34.65,131.75,21.4,0.1,0.55,0.65,0.2,0.2,0,0,0.15,0.05,0.6,0.05,0,0.1,0.15,0.1,0.2,0.1,10.7,42.2,44.2,25.3,24.2,19.25,15.75,12.6,3.6,14.05,17,8.4,7.8,6.6,6.75,5.1,14.3,56.25,61.2,33.7,32,25.85,22.5,17.7,0.75,0.9,0,0.3,69.3,0.45,263413.65,260630.05,0.15,2.3,2781.15,1.7,0,1.7,19457.9,46288.5,19287.15,0,0.3,170.45,46038.05,0,0.5,249.95,0,0,19457.9,0,0,46288.5,4336.35,10370.7,0.55,0.75,50447.7,0.65
9,80,0.75,NaN,NaN,0,0.4,0.25,0.1,0.65,0.1,0,0.25,0.35,0.1,0.05,0,93.9,33.3,127.2,21.5,0.05,0.55,0.6,0.45,0.45,0,0,0.35,0.1,0.6,0,0,0.05,0.4,0,0,0.15,11.1,38.5,44.3,25.2,22.7,20.15,14.75,11.1,4.2,14.85,14.25,9.4,7.85,6.2,6.25,3.6,15.3,53.35,58.55,34.6,30.55,26.35,21,14.7,0.4,1.15,0,0.35,68,0.15,263425.65,260641.6,0.5,1.55,2782,1.2,0,1.2,19515.2,46312.4,19344.3,0.2,0.2,170.5,46061.95,0,0.3,250.15,0,0,19515.2,0,0,46312.4,4351.1,10382.85,0.55,0.55,50467.3,0.5
10,80,0.2,NaN,NaN,0,0.15,0.05,0,0.15,0.05,0,0.05,0.15,0,0,0,94.1,34.45,128.55,20.6,0,0.35,0.35,0.1,0.1,0,0,0.1,0,0.35,0,0,0.05,0.2,0,0.05,0.05,10.55,40.05,43.5,26.8,21.75,16.75,17.15,11.65,4.3,14.85,15.3,9,7.35,7.9,5.95,4.25,14.85,54.9,58.8,35.8,29.1,24.65,23.1,15.9,0.5,0.75,0,0.2,68.2,0.05,263437.45,260653.7,0.2,1.3,2782.25,0.8,0,0.8,19572,46338.05,19401.05,0.1,0.3,170.55,46087.7,0,0.2,250.15,0,0,19572,0,0,46338.05,4364.2,10396.2,0.35,0.35,50485.25,0.4
11,80,0.3,NaN,NaN,0,0.15,0,0.05,0.3,0,0,0.05,0.1,0.05,0.05,0.05,95.7,33.9,129.6,22.35,0,0.45,0.45,0.15,0.05,0.1,0,0.15,0,0.3,0.15,0,0.15,0.1,0.15,0.05,0,11.05,43.2,41.45,25.45,24.15,19.45,15.75,10.9,3.3,14.35,16.25,8.6,8.3,6.95,5.65,4.4,14.35,57.55,57.7,34.05,32.45,26.4,21.4,15.3,0.3,0.65,0,0.2,69.3,0.1,263448.15,260664.4,0.2,0.95,2782.6,0.65,0,0.65,19630.9,46363.9,19459.95,0,0.25,170.7,46113.5,0.05,0.05,250.3,0,0,19630.9,0,0,46363.9,4381.45,10408.05,0.3,0.25,50503.3,0.3
12,80,0.45,0.24,0.16,0,0.3,0,0.1,0.35,0.1,0,0.15,0.3,0,0,0,97.25,32.8,130.05,21.3,0,0.25,0.25,0.2,0.2,0,0,0.15,0.05,0.25,0,0,0.05,0.1,0,0.05,0.05,10.2,43.7,43.35,28.05,23.75,18.5,16.5,10.45,4,15,13.8,8.45,7.35,7.05,5.65,4.3,14.2,58.7,57.15,36.5,31.1,25.55,22.15,14.75,0.5,0.8,0,0.2,67.7,0.1,263460.45,260675.3,0.15,1.65,2783.35,1.1,0,1.1,19692.1,46389,19521.15,0,0.25,170.7,46138.3,0,0.35,250.35,0,0,19692.1,0,0,46389,4398.6,10418.9,0.4,0.25,50521.15,0.45
