Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.7532,0.55,0.9
2,0.3875,0.15,0.7
3,0.2588,0.1,0.45
4,0.5043,0.25,0.8
5,0.2969,0.1,0.55
6,0.7568,0.25,1.35
7,0.9639,0.5,1.45
8,0.8949,0.45,1.35
9,0.6128,0.3,1
10,0.8083,0.2,1.5
11,0.8928,0.35,1.45
12,0.8943,0.35,1.45
13,0.4024,0.2,0.65
14,0.5077,0.2,0.85
15,0.8457,0.35,1.3
16,0.4465,0.25,0.65
17,0.6956,0.3,1.05
18,0.5019,0.3,0.7
19,0.7868,0.3,1.25
20,0.3452,0.1,0.65
21,0.1602,0,0.4
22,0.3931,0.15,0.6
23,0.8912,0.45,1.4
24,0.2907,0.1,0.5
25,0.8965,0.65,1.15
26,0.3935,0.1,0.7
27,0.4448,0.1,0.85
28,0.1037,0,0.25
29,0.2548,0.05,0.55
30,0.6991,0.35,1.05
31,0.8898,0.45,1.4
32,1.1077,0.55,1.75
33,0.801,0.4,1.25
34,0.7519,0.4,1.15
35,1.0875,0.6,1.6
36,0.7521,0.4,1.1
37,0.9553,0.4,1.55
38,0.7021,0.3,1.1
39,0.7037,0.3,1.15
40,0.6441,0.15,1.2
41,0.6538,0.15,1.55
42,0.6989,0.35,1.15
43,0.5931,0.2,1.05
44,0.9049,0.25,1.9
45,1.1519,0.2,2.3
46,0.8958,0.3,1.6
47,1.1667,0.45,2.2
48,0.9038,0.35,1.6
49,0.8557,0.05,2
50,1.2424,0,2.7
51,0.9436,0.3,1.85
52,1.1958,0,2.7
53,0.7468,0.05,1.75
54,1.2905,0.45,2.2
55,1.1478,0.45,2.3
56,1.4998,0.55,2.8
57,1.0908,0.6,1.6
58,0.6507,0.2,1.35
59,1.153,0.55,1.95
60,1.0099,0.35,1.9
61,1.591,0.9,2.25
62,2.3471,1.45,3.3
63,0.9161,0.45,1.45
64,1.5161,0.85,2.2
65,1.4051,0.75,2.15
66,1.3531,0.85,1.95
67,1.587,0.85,2.3
68,1.964,0.9,3.25
69,1.2445,0.5,2.1
70,1.0159,0.4,1.75
71,0.9466,0.45,1.45
72,1.5503,0.85,2.3
73,0.913,0.35,1.7
74,1.6033,0.9,2.4
75,1.401,0.6,2.3
76,1.1479,0.5,1.85
77,1.3973,0.5,2.35
78,1.3558,0.45,2.55
79,0.5609,0.05,1.3
80,0.6534,0.15,1.35
81,0.4579,0.05,1
82,0.2563,0,0.7
83,0.6595,0.1,1.45
84,0.5653,0,1.45
85,0.8172,0.05,1.9
