Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.7967,1.5,2.05
2,1.1043,0.6,1.65
3,1.396,0.75,2.15
4,0.8349,0.35,1.45
5,1.0917,0.6,1.65
6,1.3396,0.8,2
7,1.7345,0.85,2.7
8,1.9271,0.75,3.3
9,2.1918,1.2,3.4
10,2.0788,1,3.35
11,2.1359,0.95,3.6
12,2.9151,1.65,4.45
13,2.5875,1.45,3.8
14,3.2141,1.8,5.3
15,2.7938,1.25,4.7
16,2.9697,1.5,5.15
17,3.8501,2.3,5.75
18,3.48,1.65,5.85
19,3.356,1.8,5.25
20,3.9384,1.95,6.45
21,4.6578,2.55,7.2
22,4.8478,2.6,7.95
23,4.5429,2.35,7.5
24,5.8709,3.25,9
25,5.6416,3.2,8.3
26,6.7696,4.15,9.95
27,7.1827,4.3,10.85
28,7.7744,5.05,11.05
29,10.2984,6.3,14.1
30,9.8363,7,12.9
31,10.1623,6.6,14.75
32,10.9853,7.25,15.7
33,12.5842,8.45,17.35
34,11.26,7.85,16.2
35,11.2285,7.75,15.35
36,14.2598,9.45,19.65
37,13.5172,8.25,20.4
38,14.9214,9.55,21.25
39,16.1388,11.4,21.75
40,16.2013,11.2,23.05
41,17.6573,12.2,24.6
42,17.5588,11.6,25
43,18.6745,12.2,26.95
44,21.8073,14.5,29.95
45,23.3524,15.9,32.25
46,23.9406,16.55,32.8
47,23.6119,16.2,33.55
48,28.139,19.25,38.25
49,27.5089,19.3,38.05
50,28.2311,19.2,38.25
51,30.9135,20.55,42.15
52,32.4083,21.35,44.45
53,33.0519,23.05,44.25
54,36.0223,24.75,47.95
55,38.99,27.45,51.3
56,40.6926,28.35,53.4
57,41.2699,29.2,54.05
58,44.1528,31.7,58.3
59,43.1755,30.7,57.3
60,47.1031,33.45,62.7
61,50.9306,37.6,65
62,53.5892,38.25,71.1
63,56.9872,41.2,73.2
64,56.383,42.2,72.35
65,54.2822,40.8,69.05
66,56.2394,41.35,72.2
67,60.6357,45.65,76.85
68,59.8646,44.45,76.15
69,61.2264,47,75.9
70,66.5842,50.1,82.5
71,66.0497,50.65,82.45
72,65.3529,50.35,79.9
73,66.0213,51.9,78.25
74,66.4573,51.75,81.1
75,65.6312,52.15,78.3
76,65.6781,52.2,77.25
77,64.4708,51.2,78.25
78,69.3476,55.15,83.05
79,69.8827,55.7,84.55
80,65.7948,54.1,78.15
81,65.8701,53.15,77.7
82,65.7698,53.5,77.95
83,68.1289,55.95,80.45
84,64.1381,52.55,74.8
85,64.7646,53.3,75.95
