Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.6491,0.4,0.9
2,0.1925,0,0.45
3,0.4529,0.15,0.9
4,0.3543,0.1,0.65
5,0.8115,0.5,1.2
6,0.5549,0.2,1
7,0.2516,0.1,0.45
8,0.7867,0.4,1.2
9,0.6786,0.2,1.25
10,0.3456,0.05,0.65
11,0.3939,0.15,0.6
12,0.5433,0.3,0.85
13,0.5433,0.2,0.9
14,0.7257,0.2,1.4
15,1.0151,0.45,1.6
16,0.4577,0.25,0.7
17,0.5383,0.2,0.95
18,0.9971,0.45,1.45
19,0.8403,0.45,1.2
20,0.9573,0.45,1.6
21,0.6609,0.35,1
22,1.0065,0.55,1.4
23,0.9106,0.6,1.25
24,0.8453,0.55,1.2
25,0.5483,0.3,0.9
26,0.8599,0.55,1.2
27,0.4987,0.3,0.75
28,1.4622,0.8,2.15
29,1.0083,0.4,1.55
30,0.2554,0.05,0.5
31,1.3601,0.65,2.05
32,1.3341,0.75,1.85
33,1.1084,0.5,1.7
34,1.0511,0.65,1.45
35,1.6931,1.05,2.35
36,1.0906,0.75,1.4
37,0.5977,0.25,0.95
38,0.6386,0.3,1.1
39,0.755,0.4,1.15
40,0.3476,0.15,0.55
41,1.262,0.65,1.85
42,0.9447,0.45,1.45
43,0.4537,0.15,0.8
44,0.4964,0.05,0.95
45,0.5871,0.3,0.9
46,0.5636,0.3,0.85
47,0.4025,0.1,0.7
48,0.4588,0.2,0.75
49,0.2527,0.1,0.45
50,0.3044,0.1,0.5
51,0.8522,0.3,1.4
52,0.3474,0.1,0.6
53,0.7598,0.4,1.25
54,1.063,0.65,1.6
55,0.6922,0.4,0.95
56,0.7471,0.45,1.05
57,0.5375,0.25,0.8
58,0.5468,0.2,0.9
59,0.9087,0.35,1.5
60,0.5077,0.25,0.8
61,0.5669,0.15,1.05
62,0.4967,0.2,0.85
63,0.7579,0.4,1.15
64,0.7051,0.25,1.25
65,0.2453,0,0.6
66,1.0694,0.55,1.75
67,0.8572,0.5,1.3
68,0.9215,0.4,1.45
69,0.7569,0.4,1.15
70,0.8513,0.5,1.25
71,0.2498,0.05,0.5
72,0.6656,0.35,1.05
73,0.342,0.1,0.65
74,0,0,0
75,0.1572,0.05,0.3
76,0.0492,0,0.15
77,0.0516,0,0.15
78,0.1084,0,0.3
79,0.103,0,0.25
80,0.1546,0,0.35
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0.0516,0,0.15
