Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.9491,1.85,2
2,3.0705,2.65,3.5
3,4.73,3.95,5.55
4,6.206,5.1,7.35
5,6.657,5.55,7.85
6,7.9334,6.3,9.85
7,9.2567,7.15,11.85
8,10.7606,8.25,13.75
9,11.7071,8.8,14.9
10,12.708,9.45,16.5
11,13.5565,10.15,17.65
12,14.2556,10.7,18.4
13,15.8204,11.8,20.25
14,16.8291,12.6,21.3
15,17.6869,13.25,22.5
16,18.9855,14.1,24
17,20.9798,15.6,26.7
18,22.1837,16.45,28.7
19,23.7118,17.35,31.15
20,24.9103,18.15,32.75
21,26.4776,19.65,34.8
22,29.1235,21.35,38.5
23,31.5941,23.55,41.6
24,34.2233,25.6,45.3
25,36.9338,27.2,49.4
26,39.6314,29.25,52.95
27,43.0364,31.5,58.35
28,45.2153,33,61.65
29,48.1924,34.7,66.1
30,51.115,37.15,70.2
31,54.1428,39.4,73.5
32,57.1282,41.7,77.3
33,60.8009,44.95,80.9
34,65.9584,50.15,85.55
35,69.6142,53.3,89.2
36,73.9799,57.5,94.6
37,77.4499,61.85,97.55
38,80.8239,65.2,101
39,85.2605,68.95,105.1
40,87.9954,71.7,107.1
41,90.4732,73.5,110.45
42,93.0098,75.3,113.35
43,94.2342,75.95,115.15
44,96.6604,77.65,118.8
45,98.2897,79.05,120.95
46,100.3796,80.2,123.6
47,103.257,82.15,127
48,105.1616,83.9,128.65
49,106.2557,84.95,130.4
50,107.5882,85.9,131.75
51,108.773,86.55,133
52,109.7325,87.55,133.6
53,110.9147,88.8,134.75
54,112.2887,89.9,136.1
55,114.1343,91.3,137.65
56,115.0538,92.2,138.6
57,115.3544,92.45,139
58,116.6607,93.6,140.55
59,118.2101,95.05,142.15
60,119.8546,96.45,144.15
61,120.376,97.1,144.75
62,121.1687,97.95,145.9
63,122.8773,99.4,147.7
64,124.172,100.3,149.3
65,125.5194,101.25,151.15
66,126.9424,101.95,153.15
67,128.5364,103.35,155
68,129.9683,104.6,156.95
69,132.0017,106.2,159.55
70,134.178,107.9,162.35
71,136.4195,109.55,165.15
72,138.0422,110.95,167.4
73,139.7103,111.95,169.7
74,140.9149,112.85,170.9
75,142.5675,114.2,172.9
76,144.2607,115.45,174.75
77,146.2833,117.6,177
78,147.411,118.6,178.8
79,148.8435,119.75,180.6
80,150.381,121.25,182.15
81,151.2464,122.3,182.65
82,152.7126,123.55,184.05
83,153.7483,123.9,185.25
84,155.0782,124.55,186.65
85,155.9408,124.8,187.85
