Week,Mean,LowerBound,UpperBound
0,0,0,0
1,168.9394,164,174.45
2,183.3688,178.8,188.2
3,157.6744,154,161
4,170.6793,166.85,174.3
5,319.6673,313.9,324.85
6,332.7525,326.4,339.15
7,332.0128,325.8,337.55
8,320.6927,314.4,327.3
9,323.6052,318.3,328.55
10,328.7706,318.2,340.45
11,307.4326,299.6,314.75
12,316.4274,309.85,323.25
13,322.5681,312.25,333.3
14,320.2165,313.6,326.9
15,312.6312,305.6,319.4
16,310.3021,304.1,317.5
17,300.6768,294.9,306.3
18,307.5367,300.1,315.65
19,301.8393,293.3,309.2
20,311.1806,304.45,317.8
21,301.7551,296.05,307.95
22,295.1243,289,300.8
23,304.9279,298.35,311.6
24,294.1617,286.3,302.65
25,292.0761,284.1,300.55
26,294.7849,288.45,301.7
27,287.5697,280.7,294.45
28,280.0514,273.65,287.1
29,282.6507,277.25,288.25
30,285.6036,278.5,292.9
31,278.6116,270.95,286.45
32,278.1885,272.15,283.7
33,275.6714,270.3,281
34,268.4593,264.35,272.2
35,269.0376,259.75,278.45
36,269.039,263.55,274.7
37,261.9958,255.4,268.1
38,260.743,254.45,266.45
39,271.8667,263.3,279.8
40,268.1665,259.25,276.95
41,276.1805,268.65,283.6
42,262.71,256.45,269.3
43,262.1136,255.35,268.95
44,254.0746,247.15,260.75
45,259.8974,255.55,263.85
46,258.237,248.85,267.05
47,254.5703,245.75,263.5
48,251.9821,245.65,258.9
49,244.9311,236.1,252.85
50,253.3363,245.05,261.2
51,249.3743,241.85,255.35
52,254.2222,248.25,260.55
53,239.8933,234,245.35
54,246.8499,240.45,253.9
55,243.381,237.05,250.65
56,246.3825,241.65,250.4
57,240.037,233.7,246.05
58,234.8099,228.55,241.1
59,237.8973,231,245
60,227.2316,220.6,234
61,237.2251,233,241.2
62,240.7929,234.65,246.75
63,227.4235,221.05,234.3
64,233.7738,226.25,241.2
65,232.672,225.3,239.75
66,226.563,221.25,232.95
67,235.7172,229.35,243
68,227.4237,219.15,234.85
69,232.8564,228,239
70,222.04,215.6,228.1
71,220.7718,216.85,224.75
72,216.3154,212.05,220.75
73,224.139,219.5,229.4
74,207.9784,204.25,211.25
75,214.2503,209.25,219.75
76,216.1947,211.3,221.05
77,215.2566,208.8,220.9
78,211.9083,206.5,217.6
79,207.6297,201.35,213
80,206.5815,200.05,214
81,199.3292,192.25,205.65
82,208.9356,202.8,215.1
83,208.9417,202.55,215.55
84,202.6945,197.8,207.6
85,207.0299,201.95,211.05
