Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,0.4,0.06,0,0,0.25,0,0.1,0.25,0.15,0,0.15,0,0.15,0.05,0.05,94.75,172.45,267.2,21.25,0.05,1.75,1.8,0.95,0.05,0.9,0,0,0.95,0.05,1.75,0,0,0.85,0.9,0.05,0,11.4,38.65,44.7,25.6,21.6,21.2,15.6,10.75,17.2,78.9,76.35,43.25,37.1,39.3,27.35,25.45,28.6,117.55,121.05,68.85,58.7,60.5,42.95,36.2,0.3,2.85,0,0.9,66.15,0.8,263335.85,260555.65,0.1,4.45,2775.65,4.1,0.05,4.05,19481.55,45685.25,19311.6,0,0.05,169.9,45435.95,0.05,0.95,248.3,0,0,19481.55,0,0,45685.25,4323.25,10190.75,1.75,1.45,50326.4,1
2,80,0.2,0.05,0.05,0,0,0,0,0.2,0,0,0,0.05,0,0,0.15,89.7,184.75,274.45,20.35,0,0.3,0.3,0.2,0.05,0.15,0,0.15,0.05,0.15,0.15,0,0.15,0,0.15,0,0,11.4,38.1,40.2,25.1,22.4,17.85,14.85,9.5,23.75,77.3,83.7,49.35,42.2,37.85,29.2,26.15,35.15,115.4,123.9,74.45,64.6,55.7,44.05,35.65,0.3,1.9,0,0.35,66.1,0.25,263349.75,260569.85,0,2.85,2777.05,2.5,0,2.5,19382.75,45863.2,19212.8,0,0.05,169.9,45613.9,0,0.6,248.7,0,0,19382.75,0,0,45863.2,4302.4,10238.35,1.2,0.9,50345.95,0.35
3,80,0.2,0.04,0.04,0,0.1,0,0,0.15,0.05,0,0.05,0,0.1,0,0.05,93.85,161.15,255,21.25,0,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0,0.05,0,0,0.15,10.6,37.8,45.45,25.9,22.45,18.05,15.8,11.65,20.85,69.3,71,39.4,39.85,28.8,32.05,21.05,31.45,107.1,116.45,65.3,62.3,46.85,47.85,32.7,0.15,1.8,0,0.7,69.85,0.55,263359.9,260578.3,0.05,3.2,2778.35,2.95,0,2.95,19312.25,46016,19142.25,0,0.1,169.9,45766.5,0,0.4,249.1,0,0,19312.25,0,0,46016,4289.9,10277.4,1.05,1.1,50365.3,0.35
4,80,0.2,0.08,0.16,0,0.05,0,0.05,0.1,0.1,0,0.15,0.05,0,0,0,94.05,174.75,268.8,19.8,0,0.25,0.25,0.05,0.05,0,0,0,0.05,0.1,0.15,0,0.05,0.1,0.1,0,0,9.6,41.85,42.6,27.05,22.5,19.35,15.15,10,22.25,80.55,71.95,42.85,45.05,37.05,29.4,20.4,31.85,122.4,114.55,69.9,67.55,56.4,44.55,30.4,0.2,1.45,0,0.45,68.85,0.2,263371.05,260589.6,0.05,1.95,2779.45,1.75,0,1.75,19228.25,46181.55,19058.25,0,0.1,169.9,45932.05,0.05,0.15,249.3,0,0,19228.25,0,0,46181.55,4273.9,10318.45,0.6,0.85,50382.4,0.15
5,80,0.8,0.15,0.11,0,0.45,0,0.25,0.5,0.3,0,0.45,0.1,0.1,0.15,0,97.6,33.7,131.3,21.85,0,0.2,0.2,0.05,0.05,0,0,0,0.05,0.1,0.1,0,0.15,0,0,0,0.05,11.4,40.55,45.65,26.4,23.7,20.9,15.55,11.05,4.6,13.3,15.8,9.7,7.3,7.75,4.85,4.1,16,53.85,61.45,36.1,31,28.65,20.4,15.15,0.6,2,0,1.1,67.9,0.9,263383.15,260597.1,0.25,4.55,2781.25,3.95,0,3.95,19288.95,46206.7,19118.7,0,0.25,170,45956.4,0.05,0.7,249.55,0,0,19288.95,0,0,46206.7,4289.25,10330.2,1.3,1.45,50398.8,0.85
6,80,0.25,NaN,NaN,0,0.1,0,0,0.2,0.05,0,0.05,0.15,0,0,0.05,92.2,32.2,124.4,21.9,0.1,0.6,0.7,0.45,0.35,0.1,0,0.3,0.15,0.45,0.25,0,0.4,0.1,0.05,0.15,0,9.5,39.95,42.75,27.45,21.75,17.25,14.55,11.2,3.85,13.35,15,10.4,7.2,6.1,5.7,2.8,13.35,53.3,57.75,37.85,28.95,23.35,20.25,14,0.4,1.9,0.1,0.8,71.15,0.45,263392,260605.85,0,3.05,2783.1,2.65,0,2.65,19344.95,46231.35,19174.65,0,0.1,170.2,45981.05,0,0.45,249.85,0,0,19344.95,0,0,46231.35,4305.85,10342.05,1.25,1.45,50416.2,0.65
7,80,0.5,0.06,0.08,0,0.15,0,0.2,0.45,0.05,0,0,0.35,0.1,0,0.05,93.35,31.8,125.15,21.25,0,0.35,0.35,0.1,0.1,0,0,0.05,0.05,0.25,0.1,0,0.1,0.15,0.05,0,0.05,11.75,38.45,43.15,27.25,21.75,18.7,15.4,10.25,3.85,12.3,15.65,8.45,7.5,6.9,5.4,3.55,15.6,50.75,58.8,35.7,29.25,25.6,20.8,13.8,0.4,2.95,0,1.25,69.5,1.1,263402.5,260612.05,0.1,4.5,2785.85,4.05,0,4.05,19403.5,46253.6,19232.75,0,0.5,170.25,46002.5,0.1,0.6,250.4,0,0,19403.5,0,0,46253.6,4321.75,10353.75,1.8,1.8,50432.7,0.75
8,80,0.4,0.07,0.07,0,0.2,0.05,0.05,0.4,0,0,0.1,0.05,0.1,0,0.15,99.05,31.85,130.9,23.65,0.05,0.35,0.4,0.2,0.2,0,0,0.15,0.05,0.35,0.05,0,0,0.3,0.05,0,0.05,9.75,43.65,45.65,29.95,22.65,20,16,10.45,2.5,14.5,14.85,9.15,6.65,6.9,5.4,3.75,12.25,58.15,60.5,39.1,29.3,26.9,21.4,14.2,0.3,3.35,0,0.85,67.35,0.4,263415.15,260622.55,0.2,3.45,2788.95,3.1,0,3.1,19468,46277.1,19296.95,0,0.25,170.8,46025.75,0.1,0.4,250.85,0,0,19468,0,0,46277.1,4341.5,10363.8,1.25,0.95,50450.55,0.7
9,80,0.3,0.07,0.14,0,0.15,0,0.15,0.25,0.05,0,0.05,0.05,0.15,0,0.05,93,32.75,125.75,20.15,0.1,0.3,0.4,0.3,0.25,0.05,0,0.1,0.2,0.35,0.05,0,0.1,0.1,0.15,0,0.05,11.85,39.55,41.6,25.45,22.15,20.85,14.7,9.85,3,14.05,15.7,7.6,8.3,7.65,4.8,4.4,14.85,53.6,57.3,33.05,30.45,28.5,19.5,14.25,0.4,1.35,0.05,0.5,65.3,0.4,263429.85,260637.3,0.05,2.5,2790,2.1,0,2.1,19525.7,46302.4,19354.55,0,0.3,170.85,46050.9,0.05,0.45,251,0,0,19525.7,0,0,46302.4,4356.35,10374.6,1,0.75,50468.9,0.75
