Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.8018,1.55,2.05
2,0.2955,0.1,0.5
3,0.2005,0.05,0.4
4,0.2527,0.1,0.45
5,0.1989,0.05,0.4
6,0.7003,0.35,1.2
7,0.3606,0.15,0.6
8,0.4091,0.15,0.75
9,0.4002,0.15,0.7
10,0.416,0.1,0.75
11,0.047,0,0.15
12,0.0495999999999999,0,0.15
13,0.3901,0.1,0.75
14,0.5467,0.2,0.9
15,0.6609,0.3,1
16,0.8739,0.4,1.35
17,0.294,0.05,0.65
18,0.2053,0,0.45
19,0.4441,0.1,0.85
20,0.0552999999999999,0,0.15
21,0.3479,0.05,0.6
22,0.8383,0.3,1.45
23,0.6571,0.45,0.85
24,0.7044,0.45,1
25,0.4998,0.25,0.75
26,0.6119,0.2,1.1
27,0.5923,0.3,0.95
28,0.8362,0.4,1.25
29,0.7037,0.4,1.05
30,0.785,0.4,1.15
31,0.4832,0.2,0.85
32,0.9381,0.5,1.45
33,0.5487,0.2,0.9
34,1.5428,1.2,1.9
35,0.4011,0.2,0.6
36,1.0944,0.4,1.75
37,0.6636,0.35,1
38,0.7551,0.45,1.1
39,0.5155,0.2,0.85
40,0.6608,0.3,1.1
41,0.3139,0.05,0.65
42,0.2609,0.05,0.45
43,0.5048,0.3,0.7
44,0.1584,0,0.4
45,0.3108,0.1,0.55
46,0.2069,0.05,0.35
47,0.3392,0.15,0.6
48,0.3477,0.1,0.65
49,0.2055,0.05,0.4
50,0.1993,0.05,0.4
51,0.3057,0.1,0.6
52,0.2548,0.05,0.55
53,0.145,0,0.3
54,0.1068,0,0.3
55,0.3588,0.1,0.65
56,0.6038,0.25,1
57,0.3585,0.15,0.55
58,1.0524,0.6,1.55
59,1.0112,0.6,1.4
60,0.6065,0.35,0.95
61,0.5008,0.25,0.75
62,0.4772,0.15,0.9
63,0.8994,0.45,1.45
64,0.3479,0.1,0.65
65,0.5587,0.25,0.9
66,0.3464,0.15,0.55
67,0.2463,0.1,0.45
68,0.3056,0.1,0.55
69,0.4049,0.15,0.75
70,0.2023,0,0.55
71,0.7474,0.4,1.1
72,0.3437,0.1,0.6
73,0.4435,0.2,0.7
74,0.0979,0,0.25
75,0.047,0,0.15
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
