Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.0503,1,1.2
2,0.4978,0.3,0.75
3,0.6625,0.2,1.05
4,0.6606,0.3,1
5,1.1137,0.55,1.8
6,0.9064,0.55,1.25
7,1.2951,0.85,1.75
8,1.2757,0.8,1.8
9,1.7684,1.15,2.4
10,1.3249,0.8,1.9
11,1.7439,1.15,2.35
12,2.1429,1.25,3.1
13,2.7368,2,3.55
14,3.7701,2.65,4.85
15,3.0341,2.15,3.85
16,2.9794,2.05,3.95
17,2.5625,1.75,3.6
18,2.4567,1.8,3.2
19,1.8692,1.3,2.5
20,2.2516,1.4,3.2
21,2.5356,1.8,3.45
22,3.2244,2.35,4.2
23,2.7173,1.65,4
24,3.5396,2.6,4.5
25,3.1036,2.15,4.05
26,2.9481,2,4
27,1.858,1.35,2.4
28,1.2153,0.85,1.6
29,0.7422,0.35,1.15
30,0.7861,0.4,1.2
31,0.5032,0.25,0.8
32,0.4402,0.2,0.75
33,0.5384,0.25,0.9
34,0.6381,0.35,0.95
35,0.4921,0.2,0.85
36,1.3185,0.65,2.1
37,1.1551,0.65,1.65
38,0.9922,0.65,1.35
39,0.9052,0.45,1.35
40,1.545,1,2.15
41,1.4463,0.95,2.05
42,2.3434,1.75,2.95
43,2.3859,1.45,3.4
44,2.2585,1.5,3.1
45,1.6183,0.8,2.5
46,1.8389,1.15,2.65
47,1.8659,0.85,2.95
48,2.3787,1.65,3.2
49,1.8399,0.9,2.9
50,1.7643,0.9,2.8
51,2.2199,0.95,3.45
52,2.4233,1.35,3.6
53,2.3151,1.1,3.7
54,2.311,1.4,3.4
55,3.0174,1.9,4.2
56,3.2002,2,4.3
57,2.4951,1.1,4.15
58,2.8129,1.6,4
59,3.2044,2.1,4.4
60,2.5593,1.65,3.4
61,3.2818,1.95,4.6
62,3.8077,2.75,4.8
63,3.5996,2.45,4.75
64,4.5913,3.6,5.55
65,4.2825,2.85,5.75
66,4.648,3.45,5.8
67,3.9154,2.75,5.2
68,4.5898,3.8,5.35
69,4.8428,3.6,5.95
70,3.8737,3,4.85
71,4.4671,3.4,5.65
72,4.1901,2.8,5.75
73,5.1352,3.7,6.7
74,5.3991,3.85,6.85
75,4.0622,2.8,5.2
76,4.3949,3,6.2
77,4.7276,3.2,6.55
78,2.8582,1.95,3.8
79,3.7442,2.65,4.95
80,2.7208,1.75,3.75
81,2.9024,1.7,4.2
82,2.1451,1,3.45
83,2.7742,1.6,4.15
84,2.7859,1.5,4.05
85,2.174,1.2,3.3
