Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.714,0.45,1
2,0.702,0.3,1.15
3,1.129,0.65,1.65
4,0.6607,0.35,1.05
5,1.2613,0.7,1.85
6,1.3996,0.8,2.05
7,1.8654,1.25,2.45
8,1.5641,1.05,2.1
9,1.3963,0.8,2.05
10,2.0748,1.35,2.8
11,2.0492,1.35,2.75
12,3.2843,2.35,4.25
13,3.947,3.1,4.75
14,3.139,2.25,4.05
15,3.7491,2.35,5.3
16,2.4312,1.8,3.1
17,2.5285,1.9,3.25
18,1.966,1.25,2.75
19,2.3333,1.55,3.2
20,2.8037,1.95,3.65
21,3.0366,2.2,3.9
22,3.3499,2.3,4.6
23,3.8186,2.8,4.8
24,3.8589,3.05,4.6
25,3.2073,2.3,4.2
26,1.0508,0.5,1.65
27,0.9042,0.5,1.35
28,0.8891,0.55,1.2
29,0.6927,0.4,1.05
30,0.3987,0.2,0.6
31,0.2435,0.05,0.5
32,0.6344,0.3,0.95
33,0.7372,0.45,1.1
34,0.3001,0.1,0.55
35,1.3787,0.85,1.95
36,1.2928,0.75,1.85
37,1.0933,0.75,1.5
38,1.1033,0.6,1.65
39,1.8314,1.25,2.45
40,2.0011,1.3,2.85
41,2.3056,1.7,2.9
42,2.7222,1.8,3.75
43,2.3413,1.3,3.5
44,1.7346,0.85,2.65
45,1.7756,1.15,2.5
46,2.033,0.95,3.25
47,2.4109,1.55,3.3
48,2.2211,1.3,3.2
49,1.9111,1,2.95
50,2.4154,1.35,3.7
51,2.3229,1.25,3.4
52,2.6531,1.3,4.25
53,2.9288,1.8,4
54,3.2544,2.15,4.25
55,2.8998,1.75,4.15
56,2.244,1.2,3.35
57,4.0744,2.55,5.8
58,3.2277,2.1,4.35
59,2.9758,1.9,4.1
60,3.8795,2.85,4.85
61,4.1586,2.85,5.5
62,3.1172,2,4.45
63,5.2834,4.3,6.25
64,4.4374,3,5.95
65,4.4536,3.35,5.7
66,4.4996,3.25,5.8
67,5.1646,4,6.65
68,4.7332,3.45,6.1
69,4.6096,3.45,5.7
70,5.3298,4.45,6.3
71,4.2742,2.85,5.8
72,5.2328,3.9,6.9
73,5.7901,4.5,7.25
74,4.8462,3.55,6.1
75,3.9032,2.65,5.25
76,5.2546,3.5,7.3
77,3.5385,2.5,4.75
78,3.5642,2.35,4.75
79,2.8227,1.75,3.9
80,3.3224,1.95,4.9
81,2.9289,1.6,4.35
82,2.4456,1.5,3.5
83,2.4715,1.4,3.6
84,2.0557,1.1,3.1
85,3.1647,1.8,4.45
