Week,Mean,LowerBound,UpperBound
0,0,0,0
1,96.3052,94,99.15
2,94.4237,92.4,96.55
3,92.0759,88.15,96.15
4,93.495,91.5,95.35
5,99.7629,95.55,103.9
6,93.3374,90.15,96.85
7,88.8220999999999,84.75,92.85
8,96.1307,92.1,100.55
9,93.9248,90.55,97.7
10,95.9904,91.85,99.8
11,96.2669,91.9,100.75
12,94.827,90.75,98.8
13,93.1589,88.95,97.3
14,94.1828,89.65,98.55
15,97.0242,92.55,101.35
16,91.9136,88.75,95.3
17,94.7399,90.7,98.1
18,91.261,88.1,94.3
19,95.1375,90.6,99.15
20,93.1635,88.7,97.25
21,88.9269,86.05,91.6
22,93.2879,89.25,97.45
23,87.2615,83.5,91.3
24,91.9246,88.05,95.8
25,93.9622,90.8,97.25
26,96.0588,92.15,99.9
27,93.1636,90.55,95.85
28,94.6557,90.3,99.1
29,94.3486,89.7,98.55
30,91.8228,86.6,97.05
31,91.832,86.5,96.35
32,92.6899,88.85,96.45
33,93.8072,90.95,96.75
34,92.5805,90.65,94.65
35,93.0532,89.3,97.2
36,93.9673,91.3,96.65
37,93.7219,90,97.5
38,98.9368,93.75,103.45
39,90.8566,85.55,95.35
40,89.771,86.25,93.45
41,87.4189,84.2,91.2
42,91.7514,88.15,95.35
43,92.0521,88.5,95.6
44,95.9243,90.4,101.1
45,91.6861,88.45,95.2
46,90.1919,87.8,92.65
47,91.9689,88.2,96.3
48,91.8602,87.6,96.45
49,89.1485,86.4,91.75
50,87.9095,83.75,92.35
51,91.074,87.15,95.2
52,94.6072,91,98.45
53,93.8439,89.65,98.15
54,95.252,92,99
55,89.5379,86.1,93.75
56,93.9712,90.7,97.5
57,92.2755,89.45,95.45
58,89.3938,85.5,93.65
59,91.1311,87.6,94.75
60,88.2126,83.1,93.7
61,88.4036,84,93.1
62,90.8589,88,93.9
63,86.4841,81.15,92.4
64,94.8818,90.8,99.45
65,87.7139,84.8,90.5
66,89.2967,85.4,93.3
67,91.5625,86.55,95.9
68,91.0963,87.6,94.9
69,92.2272,87.9,96.85
70,88.5093,85,91.95
71,85.3795,82.3,88.05
72,91.3585,86.9,95.75
73,88.7672,83.4,94.25
74,88.5421,85.2,92.5
75,91.178,88.65,94.15
76,87.9629,83.15,92.9
77,92.0307,88.25,95.45
78,90.7101,86.5,94.9
79,91.7737,88.1,95.15
80,89.8817,85.75,94.65
81,92.3124,88.5,96.2
82,83.8043,80.35,87.3
83,93.3789,90.1,96.15
84,80.6381,76,85.5
85,81.7229,78.4,85.4
