Week,Mean,LowerBound,UpperBound
0,0,0,0
1,2.1022,1.35,2.8
2,1.5956,0.8,2.5
3,2.5636,1.55,3.7
4,2.1466,1.35,3.05
5,4.3696,3.5,5.45
6,3.6764,2.55,4.75
7,5.6527,4,7.6
8,4.3596,2.95,5.95
9,4.2384,2.95,5.4
10,4.1798,2.85,5.6
11,4.357,2.85,6
12,4.2118,3.05,5.6
13,4.7705,3.05,6.7
14,4.4968,3.2,5.9
15,4.3746,2.9,5.95
16,4.9863,2.9,7.25
17,4.5255,3,6.1
18,4.0176,2.7,5.6
19,4.3258,2.9,5.9
20,5.2122,3.65,6.85
21,4.7355,2.8,6.75
22,6.4278,4.9,8.15
23,6.0775,4.55,7.6
24,7.0628,5.3,8.8
25,4.0749,2.7,5.25
26,6.5945,4.4,8.85
27,4.5988,3.65,5.55
28,7.3107,5.95,8.55
29,7.2875,6.05,8.45
30,7.001,5,9.2
31,7.3579,5.65,9.35
32,8.1514,6.35,10.1
33,9.7711,7.5,11.9
34,6.838,4.55,9.2
35,9.1988,7.1,11.65
36,7.3872,4.95,9.8
37,10.4734,8.15,13.15
38,7.5519,5.25,9.85
39,7.8038,5,10.6
40,8.0138,4.95,11.35
41,10.4291,6.8,14.55
42,10.0127,6.8,13.3
43,10.1812,6.65,14.25
44,7.3576,4.2,11.2
45,8.4373,5.8,11.3
46,6.098,3.95,8.4
47,7.1357,5.15,9.15
48,5.4228,3.7,7.4
49,4.8951,2.95,8.05
50,4.9784,3.7,6.4
51,5.7897,3.35,8.7
52,5.2777,3.2,7.75
53,5.78,3.4,8.65
54,4.6677,2.2,8.25
55,5.4528,3.1,8.35
56,4.8056,2.8,7.25
57,4.9532,2.65,7.15
58,5.2809,3.3,7.2
59,6.2608,3.9,8.85
60,5.2962,3.25,7.3
61,7.4725,5,10.55
62,7.342,4.45,11.05
63,6.7488,4.1,9.75
64,6.7701,4.45,9
65,6.6774,4.8,8.55
66,6.5019,4.1,9.35
67,7.0518,4.75,9.6
68,6.3506,4.2,8.8
69,7.8283,5.4,10.5
70,7.8523,5.4,10.3
71,4.8481,2.75,7
72,5.3519,3.25,8.1
73,6.2289,3.45,9.3
74,3.7943,1.65,6.25
75,3.9256,2,5.95
76,3.9047,2.15,5.85
77,3.2972,1.5,5.2
78,1.6885,0.6,3.2
79,2.2317,0.95,3.7
80,1.6376,0.7,3.05
81,1.9856,0.9,3.15
82,1.491,0.75,2.25
83,1.4157,0.6,2.4
84,2.1113,0.95,3.5
85,1.666,0.8,2.95
