Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.2481,0.05,0.4
3,0.2953,0,0.7
4,0.9096,0.6,1.3
5,0.4473,0.2,0.75
6,0.3939,0.15,0.65
7,0.3354,0.05,0.6
8,0.3507,0.15,0.6
9,0.6491,0.3,1
10,0.2027,0.05,0.4
11,0.0542,0,0.15
12,0.101,0,0.25
13,0.3387,0.05,0.7
14,0.3998,0.1,0.75
15,0.3921,0.05,0.9
16,0.4983,0.1,0.9
17,0.2519,0.05,0.5
18,0.1544,0,0.3
19,0.2041,0,0.55
20,0.1526,0,0.35
21,0.2634,0,0.6
22,0.4555,0.15,0.8
23,0.5008,0.25,0.75
24,0.2432,0.05,0.45
25,0.6391,0.25,1.05
26,0.9492,0.55,1.35
27,0.6962,0.45,0.95
28,0.5461,0.25,0.85
29,0.8082,0.5,1.15
30,1.0467,0.55,1.55
31,1.0525,0.75,1.35
32,0.6071,0.25,1.05
33,1.2369,0.8,1.75
34,1.4875,0.85,2.3
35,0.5964,0.3,0.9
36,0.9069,0.55,1.3
37,0.5422,0.25,0.85
38,0.7452,0.3,1.15
39,0.8402,0.45,1.3
40,0.349,0.1,0.6
41,0.4029,0.05,0.8
42,0.401,0.05,0.8
43,0.2505,0.05,0.45
44,0.2015,0.05,0.4
45,0.0989,0,0.25
46,0.1539,0,0.4
47,0.2435,0.05,0.45
48,0.5407,0.15,1
49,0.292,0.05,0.6
50,0.1392,0,0.4
51,0.2466,0.05,0.45
52,0.4433,0.15,0.85
53,0.3543,0.15,0.6
54,0.4548,0.15,0.8
55,0.5527,0.25,0.9
56,0.6026,0.3,0.95
57,0.2524,0,0.55
58,0.4525,0.15,0.75
59,0.602,0.25,1
60,0.5449,0.2,0.95
61,0.2429,0.05,0.5
62,0.5448,0.3,0.8
63,0.1506,0,0.3
64,0.342,0.1,0.65
65,0.0499,0,0.15
66,0.4996,0.25,0.8
67,0.045,0,0.15
68,0.2544,0.05,0.5
69,0.7002,0.35,1.05
70,0.5554,0.1,1.1
71,0.1446,0,0.3
72,0.6036,0.3,0.9
73,0.1896,0,0.45
74,0,0,0
75,0.0497,0,0.15
76,0,0,0
77,0,0,0
78,0.0993999999999999,0,0.3
79,0.0497,0,0.15
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
