Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.5995,1.35,1.8
2,0.4497,0.2,0.7
3,0.1443,0,0.3
4,0.1907,0.05,0.4
5,0.0502999999999999,0,0.2
6,0.1957,0.05,0.4
7,0.1005,0,0.25
8,0.1453,0,0.35
9,0.5529,0.15,1.05
10,0.2988,0.05,0.65
11,0.301,0.1,0.55
12,0.1486,0,0.35
13,0.2515,0.05,0.5
14,0.2997,0.15,0.5
15,0.5546,0.25,0.95
16,0.7894,0.35,1.3
17,0.7512,0.4,1.1
18,0.3975,0.2,0.6
19,0.3015,0.1,0.55
20,0.2001,0,0.4
21,0.3039,0.1,0.5
22,0.4007,0.2,0.6
23,0.7969,0.4,1.2
24,0.3931,0.15,0.6
25,0.2507,0.05,0.55
26,0.6642,0.3,1.05
27,0.3985,0.2,0.6
28,0.3007,0.1,0.55
29,0.3003,0.1,0.55
30,0.2081,0.05,0.4
31,0.249,0.1,0.45
32,0.6584,0.25,1.1
33,0.551,0.25,0.9
34,0.6176,0.3,0.95
35,0.4034,0.15,0.65
36,0.7872,0.4,1.25
37,0.3865,0.1,0.75
38,0.2995,0.05,0.65
39,0.201,0,0.45
40,0.3494,0.1,0.7
41,0.4969,0.15,0.95
42,0.4011,0.15,0.65
43,0.253,0.1,0.45
44,0.5516,0.25,0.9
45,0.251,0.05,0.5
46,0.4975,0.2,0.8
47,0.0993,0,0.25
48,0.1998,0.05,0.4
49,0.5552,0.25,0.85
50,0.3387,0.15,0.55
51,0.0975,0,0.25
52,0.0502999999999999,0,0.2
53,0.2521,0.05,0.45
54,0.2004,0,0.4
55,0.3442,0.1,0.6
56,0.2466,0.05,0.45
57,0.5462,0.2,0.95
58,0.5896,0.3,1
59,0.6425,0.35,0.9
60,0.4363,0.1,0.85
61,0.705,0.4,1.05
62,0.6906,0.35,1
63,0.3007,0.1,0.6
64,0.4082,0.15,0.7
65,0.2425,0.05,0.45
66,0.5424,0.25,0.85
67,0.45,0.2,0.8
68,0.888,0.6,1.2
69,0.603,0.35,0.9
70,0.5347,0.25,0.9
71,0.7363,0.4,1.1
72,0.3889,0.1,0.8
73,0.3884,0.05,0.85
74,0.4295,0.1,0.85
75,0.3953,0.05,0.8
76,0.3566,0.05,0.8
77,0.2538,0.05,0.5
78,0.1498,0,0.3
79,0.2482,0.05,0.5
80,0.0995,0,0.25
81,0.1514,0,0.3
82,0.1486,0,0.35
83,0.0478,0,0.15
84,0.0497,0,0.15
85,0.1006,0,0.25
