Week,Mean,LowerBound,UpperBound
0,0,0,0
1,21.1078,18.95,22.9
2,19.5282,17.8,21.25
3,20.9502,19.15,22.5
4,19.0359,16.85,21.2
5,18.1016,16.95,19.35
6,20.586,19.15,21.85
7,22.0703,20.5,23.8
8,19.7279,18,21.55
9,17.9158,16.75,19.15
10,20.3905,18.9,21.9
11,19.3693,17.45,21.1
12,21.3587,19,23.5
13,21.2609,19.15,23.3
14,18.2485,16.85,19.75
15,17.8594,16.4,19.4
16,19.9359,18.35,21.5
17,19.5607,18.4,20.75
18,19.9555,18.15,21.85
19,20.238,18.2,22.2
20,18.3968,17.2,19.85
21,18.0523,16.65,19.7
22,15.9619,14.95,16.95
23,17.135,15.45,18.95
24,19.1057,17.65,20.75
25,18.7889,17.05,20.6
26,21.5832,19.9,23.3
27,20.3173,18.65,22.05
28,20.5054,17.55,23.4
29,21.5427,19.85,23.25
30,18.8647,16.8,21.15
31,17.8397,15.7,19.85
32,21.2704,20,22.55
33,21.1363,19.1,22.95
34,20.3289,18.95,21.6
35,22.1974,20.65,24
36,19.0896,17.8,20.35
37,21.5593,19.4,23.5
38,22.4948,20.15,24.75
39,21.0962,19.25,22.8
40,19.7318,18.3,21.15
41,15.9269,14.3,17.75
42,20.2134,18.8,21.65
43,19.1409,17.7,20.55
44,22.1597,19.95,24.3
45,18.2656,16.85,19.7
46,20.3666,18.85,21.65
47,18.9401,16.15,21.75
48,17.4669,16.35,18.85
49,18.6612,16.65,20.45
50,20.487,18.5,22.4
51,18.9716,17.1,21
52,21.4387,19.65,23.35
53,19.5021,18.05,21.3
54,21.5509,19.15,24.05
55,19.8825,18.4,21.4
56,19.2012,17.2,21.1
57,19.6932,18.65,20.65
58,17.7936,16.8,19
59,18.9984,17.2,20.8
60,23.9316,22,25.85
61,20.5152,18.55,22.15
62,18.7436,16.25,21.3
63,22.72,20.95,24.6
64,17.5796,15,20.15
65,21.8036,20.05,23.45
66,19.7141,18.1,21.45
67,16.5017,14.8,18.1
68,20.7542,18.65,22.75
69,17.2841,16.6,18
70,20.6201,18.55,22.7
71,20.2906,18.85,21.7
72,18.4981,17.1,19.8
73,20.6319,18.75,22.55
74,19.6034,17.85,21.35
75,19.6593,17.8,21.5
76,17.1016,14.35,20.5
77,20.2929,18.95,21.8
78,17.6079,16.2,19
79,19.2785,17.35,21.05
80,18.8427,17.6,20.1
81,17.8494,16,19.8
82,19.5382,17.7,21.4
83,22.7514,20.15,25.25
84,19.6606,17.6,21.45
85,18.4029,16.7,20.1
