Week,Mean,LowerBound,UpperBound
0,0,0,0
1,276.5016,267.8,285.2
2,280.4671,272.45,288.15
3,254.4734,245.6,264.6
4,274.4162,269.45,279.25
5,116.7108,111.2,122.15
6,129.8177,124.1,136.35
7,124.9037,121.65,128.7
8,124.165,117.85,130.7
9,118.8339,115.8,121.75
10,130.7743,125.95,135.35
11,127.3282,124.25,130.7
12,128.0096,123.85,131.25
13,130.7244,126.55,135.15
14,124.7718,120.8,128.9
15,125.4578,121.45,129
16,124.1327,119.85,128.05
17,134.7492,130.9,138.6
18,120.8559,117.75,124.4
19,125.3049,120.65,129.85
20,127.9827,123.7,132.4
21,127.6685,122.65,132.25
22,118.9446,114.15,123.65
23,120.1203,113.55,126.6
24,126.9001,121.35,133.2
25,122.1963,118.25,126.1
26,127.2956,122.3,132.05
27,123.9615,120.2,127.65
28,122.2189,117.4,127.2
29,126.3042,122.9,129.6
30,118.8076,113.75,124.1
31,124.1601,122.15,126.55
32,125.0313,120.8,129.1
33,130.4598,125.25,136.05
34,126.2877,122.45,130.6
35,125.366,122.1,128.6
36,120.6012,116.95,123.95
37,125.345,121.75,129.2
38,129.8419,123.1,136.05
39,132.1466,126.8,137.25
40,125.102,120.8,129.05
41,119.7468,116.4,123
42,125.2125,120.95,129.85
43,122.4208,118.35,126.9
44,116.246,110.85,121.55
45,124.4527,122.1,126.9
46,129.6391,125.85,133.25
47,109.7575,104.4,114.95
48,122.0555,117.7,126.15
49,123.1595,119.75,126.1
50,122.416,117.85,126.7
51,116.3142,112.15,121.25
52,128.728,124.7,132.9
53,123.6683,117.4,128.95
54,128.23,123.45,132.55
55,124.2564,119.7,128.8
56,118.4599,115.2,121.75
57,120.6387,115.8,125.75
58,124.6839,120.45,128.75
59,120.4871,115.4,125.9
60,127.5574,123.85,131.85
61,119.7212,115.55,123.5
62,126.628,122.1,130.4
63,120.1723,115.45,124.2
64,123.8486,117.75,131.55
65,122.1763,117.5,126.25
66,124.0535,119.35,128.9
67,116.042,112.5,119.75
68,124.9736,120.1,129.65
69,120.8677,116.1,125.2
70,128.7829,126.75,130.85
71,128.6977,124.85,131.8
72,121.8803,116.8,127.7
73,123.5813,120.45,126.75
74,121.5895,118.35,124.95
75,124.8449,121,129
76,117.6991,113.2,122.45
77,127.1769,121.5,132.2
78,119.3696,115.65,122.65
79,121.4155,117,126.35
80,117.9367,113.55,122.3
81,122.0299,116.55,127.3
82,120.4133,115.15,125.95
83,121.257,116.8,125.85
84,121.0971,117.85,124.75
85,120.8597,114.95,126.3
