Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.9029,1.65,2.15
2,2.8864,2.45,3.35
3,4.7743,3.85,5.7
4,6.5187,5.15,7.9
5,8.2953,6.3,10.25
6,10.209,8,12.4
7,12.9946,10.8,15.1
8,15.4856,13.05,17.9
9,18.6004,15.65,21.5
10,21.1026,17.5,24.75
11,23.4604,19,27.9
12,25.9311,20.8,31.75
13,28.8274,22.8,35.6
14,32.572,25.95,40.25
15,36.8485,29.5,44.9
16,40.8389,32.45,49.6
17,46.211,36.8,55.7
18,51.1896,40.75,62.15
19,55.4727,43.2,68.7
20,60.6632,47.3,74.55
21,65.7833,50.9,81
22,71.9576,55.4,89.2
23,78.8738,60.15,98.35
24,87.0573,67.35,108.9
25,95.6033,73.7,118.85
26,105.0076,81.55,130.9
27,115.288,89.75,142.95
28,124.5824,97.2,153.55
29,135.1035,106.55,166.15
30,146.6455,116.55,179.55
31,159.0724,125.85,194.35
32,170.8701,135.95,208.5
33,185.8433,147.55,226.75
34,200.6813,158.95,246
35,214.6868,171.1,261.6
36,228.2686,182.75,278.8
37,240.8626,193.05,292.15
38,253.9719,204.05,306.15
39,267.5046,215.55,323.75
40,281.6363,226.3,342.2
41,293.33,235.1,356.7
42,305.351,244.4,372.3
43,318.0392,254.2,387.95
44,329.2453,264.15,401.6
45,341.1329,273.25,417.35
46,353.0691,281.2,431.85
47,365.3756,289.4,447.05
48,377.4381,297.95,463.15
49,389.9523,307.25,478.4
50,401.8692,316.7,494.5
51,414.4627,326.9,510
52,426.7338,336.75,526.75
53,438.6367,345.4,539.65
54,450.5569,355.45,553.2
55,463.2564,366.05,567.25
56,475.7516,377.2,582.6
57,488.8154,389.35,598.35
58,502.5951,402.95,613.75
59,517.4116,416.5,630.3
60,530.5354,428,644.35
61,543.3216,439.4,660.7
62,557.7318,452.7,675.65
63,570.9378,465.35,689.35
64,583.1637,477.95,702.8
65,596.8106,490.25,716.75
66,608.5792,499.8,730.4
67,620.3083,509.8,743.95
68,633.1387,522.25,759.75
69,644.9332,533.15,772.8
70,655.9543,541.25,784.8
71,668.2351,553.05,798.8
72,678.9143,563.65,809.85
73,689.5979,573.9,821.65
74,699.0585,583.55,830.05
75,707.2375,590.75,838.35
76,714.251,596.85,845
77,721.3272,602.45,851.4
78,727.6637,607.3,857.45
79,734.3289,613.7,862.85
80,738.9009,618.25,867.55
81,744.6372,623,873.6
82,750.0611,628.35,878.4
83,754.7049,634.15,881.3
84,758.6971,638.6,885
85,762.5677,643.75,888.3
