Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,1.15,0.19,0,0,0.45,0,0.2,0.95,0.2,0,0.3,0.4,0.1,0.05,0.3,193.25,171.3,364.55,40.85,0,1.45,1.45,0.55,0,0.55,0,0,0.55,0,1.45,0,0,0.9,0.55,0,0,22.5,84.4,86.35,51.9,49.45,36.95,30.8,24.15,16.95,76.4,77.95,45.35,35.05,39,27.6,24.3,39.45,160.8,164.3,97.25,84.5,75.95,58.4,48.45,0.8,2.6,0,0.65,69.55,0.2,263332.45,260552.6,0.35,4.2,2775.3,3.1,0,3.1,19581.2,45682.4,19411.15,0,0.05,170,45433.2,0.1,0.7,248.4,0,0,19581.2,0,0,45682.4,4341.9,10190.3,1.4,0.6,50325.2,0.45
2,80,0.3,0.09,0.09,0,0.1,0.1,0.15,0.3,0,0,0,0.05,0.05,0,0.2,198.25,183.25,381.5,41.55,0,0.95,0.95,0.45,0.2,0.25,0,0.25,0.2,0.55,0.4,0,0.05,0.5,0.2,0.05,0.15,20.8,83.8,93.65,55.8,46.8,39.8,34,21.85,21.7,77.75,83.8,49.9,43.75,38.2,27.4,24,42.5,161.55,177.45,105.7,90.55,78,61.4,45.85,0.5,1.9,0,0.9,72.4,0.4,263340.05,260560.2,0.15,2.8,2776.9,2.15,0,2.15,19591.95,45855.25,19421.8,0.05,0.1,170,45605.9,0.1,0.4,248.85,0,0,19591.95,0,0,45855.25,4344.65,10233.7,1.1,0.55,50343.25,0.65
3,80,0.8,0.19,0.25,0,0.5,0.1,0.2,0.75,0.05,0,0.35,0.2,0.2,0,0.05,187.6,164,351.6,41.45,0.05,0.3,0.35,0.15,0.15,0,0,0.1,0.05,0.3,0.05,0,0.2,0,0.1,0,0.05,20.05,80.45,87.1,49.25,47.75,34.95,31.4,24.25,20.7,70.15,73.15,40.4,37.95,31.75,32.2,21.7,40.75,150.6,160.25,89.65,85.7,66.7,63.6,45.95,0.7,2.15,0,0.4,66.55,0.3,263353.5,260572.1,0.25,2.35,2778.8,1.5,0,1.5,19611.65,46011.5,19441.35,0,0.2,170.1,45761.75,0.05,0.8,248.9,0,0,19611.65,0,0,46011.5,4353.65,10274.9,0.7,0.5,50362.45,0.6
4,80,1,NaN,NaN,0,0.3,0.25,0.3,0.9,0.1,0,0.4,0.55,0,0,0.05,189.6,177.4,367,42.35,0.15,0.55,0.7,0.35,0.35,0,0,0.25,0.1,0.7,0,0,0,0.4,0.15,0,0.15,21.15,76.55,91.9,53.8,44.5,34.95,32.75,23.6,22.75,81.95,72.7,45.05,43.95,40.25,28.65,19.5,43.9,158.5,164.6,98.85,88.45,75.2,61.4,43.1,1,0.6,0,0.05,63.25,0.2,263370.25,260588,0.25,2.75,2779.25,1.75,0,1.75,19620.45,46181.2,19449.9,0.1,0.25,170.2,45931.2,0,1,249,0,0,19620.45,0,0,46181.2,4360.8,10316.5,0.45,0.65,50382.75,0.8
5,80,0.75,0.13,0.17,0,0.35,0,0.15,0.6,0.15,0,0.25,0.3,0.1,0,0.1,184.3,63.5,247.8,42.25,0,1,1,0.45,0.45,0,0,0.3,0.15,0.8,0.2,0,0.5,0.3,0.1,0,0.1,21.4,80.5,82.4,53.05,44.8,34.3,28.5,23.65,8.35,26.55,28.6,16.55,18.35,12.25,9.65,6.7,29.75,107.05,111,69.6,63.15,46.55,38.15,30.35,0.45,1.85,0,1.05,67.7,0.5,263382.55,260597.75,0.55,3.35,2780.9,2.9,0,2.9,19737.2,46236.2,19566.45,0.1,0.2,170.45,45985.6,0.05,1.1,249.45,0,0,19737.2,0,0,46236.2,4390.05,10334.5,1.05,0.85,50400.4,0.8
6,80,0.75,0.18,0.42,0,0.4,0,0.2,0.6,0.15,0,0.1,0.45,0.1,0,0.1,186.85,72.95,259.8,36.65,0,0.35,0.35,0.1,0.1,0,0,0,0.1,0.3,0.05,0,0.2,0,0.1,0,0.05,19.75,79.8,87.3,54.7,45.65,35.55,28.85,22.1,7.7,32.25,33,21.85,16.2,14.4,12.9,7.6,27.45,112.05,120.3,76.55,61.85,49.95,41.75,29.7,0.7,1.45,0,0.4,62.4,0.35,263400.15,260615.3,0.6,2.6,2781.65,1.8,0,1.8,19847.9,46300.45,19677.15,0,0.15,170.6,46049.8,0.25,0.75,249.65,0,0,19847.9,0,0,46300.45,4416.1,10351.25,0.65,0.95,50420.35,0.15
7,80,0.85,0.19,0.3,0,0.35,0,0.1,0.75,0.1,0,0.1,0.3,0.3,0.05,0.1,185.7,65.55,251.25,40.95,0,0.75,0.75,0.2,0.05,0.15,0,0.15,0.05,0.55,0.2,0,0.1,0.55,0,0,0.1,20.4,76.7,88.6,49.5,43.9,40.5,30.4,21.4,8.45,28.5,28.6,17.65,15.65,10.95,11.65,9.65,28.85,105.2,117.2,67.15,59.55,51.45,42.05,31.05,0.85,1.7,0,0.6,65.6,0.4,263414.55,260627.1,0.6,3.75,2783.1,2.85,0,2.85,19964.15,46357.95,19793.35,0,0.1,170.7,46106.85,0.1,0.6,250.4,0,0,19964.15,0,0,46357.95,4444.35,10369.95,0.75,1.05,50435.1,0.65
8,80,1.2,0.26,0.3,0,0.75,0,0.5,0.95,0.25,0,0.2,0.45,0.1,0.1,0.35,181.8,69.35,251.15,42.45,0.05,0.9,0.95,0.6,0.6,0,0,0.35,0.25,0.9,0.05,0,0.15,0.35,0.3,0.1,0.05,18.75,74.8,88.25,46.95,46.3,35.45,31.85,21.25,7.2,27.95,34.2,19.4,17.5,11.2,12.35,8.9,25.95,102.75,122.45,66.35,63.8,46.65,44.2,30.15,1.2,1.55,0.05,0.75,67.2,0.45,263427.35,260638.05,0.55,4.4,2784.35,3.2,0,3.2,20072.65,46419.6,19901.65,0,0.1,170.9,46168.1,0.35,0.5,250.65,0,0,20072.65,0,0,46419.6,4472.45,10389.85,1,1,50453.35,1.1
9,80,1.15,0.21,0.32,0,0.45,0.1,0.05,0.75,0.4,0,0.4,0.5,0.15,0.1,0,199.75,67.65,267.4,41.95,0.15,1,1.15,0.75,0.55,0.2,0,0.45,0.3,0.8,0.35,0,0.35,0.4,0.1,0.05,0.25,20.75,85.5,93.5,55.75,48.95,37.55,34.75,22.75,8.7,29.05,29.9,19.35,15.4,13.5,10.05,9.35,29.45,114.55,123.4,75.1,64.35,51.05,44.8,32.1,1.2,1.35,0.1,1.3,67.55,0.6,263439.8,260649.7,0.4,4.25,2785.45,2.95,0,2.95,20200.95,46478.95,20029.7,0.05,0.1,171.1,46227.4,0.05,0.75,250.75,0,0,20200.95,0,0,46478.95,4499.8,10410.45,1.5,0.95,50469.75,1.35
