Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.1429,0.65,1.65
2,0.2877,0.1,0.55
3,0.7951,0.45,1.2
4,0.996,0.55,1.45
5,0.7602,0.35,1.15
6,0.7656,0.35,1.25
7,0.843,0.4,1.3
8,1.2007,0.6,1.85
9,1.1487,0.5,1.9
10,1.713,1.1,2.35
11,1.8208,1.1,2.9
12,2.9492,1.8,4.5
13,2.4438,1.55,3.75
14,2.8231,2,3.7
15,2.105,1.05,3.4
16,1.8312,1.15,2.65
17,1.8367,1.05,2.7
18,1.3873,0.8,2.05
19,0.6927,0.3,1.2
20,1.7222,1.1,2.3
21,1.5883,0.8,2.4
22,2.4417,1.45,3.45
23,2.6534,1.75,3.55
24,2.5059,1.9,3.15
25,1.6641,1.1,2.2
26,2.1475,1.6,2.65
27,2.6249,1.85,3.4
28,2.1084,1.35,2.9
29,1.3609,0.95,1.85
30,2.6073,1.3,3.95
31,3.2526,2.15,4.4
32,2.9003,1.85,3.9
33,2.587,2,3.25
34,3.1375,2.1,4.2
35,2.6036,1.35,4.4
36,3.4816,2.4,4.6
37,2.1085,1.55,2.8
38,2.7697,1.7,4
39,1.7527,1,2.7
40,2.2405,1.5,3.05
41,2.5837,1.45,3.55
42,1.6252,1.05,2.2
43,1.7182,0.65,3.2
44,1.6087,0.55,2.7
45,1.0546,0.4,1.8
46,1.9605,1,3.1
47,1.3252,0.7,1.95
48,1.2219,0.3,2.35
49,1.6166,0.6,2.65
50,2.1161,1.2,3.05
51,1.1246,0.55,1.7
52,1.6546,0.6,2.8
53,2.1784,1.15,3.25
54,1.1881,0.25,2.2
55,1.3317,0.6,2.15
56,0.9328,0.35,1.55
57,1.6911,0.75,2.7
58,1.4424,0.7,2.1
59,1.7863,1.1,2.55
60,2.4742,1.4,3.5
61,1.7711,1.05,2.45
62,1.3336,0.7,2.05
63,1.1361,0.45,1.95
64,1.0845,0.5,1.75
65,1.5623,1,2.05
66,1.2971,0.6,2.15
67,1.2514,0.75,1.7
68,1.7036,1.1,2.55
69,1.5304,0.75,2.45
70,1.9625,0.95,3.3
71,1.5554,0.55,2.9
72,1.8765,0.45,3.7
73,1.4159,0.5,2.65
74,1.5549,0.65,2.6
75,1.6662,0.6,3
76,1.8604,0.6,3.4
77,2.0541,0.85,3.45
78,1.8982,0.7,3.3
79,2.0559,0.7,3.65
80,2.259,0.8,3.95
81,2.3988,0.9,4.2
82,1.5566,0.55,2.75
83,1.5935,0.5,2.95
84,0.5469,0.15,1.05
85,0.3986,0.1,0.75
