Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.9,1.7,2.05
2,0.6541,0.35,1
3,0.8565,0.5,1.2
4,0.5699,0.2,1
5,1.1588,0.65,1.65
6,0.6139,0.3,0.95
7,0.8579,0.45,1.35
8,0.6754,0.2,1.25
9,0.8474,0.3,1.45
10,0.7795,0.25,1.55
11,0.3643,0.1,0.7
12,0.4102,0.1,0.8
13,0.8674,0.4,1.5
14,1.517,0.7,2.4
15,0.9341,0.3,1.8
16,1.659,0.8,2.55
17,1.9884,0.95,3.25
18,1.3856,0.75,2.15
19,1.869,1.1,2.85
20,0.883,0.45,1.3
21,1.499,0.8,2.2
22,1.711,1.1,2.4
23,2.0514,1.4,2.65
24,1.7585,1.15,2.45
25,2.7849,2.05,3.5
26,1.5664,0.8,2.4
27,0.7604,0.4,1.15
28,1.7382,1.35,2.1
29,1.9995,1.4,2.65
30,1.8942,1.2,2.6
31,1.7158,0.85,2.7
32,1.945,1.15,2.75
33,2.5885,1.65,3.7
34,3.3503,2.05,4.75
35,3.1073,2.3,4.15
36,3.2263,2.1,4.35
37,3.534,2.65,4.55
38,2.4729,1.9,3.1
39,2.7622,1.75,3.9
40,2.8434,2.1,3.6
41,2.1079,1.55,2.7
42,2.4739,1.55,3.4
43,1.8137,1.1,2.6
44,1.5591,0.95,2.2
45,1.6214,0.95,2.4
46,1.3649,0.75,2.05
47,1.1985,0.8,1.65
48,0.8978,0.5,1.45
49,0.8542,0.35,1.55
50,0.8456,0.35,1.45
51,0.7491,0.35,1.3
52,1.2939,0.55,2.25
53,1.5022,0.75,2.25
54,1.8759,1.05,2.8
55,2.539,1.85,3.25
56,2.4154,1.7,3.15
57,1.8921,0.95,2.95
58,2.3143,1.45,3.2
59,2.3337,1.7,3
60,1.7519,0.9,2.65
61,1.3197,0.65,2.15
62,1.6907,1,2.45
63,1.1863,0.55,1.85
64,1.5466,0.7,2.5
65,2.1723,1.15,3.25
66,1.2824,0.75,1.9
67,2.1785,0.9,3.55
68,2.4734,1.45,3.55
69,2.2928,1.2,3.7
70,1.9111,1.15,2.75
71,2.0343,1.3,2.8
72,2.5532,1.55,3.75
73,2.1997,1.1,3.75
74,0.508,0.1,1.05
75,1.0473,0.35,1.95
76,0.8836,0.4,1.45
77,0.6372,0.15,1.25
78,0.3964,0.1,0.8
79,0.6346,0.3,1
80,0.6924,0.2,1.35
81,1.212,0.35,2.1
82,1.0605,0.2,2
83,0.3838,0.15,0.65
84,0.7232,0.15,1.3
85,0.145,0,0.3
