Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.9965,0.85,1.15
2,0.0514999999999999,0,0.15
3,0.305,0.15,0.5
4,0.2597,0.05,0.55
5,0.5539,0.35,0.75
6,0.2503,0.1,0.45
7,0.3172,0,0.75
8,0.4645,0.15,0.85
9,0.4449,0.15,0.8
10,0.3191,0,0.7
11,0.1039,0,0.25
12,0.2059,0,0.45
13,0.2136,0,0.6
14,0.3116,0.05,0.65
15,0.5083,0.15,0.9
16,0.6045,0.3,0.95
17,1.1442,0.55,1.8
18,0.5412,0.3,0.8
19,1.1212,0.6,1.75
20,0.3424,0.15,0.55
21,0.8883,0.4,1.5
22,0.6087,0.25,1
23,1.1874,0.8,1.55
24,0.7057,0.35,1.1
25,1.4506,0.95,1.95
26,0.9994,0.5,1.5
27,0.4046,0.15,0.7
28,1.1011,0.85,1.3
29,0.5673,0.2,1.1
30,1.1945,0.9,1.55
31,1.0974,0.5,1.8
32,1.445,0.9,2.1
33,1.2972,0.75,2
34,1.9066,1.05,2.75
35,1.0567,0.75,1.4
36,1.7794,1.15,2.45
37,1.792,1.15,2.6
38,1.0213,0.65,1.4
39,1.5428,0.9,2.3
40,1.4586,1.05,1.9
41,0.6546,0.4,0.95
42,1.0815,0.6,1.65
43,0.9988,0.6,1.4
44,0.8262,0.35,1.35
45,0.9095,0.4,1.5
46,0.7662,0.3,1.35
47,0.5003,0.25,0.85
48,0.4022,0.2,0.65
49,0.653,0.25,1.2
50,0.5505,0.15,1.1
51,0.2528,0,0.6
52,0.2544,0,0.65
53,0.6488,0.25,1.1
54,0.544,0.2,0.9
55,0.7976,0.4,1.25
56,1.6757,1.15,2.3
57,1.0009,0.4,1.7
58,1.2796,0.75,1.85
59,0.9759,0.4,1.6
60,0.9017,0.4,1.35
61,0.6579,0.25,1.1
62,0.8457,0.3,1.55
63,0.5416,0.25,0.85
64,0.6402,0.25,1.15
65,1.0381,0.55,1.6
66,0.9835,0.55,1.45
67,0.8944,0.3,1.55
68,1.3897,0.9,1.85
69,1.444,0.7,2.35
70,0.8142,0.45,1.25
71,0.8414,0.5,1.2
72,1.3583,0.7,2.2
73,0.8943,0.45,1.45
74,0.1533,0,0.35
75,0.4925,0.2,0.8
76,0.2984,0.05,0.6
77,0.4929,0.15,0.95
78,0.2001,0,0.45
79,0.2933,0.1,0.5
80,0.3486,0.1,0.7
81,0.4332,0.15,0.75
82,0.5782,0.15,1.05
83,0.1432,0,0.35
84,0.5782,0.15,1.05
85,0.145,0,0.3
