Week,Mean,LowerBound,UpperBound
0,0,0,0
1,363.8675,355.6,371.2
2,369.1788,362.35,375.5
3,356.741,350.5,362.45
4,359.4228,351,367.4
5,260.1874,252.1,267.65
6,250.1526,243.95,257.15
7,253.3823,245.45,261.05
8,247.3036,239.6,254.7
9,257.9261,251.65,264.8
10,250.3402,243.65,256.85
11,253.0729,246.6,259.05
12,253.7679,250.05,257.05
13,256.6267,249.3,264.05
14,257.664,253.4,261.9
15,246.4848,238.05,254.55
16,247.1583,239.6,254
17,248.456,243.75,253.25
18,252.3049,242.2,261.4
19,251.7797,246.3,257.35
20,244.6308,239.1,251
21,245.3831,241,250.75
22,243.9542,238.05,249.05
23,250.9342,243.4,258.1
24,243.2093,236.1,251.7
25,250.4392,244.85,255.7
26,250.2295,242.5,257.15
27,243.9228,239.4,249.2
28,243.3202,237.35,249.4
29,251.5831,246.8,256.9
30,245.5097,240.3,250.35
31,249.86,242.65,257.4
32,242.1107,236.95,247.65
33,249.0129,243.5,254.6
34,243.657,236.7,249.85
35,240.4263,235.3,245.4
36,239.752,232.7,246.85
37,243.7837,236.95,250.5
38,249.8254,242.4,255.2
39,251.4153,246.45,256.4
40,239.5622,234.45,245.3
41,249.646,244.3,254.2
42,246.4639,239.45,252.95
43,245.9554,236.8,253.85
44,234.0621,225.35,241.4
45,241.8317,236.45,247.1
46,240.9287,235.85,245.95
47,240.9737,233.15,249.35
48,235.8487,230.65,240.75
49,247.4672,239.65,255.65
50,242.1601,237.3,247.4
51,239.8701,233.8,245.9
52,251.314,245.2,257.85
53,243.1267,236.8,249.4
54,233.3271,227.55,239.2
55,238.1193,231.75,244.4
56,239.1365,234.65,243.9
57,245.4625,238.7,251.3
58,238.6255,232.65,244.55
59,229.5468,222.35,237.85
60,237.4986,231.6,243.45
61,243.4357,235.5,250.55
62,240.8651,234.1,247.4
63,238.0221,230.15,245
64,232.9417,228.1,237.55
65,249.0143,243.6,253.8
66,228.9106,223.65,234.5
67,245.5898,239.9,250.75
68,241.2951,232.85,249.05
69,240.5074,234.25,246.45
70,227.9182,221.75,234.1
71,232.454,226.4,238.15
72,236.7227,233,240.25
73,225.1402,219.15,231.45
74,227.4984,222.3,232.55
75,225.9144,220.05,231.65
76,233.4403,226.8,239.95
77,228.9888,222.95,235.4
78,231.2556,226.3,237
79,227.4069,224.15,230.75
80,228.2891,219.4,235.95
81,225.923,222.05,230
82,224.0061,216.65,231.35
83,221.6947,215.1,229.05
84,226.8177,221.85,231.8
85,224.2575,218.6,230.15
