Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.4406,1.2,1.65
2,0.4088,0.2,0.6
3,0.0516,0,0.15
4,0,0,0
5,0.196,0,0.45
6,0.045,0,0.15
7,0.208,0.05,0.4
8,0.0516,0,0.15
9,0.3481,0.1,0.65
10,0.2982,0.1,0.55
11,0.4534,0.25,0.65
12,0.045,0,0.15
13,0.4503,0.25,0.65
14,0.2949,0.1,0.5
15,0.3946,0.1,0.7
16,0.0899999999999999,0,0.3
17,0.1397,0,0.4
18,0.2408,0.05,0.5
19,0.1011,0,0.25
20,0.1988,0,0.6
21,0.298,0,0.6
22,0.149,0,0.3
23,0.3626,0.1,0.65
24,0.1583,0,0.3
25,0.0516,0,0.15
26,0.3509,0.15,0.55
27,0.251,0.05,0.45
28,0.4473,0.2,0.8
29,0.0516,0,0.15
30,0.2052,0,0.45
31,0.4466,0.2,0.7
32,0.4039,0.15,0.7
33,0.3508,0.1,0.6
34,0.3476,0.15,0.55
35,0.3456,0.15,0.55
36,0.7516,0.35,1.1
37,0.2581,0.05,0.5
38,0.0516,0,0.15
39,0.149,0,0.3
40,0.2944,0.1,0.5
41,0.2031,0.05,0.4
42,0.3002,0.05,0.6
43,0.1032,0,0.3
44,0.1478,0,0.35
45,0.102,0,0.25
46,0.1032,0,0.3
47,0.102,0,0.25
48,0.2006,0.05,0.4
49,0.3073,0.15,0.5
50,0.3119,0.1,0.5
51,0.2556,0,0.55
52,0.3518,0.1,0.65
53,0.102,0,0.25
54,0.249,0,0.55
55,0.1986,0.05,0.4
56,0.204,0,0.5
57,0.0499,0,0.15
58,0.1536,0,0.3
59,0.1536,0,0.3
60,0.2011,0,0.45
61,0.1979,0.05,0.4
62,0.1483,0,0.35
63,0.2537,0,0.55
64,0,0,0
65,0.0497,0,0.15
66,0.3006,0.05,0.6
67,0.1982,0.05,0.35
68,0.0499,0,0.15
69,0.196,0,0.45
70,0,0,0
71,0.251,0.05,0.45
72,0.2539,0,0.55
73,0.1519,0,0.3
74,0.3051,0.05,0.6
75,0.3051,0.05,0.6
76,0.2503,0.1,0.45
77,0.102,0,0.25
78,0.2494,0.1,0.45
79,0.204,0,0.5
80,0,0,0
81,0.2503,0.1,0.45
82,0.102,0,0.25
83,0.1483,0,0.35
84,0,0,0
85,0,0,0
