Week,Mean,LowerBound,UpperBound
0,0,0,0
1,41.6813,39.65,43.4
2,40.7268,37.9,43.55
3,39.7612,37.4,42.1
4,41.7296,38.65,44.9
5,41.2106,38.7,44.05
6,38.5939,36.5,40.85
7,40.1582,36.95,43.45
8,40.3095,38.3,42.35
9,39.8306,37.05,42.4
10,40.2628,38,42.6
11,40.5722,38.25,42.9
12,40.4847,37.1,43.75
13,41.9761,39.2,44.55
14,41.8375,39.05,44.75
15,40.47,37.75,43.6
16,38.2958,35.9,40.85
17,35.9474,34.4,37.4
18,41.2254,38.2,43.95
19,38.2983,36.4,40.25
20,37.2087,35.15,39.6
21,38.1933,34.75,41.35
22,41.2234,37.6,45.5
23,39.5763,36.95,41.7
24,41.5942,38.95,44.25
25,40.0665,36.7,43
26,40.8851,38.7,42.9
27,40.6676,37.6,43.8
28,38.7747,36.1,41.25
29,37.5937,34.1,41.2
30,38.2833,35.45,41.65
31,38.3935,35.7,41.4
32,37.2574,34.25,40.45
33,37.4513,34.9,39.9
34,39.5877,35.95,43.1
35,40.5482,38.2,43.2
36,40.7301,38.2,43
37,40.8929,38.1,43.65
38,39.0158,36.9,41.5
39,39.1555,36.7,41.85
40,39.4323,37.5,41.7
41,37.9486,34.95,41.25
42,40.1296,37.9,42.45
43,40.8766,38.45,43.65
44,36.973,34.3,39.7
45,37.1059,34.3,39.7
46,35.3541,32.4,38.3
47,35.4422,32.6,38.6
48,39.0425,36.9,41.45
49,36.3989,34.45,38.45
50,37.8872,35.1,40.6
51,38.0005,35.1,40.7
52,38.9212,35.9,42.05
53,35.6027,33.4,37.75
54,40.4934,37.25,43.8
55,39.1137,36.35,42.25
56,38.4338,35.65,41.5
57,41.3607,38.35,44.75
58,40.5645,37.85,43.55
59,39.992,37.75,42.15
60,35.5473,32.3,39.35
61,38.9535,36.45,41.95
62,40.3752,37.85,42.95
63,38.5294,35.75,41.7
64,38.1486,35.3,40.85
65,39.0978,36.7,41.75
66,35.7496,32.9,38.65
67,38.4474,35.45,41.1
68,34.5234,32.2,37
69,34.5325,32.65,36.55
70,38.5372,35.85,41.5
71,38.4818,36.85,40
72,39.4282,36.65,42.45
73,38.3685,36,40.65
74,38.5734,34.9,42.55
75,36.4199,34.35,38.55
76,37.1281,34.5,39.9
77,33.3556,30.75,35.65
78,38.2414,35.65,40.75
79,36.8445,33.55,40.25
80,33.6788,31.2,36.15
81,41.2595,38.85,43.75
82,37.4006,34.25,40.7
83,34.1637,32,36.75
84,38.4136,35.95,40.9
85,40.0239,37.4,43
