Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.0542,0,0.15
2,0.4955,0.2,0.8
3,0.3547,0.15,0.65
4,0.6687,0.25,1.15
5,0.4003,0.2,0.65
6,0.9211,0.4,1.55
7,0.7047,0.4,1.05
8,1.2886,0.6,2.15
9,0.7999,0.35,1.25
10,1.6894,1.05,2.4
11,0.8534,0.45,1.35
12,1.046,0.45,1.7
13,1.5367,0.85,2.3
14,2.044,1.2,3
15,1.4183,0.85,1.95
16,1.6598,1.05,2.3
17,1.8206,1.15,2.5
18,1.7667,1.1,2.45
19,1.5279,1,2.1
20,2.5387,1.5,3.6
21,2.8656,1.8,4
22,2.1521,1.3,3
23,2.6075,1.85,3.55
24,2.2165,1.45,3.1
25,2.6959,1.9,3.5
26,2.4086,1.55,3.45
27,1.9214,1.3,2.6
28,3.2307,2.35,4
29,2.8985,2.15,3.7
30,2.3513,1.65,3.1
31,2.832,2.1,3.55
32,3.3016,2.3,4.4
33,3.3514,2.55,4.2
34,4.1111,2.9,5.45
35,3.1882,2.35,4.1
36,4.6523,3.25,6
37,4.4406,3.15,5.95
38,3.4118,2.3,4.75
39,3.6683,2.5,5
40,3.0235,1.7,5.05
41,3.1405,2.05,4.7
42,2.5626,1.5,4.05
43,2.3095,0.95,3.95
44,2.804,1.55,4.2
45,2.5969,1.15,4.3
46,2.8977,1.55,4.65
47,2.5609,0.9,4.3
48,3.1015,1.7,4.9
49,2.8398,1.2,4.65
50,2.6511,0.9,4.55
51,2.434,1.05,4.05
52,2.5093,1.1,4.05
53,3.1594,1.55,4.95
54,2.3779,1.3,3.65
55,2.7884,1.55,4.3
56,2.518,1.2,3.95
57,2.2867,1.4,3.15
58,2.7763,1.35,4.25
59,2.7784,1.3,4.7
60,2.2716,0.9,3.85
61,2.9695,1.4,4.7
62,2.3264,1.15,3.6
63,2.6428,1.35,4
64,2.0341,1,3.1
65,2.8654,1.3,4.65
66,2.6267,1.6,4
67,2.3953,1.2,3.7
68,2.0005,0.9,3.1
69,2.3335,1.35,3.35
70,2.6104,1.5,3.8
71,2.2011,1.45,2.95
72,2.1971,1.3,3.15
73,2.0021,0.95,3.2
74,1.6636,1.1,2.2
75,1.9062,0.9,3
76,1.6155,0.8,2.6
77,1.7549,0.9,2.7
78,1.213,0.6,1.85
79,1.3811,0.55,2.45
80,1.2153,0.45,2.2
81,0.8041,0.3,1.4
82,0.7622,0.2,1.55
83,0.8623,0.15,1.9
84,0.5061,0.2,0.95
85,0.6962,0.15,1.45
