Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,2,0.333333333333333,0,0,1,1,0,2,0,0,0,2,0,0,0,201,182,383,40,0,2,2,1,0,1,0,0,1,0,2,0,0,1,1,0,0,21,81,99,48,42,41,43,27,21,83,78,54,31,44,25,28,42,164,177,102,73,85,68,55,1,3,0,1,66,1,263336,260555,1,4,2776,3,0,3,19578,45692,19407,0,1,170,45443,0,1,248,0,0,19578,0,0,45692,4337,10196,1,1,50330,1
2,80,2,0.5,0.5,0,0,0,0,1,1,0,0,2,0,0,0,160,180,340,39,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,15,70,75,41,36,36,30,17,29,65,86,41,44,46,27,22,44,135,161,82,80,82,57,39,3,2,0,0,63,1,263353,260570,0,5,2778,2,0,2,19554,45865,19383,0,1,170,45616,0,0,249,0,0,19554,0,0,45865,4339,10241,0,1,50351,1
3,80,2,0.333333333333333,0.388888888888889,0,0,0,0,2,0,0,1,0,1,0,0,173,159,332,34,0,3,3,0,0,0,0,0,0,2,1,0,0,3,0,0,0,21,74,78,43,47,27,30,26,19,71,69,37,45,30,32,15,40,145,147,80,92,57,62,41,2,2,0,1,76,0,263357,260571,0,6,2780,4,0,4,19564,46015,19393,0,1,170,45766,0,0,249,0,0,19564,0,0,46015,4340,10285,1,1,50373,1
4,80,1,0.166666666666667,0.277777777777778,0,1,0,0,1,0,0,1,0,0,0,0,206,167,373,38,0,2,2,0,0,0,0,0,0,2,0,0,1,0,1,0,0,24,98,84,46,58,42,36,24,18,75,74,44,34,45,24,20,42,173,158,90,92,87,60,44,0,0,0,2,58,1,263379,260593,1,6,2779,6,0,6,19600,46176,19429,0,1,170,45927,0,0,249,0,0,19600,0,0,46176,4347,10327,3,2,50395,1
5,80,2,0.25,0.5,0,1,1,0,2,0,0,0,2,0,0,0,191,77,268,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,96,73,47,55,30,32,27,9,34,34,17,15,14,19,12,31,130,107,64,70,44,51,39,3,3,0,1,65,1,263394,260604,0,8,2782,5,0,5,19711,46244,19539,0,2,170,45995,0,0,249,0,0,19711,0,0,46244,4382,10346,1,2,50418,2
6,80,2,0.25,0.53125,0,2,1,0,1,1,0,0,1,0,0,1,176,62,238,43,1,2,3,2,2,0,0,1,1,3,0,0,0,2,0,0,1,18,82,76,59,38,32,22,25,7,23,32,17,9,13,18,5,25,105,108,76,47,45,40,30,2,3,0,2,66,2,263408,260616,0,7,2785,5,0,5,19820,46299,19646,0,2,172,46050,0,0,249,0,0,19820,0,0,46299,4417,10363,2,2,50439,2
7,80,1,0.111111111111111,0.185185185185185,0,0,0,1,1,0,0,0,1,0,0,0,179,72,251,43,0,2,2,2,1,1,0,2,0,1,1,0,1,1,0,0,0,13,87,79,47,49,39,25,19,6,33,33,17,18,16,12,9,19,120,112,64,67,55,37,28,0,4,0,1,82,3,263406,260611,1,5,2789,5,0,5,19923,46366,19748,0,1,174,46116,1,0,249,0,0,19923,0,0,46366,4446,10385,1,4,50456,2
8,80,2,0.333333333333333,0.833333333333333,0,0,0,0,2,0,0,1,0,1,0,0,172,82,254,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,81,77,43,42,37,27,23,11,29,42,13,27,18,16,8,25,110,119,56,69,55,43,31,1,2,0,0,69,0,263417,260619,2,5,2791,4,0,4,20009,46441,19834,0,0,175,46191,1,0,249,0,0,20009,0,0,46441,4474,10403,0,3,50478,1
9,80,3,0.6,2.16,0,1,1,0,3,0,0,1,2,0,0,0,195,79,274,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,80,100,55,46,28,39,27,12,38,29,15,22,13,19,10,27,118,129,70,68,41,58,37,3,1,0,1,66,0,263431,260630,2,7,2792,3,0,3,20122,46511,19946,0,1,175,46261,0,1,249,0,0,20122,0,0,46511,4502,10428,1,2,50498,1
