Week,MeanDiff,LowerBound,UpperBound
0,0,0,0
1,0.1558,-0.2,0.5
2,-0.2475,-0.75,0.3
3,-0.3546,-1.2,0.5
4,-0.6159,-2,0.850000000000001
5,0.268,-1.75,2.45
6,0.4522,-2.1,3.3
7,1.7133,-2.15,6.05
8,1.5789,-3.4,7.1
9,1.6344,-4.5,7.65
10,0.7559,-6.15,7.55
11,0.457,-6.75,7.75
12,-0.3464,-9,8.25
13,-0.8976,-10.55,8.7
14,-2.4562,-13.45,8.3
15,-2.623,-15.8,10.55
16,-2.9247,-17.8,12
17,-3.6476,-20.6,12.65
18,-4.3402,-23.15,13.7
19,-5.2219,-26.3,15.2
20,-5.2748,-29.05,16.8
21,-5.3559,-30.45,17.65
22,-5.5419,-32.3,19.5
23,-6.9631,-35.7,19.2
24,-6.3976,-38.15,21.25
25,-6.3459,-40.55,22.6
26,-5.5468,-41.55,25.65
27,-3.7925,-41.2,29.95
28,-2.9083,-40.95,32.5
29,-0.9565,-40.15,36.25
30,0.688399999999999,-41.15,39.05
31,1.1007,-43.1,41.2
32,2.2177,-42.75,43.5
33,3.1695,-45.75,46.25
34,4.0913,-47.95,48.45
35,4.9454,-51.4,52
36,4.9364,-54.5,52.55
37,5.161,-55.5,53.4
38,6.1706,-55.55,55.5
39,7.2038,-56.25,57.55
40,7.4508,-58.7,60.5
41,9.7285,-58.2,64.5
42,10.5014,-60.35,67.05
43,12.5189,-58.95,71.25
44,12.952,-61,72.2
45,12.784,-62.55,71.9
46,14.6253,-62.35,74.55
47,14.8075,-62.6,75.9
48,15.0101,-63.1,77.45
49,16.0184,-64.45,80
50,18.2648,-64.2,82.95
51,20.8411,-65.15,86.65
52,22.6132,-66.35,89.3
53,25.0128,-66.25,93.25
54,27.3448,-63.85,98.15
55,29.4804,-61.7,102.05
56,30.5848,-60.65,104.5
57,32.0953,-60.05,108.8
58,34.3644,-58.5,113.5
59,35.0182,-58.7,114.65
60,37.8022,-57.3,119.3
61,38.9432,-56.9,121.85
62,40.6979,-55.85,127.05
63,42.9021,-55.3,133.05
64,45.2903,-53.1,136.65
65,47.5809,-51.35,140.25
66,50.6705,-49.65,146.45
67,53.5268,-47.4,150.15
68,55.8105,-46.2,152.85
69,58.3552,-44.25,157.8
70,59.7465,-42.8,159.65
71,60.9305,-43.95,163.45
72,62.6776,-42.65,167.5
73,63.8845,-43.05,170.4
74,64.1815,-42.75,171.1
75,66.2352,-42.6,174.95
76,66.7053,-42.25,174.85
77,68.2769,-39.4,178.45
78,69.5989,-37.6,181.4
79,69.6783,-37.6,180.5
80,69.8066,-38,180
81,69.4316,-38.6,182.45
82,69.8539,-38.9,184.45
83,70.5779,-39.35,185.65
84,71.8445,-39,187.9
85,70.7349,-41.25,186.9
