Week,MeanDiff,LowerBound,UpperBound
0,0,0,0
1,0.6059,0.25,0.95
2,-0.1379,-0.6,0.35
3,-0.3909,-1.15,0.35
4,-0.1313,-1.45,1.35
5,-1.0358,-3.25,1.55
6,-0.2082,-3.1,3.2
7,0.6801,-3.75,5.6
8,1.5703,-4.15,7.95
9,3.061,-3.55,10.25
10,3.0475,-4.55,11.4
11,3.8949,-4.45,13
12,4.7855,-4.35,15.15
13,5.7329,-3.75,16.85
14,7.4883,-2.4,19
15,10.4989,-1.25,24.1
16,12.9005,0.0500000000000007,27.8
17,15.6952,2,31.7
18,17.6484,3.05,34.45
19,19.6079,4.4,36.95
20,22.0516,6.3,40.1
21,24.8335,8.3,43.95
22,27.4775,10.5,47.4
23,30.1527,12.85,49.8
24,34.216,16.2,55.5
25,37.9942,19.2,59.85
26,41.8676,22.25,64.65
27,46.9913,26.65,70.8
28,51.2471,30.35,75.25
29,56.7165,34.85,82.35
30,62.8344,40.2,89.7
31,67.7246,44.1,95.05
32,73.0598,48.6,101.1
33,79.5253,54.15,109.3
34,85.9509,59.2,117.1
35,91.9211,64.3,123.9
36,97.3892,68.6,130
37,102.1516,72.65,135.5
38,107.8356,77.5,142
39,112.7108,81.1,147.5
40,117.2251,85.15,152.45
41,122.6852,90.1,159
42,127.3786,93.9,164.2
43,132.8523,98.9,170
44,136.7843,102.15,172.9
45,139.9637,105.05,175.8
46,144.4822,108.95,180.5
47,148.6194,112.85,184.35
48,152.2775,116.4,188.25
49,156.3796,119.7,193.5
50,160.9406,123.7,198.15
51,166.3927,128,204.95
52,170.8467,132,210.55
53,175.4961,135.6,216.4
54,181.1131,140.1,222.8
55,186.5462,144.85,229.2
56,190.8796,148.7,235.2
57,195.2328,150.4,241.9
58,200.1266,152.7,249.55
59,204.012,155.3,254.25
60,209.1218,158.85,261.95
61,213.3281,162.05,267.35
62,218.7855,166.5,275.35
63,224.2725,170.2,282.7
64,229.645,174.85,289.4
65,235.2347,178.9,296.35
66,240.8965,182.4,305
67,246.578,186.65,312.75
68,251.6728,190.8,320.3
69,257.8706,195.45,328.95
70,263.2132,199.95,336.1
71,268.2004,202.7,343.25
72,274.5642,207.25,351.4
73,280.0267,211.1,357.6
74,285.002,217,362.35
75,291.0609,221.5,369.25
76,296.3615,223.95,375.45
77,302.0069,228.4,383.05
78,307.5384,233.2,389.45
79,311.4462,236.85,395.4
80,315.0074,239.1,399.35
81,318.5022,240.95,402.95
82,322.7753,243,406.95
83,326.1278,245.8,411.85
84,330.3598,249.65,419.45
85,332.6184,251.9,423.75
