Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.2953,0.1,0.5
2,0.2953,0.1,0.5
3,0.5091,0.3,0.7
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0.2953,0.1,0.5
9,0.5091,0.3,0.7
10,0,0,0
11,0.5091,0.3,0.7
12,0,0,0
13,0.2953,0.1,0.5
14,0,0,0
15,0.2953,0.1,0.5
16,0,0,0
17,0,0,0
18,0,0,0
19,0.1956,0.05,0.4
20,0.8821,0.4,1.4
21,2.0997,1.8,2.4
22,0.2953,0.1,0.5
23,2.1812,1.4,3
24,2.1994,1.6,2.8
25,1.5906,1.2,2
26,1.6088,1.2,1.9
27,1,1,1
28,0.7862,0.4,1.15
29,0.5906,0.2,1
30,0.2953,0.1,0.5
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0.2953,0.1,0.5
36,0.8044,0.6,0.95
37,2.3624,0.8,4
38,2.2627,0.95,3.5
39,0.5906,0.2,1
40,1.4909,1.3,1.7
41,2.8821,2.4,3.4
42,1.6903,1.05,2.3
43,2.3768,1.65,3.1
44,2.79,1.9,3.7
45,1.3768,0.65,2.1
46,4.3806,3.1,5.6
47,3.4947,2.75,4.25
48,3.1668,1.55,4.75
49,4.7756,3.05,6.45
50,1.9856,1.15,2.75
51,3.6395,1.6,5.55
52,4.8351,2.8,6.85
53,5.7574,3.75,7.75
54,1.5724,0.8,2.3
55,3.1994,2.6,3.8
56,3.79,2.9,4.7
57,4.5618,2.5,6.5
58,2.9856,2.15,3.75
59,1.3768,0.65,2.1
60,4.79,3.9,5.7
61,3.2809,2.25,4.25
62,2.9041,2.4,3.35
63,1.6865,1.35,2.05
64,4.0182,3.6,4.4
65,4.5311,3.4,5.45
66,5.1179,4.6,5.6
67,6.1399,4.6,7.4
68,5.3499,4.15,6.45
69,6.5599,4.9,8.25
70,5.3317,4.55,6.05
71,5.3681,3.75,6.85
72,5.091,3,7
73,3.2176,2.4,3.8
74,6.1725,4.4,7.8
75,5.4496,4.15,6.65
76,6.5167,4.9,8
77,2.4132,1.8,2.85
78,2.6088,2.2,2.9
79,1.5273,0.9,2.1
80,2.0364,1.2,2.8
81,2.627,1.9,3.3
82,3.2176,2.4,3.8
83,3.0038,2.2,3.75
84,4.1543,2.8,5.4
85,3.2991,2.4,4.2
