Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.2953,0.1,0.5
3,0.5091,0.3,0.7
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0.2953,0.1,0.5
9,0,0,0
10,0,0,0
11,0.5091,0.3,0.7
12,0,0,0
13,0.2953,0.1,0.5
14,0,0,0
15,0.2953,0.1,0.5
16,0,0,0
17,0,0,0
18,0,0,0
19,0.1956,0.05,0.4
20,0.1956,0.05,0.4
21,1.5091,1.3,1.7
22,0,0,0
23,1.0997,0.8,1.4
24,1.6903,1.05,2.3
25,0.5906,0.2,1
26,0.8044,0.6,0.95
27,0.8044,0.6,0.95
28,0.1956,0.05,0.4
29,0.2953,0.1,0.5
30,0.2953,0.1,0.5
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,1.7718,0.6,3
38,1.4765,0.5,2.5
39,0.2953,0.1,0.5
40,0.8044,0.6,0.95
41,2,2,2
42,0.5906,0.2,1
43,1.5906,1.2,2
44,1.1812,0.4,2
45,0.7862,0.4,1.15
46,2.9041,2.4,3.35
47,1.2953,1.1,1.5
48,1.7718,0.6,3
49,3.0853,2,4.15
50,0.8859,0.3,1.5
51,2.8533,1.15,4.5
52,1.6721,0.75,2.55
53,2.4765,1.5,3.5
54,0.7862,0.4,1.15
55,1.0997,0.8,1.4
56,1.395,0.95,1.85
57,2.2809,1.25,3.25
58,0.5906,0.2,1
59,0,0,0
60,2.6903,2.05,3.3
61,1.8859,1.3,2.5
62,1.6903,1.05,2.3
63,0.3912,0.1,0.8
64,2,2,2
65,0.5906,0.2,1
66,3.3317,2.55,4.05
67,3.2176,2.4,3.8
68,1,1,1
69,4.1323,3.2,5.05
70,2.3135,1.95,2.65
71,3.1361,2.2,4
72,2.5455,1.5,3.5
73,1.0997,0.8,1.4
74,4.1361,3.2,5
75,2.8408,1.85,3.75
76,3.8082,2.8,4.7
77,0.8044,0.6,0.95
78,0.8044,0.6,0.95
79,1.0182,0.6,1.4
80,1.0182,0.6,1.4
81,2.1179,1.6,2.6
82,2.1179,1.6,2.6
83,1.6088,1.2,1.9
84,2.3317,1.55,3.05
85,2.7085,2.05,3.3
