Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,0.75,0.15,0,0,0.25,0.1,0.15,0.6,0.15,0,0.15,0.35,0.25,0,0,92.65,173.85,266.5,19.5,0.05,1.55,1.6,0.75,0,0.7,0.05,0,0.75,0,1.55,0.05,0,0.85,0.7,0,0.05,9.5,41.9,41.25,24.5,23.1,17.65,16.1,11.3,17.05,80.95,75.85,44.3,36.25,40.1,28.45,24.75,26.55,122.85,117.1,68.8,59.35,57.75,44.55,36.05,1.3,1.65,0.05,0.4,69.1,0.35,263332.9,260553.45,0.4,4.65,2774.4,2.95,0,2.95,19478.5,45685.75,19308.25,0,0.2,170.05,45436.55,0,1.15,248.05,0,0,19478.5,0,0,45685.75,4321.15,10189.95,1.25,0.8,50323.35,0.5
2,80,0.8,0.17,0.17,0,0.25,0.1,0,0.7,0.1,0,0.25,0.05,0.25,0.2,0.05,92.85,182.7,275.55,19.5,0,1.25,1.25,0.35,0.2,0.15,0,0.1,0.25,0.4,0.7,0.15,0.2,0.55,0.5,0,0,11.7,38.85,42.3,25.1,21.2,21.35,14.5,10.7,23.1,73.1,86.5,45.15,43.75,38.2,27.55,28.05,34.8,111.95,128.8,70.25,64.95,59.55,42.05,38.75,1,1.95,0,0.4,68.05,0.45,263344.85,260564.95,0.2,3.7,2776,2.35,0,2.35,19383.7,45860.7,19213.35,0,0.2,170.15,45611.5,0,0.6,248.6,0,0,19383.7,0,0,45860.7,4301.4,10233.25,0.8,0.7,50341.05,0.45
3,80,0.8,NaN,NaN,0,0.4,0,0.05,0.6,0.2,0,0.3,0.25,0,0.15,0.1,94.75,161.15,255.9,19.65,0.05,0.95,1,0.5,0.4,0,0.1,0.1,0.4,0.9,0,0.1,0.2,0.1,0.45,0.1,0.15,10.2,40.45,44.1,26.95,22.55,20.65,14.15,10.45,20.15,66.65,74.35,40.7,39.35,30.5,29.2,21.4,30.35,107.1,118.45,67.65,61.9,51.15,43.35,31.85,1.4,1.75,0,0.5,71.65,0.3,263353.2,260571.75,0.6,3.35,2777.5,1.65,0,1.65,19313.75,46012.5,19143.25,0,0.25,170.25,45763,0.2,0.35,248.95,0,0,19313.75,0,0,46012.5,4288.2,10271.85,0.65,0.7,50358.2,0.65
4,80,0.9,0.27,0.56,0,0.5,0.05,0.05,0.8,0.1,0,0.35,0.05,0.15,0.15,0.2,96.35,172.65,269,19,0.05,1.65,1.7,0.5,0.25,0.25,0,0.2,0.3,0.55,0.95,0.2,0.8,0.15,0.2,0.35,0.2,9.5,41.9,44.95,26.5,22.75,20.35,14.65,12.1,22.05,79.7,70.9,40.7,44,37.25,28.85,21.85,31.55,121.6,115.85,67.2,66.75,57.6,43.5,33.95,0.95,1.2,0.05,0.3,68.95,0.45,263364.25,260582.15,0.5,3.1,2778.5,2.1,0,2.1,19234.35,46176.3,19063.75,0,0.25,170.35,45926.75,0,0.35,249.2,0,0,19234.35,0,0,46176.3,4272.85,10311,0.45,0.65,50375.15,0.55
5,80,0.65,0.18,0.42,0,0.2,0.1,0.1,0.65,0,0,0.2,0.25,0.1,0,0.1,94.15,32.25,126.4,19.65,0.15,0.8,0.95,0.3,0.3,0,0,0.15,0.15,0.6,0.15,0.2,0.3,0,0.15,0.15,0.35,11.3,44.55,38.3,24.3,23.85,19.55,15.75,10.7,3.55,14.35,14.35,8.25,7.45,6.35,7.1,3.1,14.85,58.9,52.65,32.55,31.3,25.9,22.85,13.8,2.1,1.1,0.05,0.2,67.9,0.5,263376.35,260592.2,1,4.1,2779.05,1.9,0,1.9,19292.8,46201.45,19121.85,0.2,0.3,170.45,45951.55,0.05,0.55,249.3,0,0,19292.8,0,0,46201.45,4287.1,10320.95,0.3,0.8,50392.8,0.6
6,80,0.6,0.16,0.26,0,0.35,0.1,0.05,0.5,0.1,0,0.25,0.2,0,0.05,0.1,99.55,32.3,131.85,19.55,0.1,1.85,1.95,0.7,0.5,0.1,0.1,0.25,0.45,0.8,0.9,0.25,0.6,0.25,0.3,0.3,0.5,10.35,43.25,45.95,28.7,23.65,20.8,14.7,11.7,4.55,13.55,14.2,9.65,7.4,6.65,4.55,4.05,14.9,56.8,60.15,38.35,31.05,27.45,19.25,15.75,0.95,1.45,0.05,0.75,69.55,0.45,263386.8,260602.3,0.6,3.6,2780.3,2.55,0,2.55,19357.6,46226.6,19186.45,0.05,0.6,170.5,45976.65,0.05,0.35,249.55,0,0,19357.6,0,0,46226.6,4302.45,10333.2,0.85,0.85,50410.85,0.6
7,80,0.75,0.16,0.4,0,0.2,0,0.15,0.5,0.25,0,0.3,0.1,0.15,0,0.2,97.2,35.95,133.15,20.4,0.05,0.9,0.95,0.3,0.15,0.05,0.1,0.1,0.2,0.55,0.15,0.25,0.1,0.3,0.1,0.1,0.35,12.95,40.65,43.6,27.75,21.55,21.8,14.9,11.2,4.1,15.55,16.3,9.2,8.4,8.4,5.25,4.7,17.05,56.2,59.9,36.95,29.95,30.2,20.15,15.9,2.35,1.6,0.05,0.8,67.05,0.25,263399.75,260612.75,0.95,4.35,2781.7,1.95,0,1.95,19414.7,46253.45,19243.45,0.05,0.45,170.75,46003,0.25,0.6,249.6,0,0,19414.7,0,0,46253.45,4316.35,10346,0.95,0.85,50431.3,0.5
8,80,0.9,0.19,0.37,0,0.35,0,0.2,0.75,0.15,0,0,0.55,0.2,0.05,0.1,94.15,34.05,128.2,20.3,0,1.8,1.8,0.6,0.35,0.15,0.1,0.3,0.3,0.85,0.4,0.55,0.6,0.15,0.25,0.2,0.6,11.4,38.6,44.15,25.7,23.35,19.1,15.35,10.65,3.1,14.5,16.45,9,8,7.15,5.85,4.05,14.5,53.1,60.6,34.7,31.35,26.25,21.2,14.7,1.85,1.85,0,0.75,65,0.35,263414.75,260626.1,1,4.35,2783.3,1.95,0,1.95,19470.95,46280.65,19299.8,0,0.2,170.95,46029.8,0.1,0.8,249.95,0,0,19470.95,0,0,46280.65,4331.6,10357.85,0.85,0.85,50449.85,0.65
9,80,1.65,0.34,0.69,0,0.7,0.3,0.2,1.15,0.5,0,0.6,0.45,0.1,0.35,0.15,95.05,32,127.05,18.65,0.1,1.85,1.95,0.75,0.25,0.4,0.1,0.4,0.35,0.55,1.1,0.3,0.6,0.65,0.3,0.15,0.25,8.95,42.85,43.25,26.45,23.15,19,15.05,11.4,3.65,14.05,14.3,8,8.5,6.35,5.9,3.25,12.6,56.9,57.55,34.45,31.65,25.35,20.95,14.65,1.55,1.45,0.1,1.15,69.55,0.45,263425.2,260635.35,1,4.45,2784.4,2.6,0,2.6,19530.4,46304.3,19358.85,0.05,0.45,171.05,46053.3,0.05,0.75,250.2,0,0,19530.4,0,0,46304.3,4344.55,10370.2,1.7,0.9,50466.75,0.9
10,80,1.05,NaN,NaN,0,0.4,0.1,0.15,0.85,0.2,0,0.4,0.3,0.25,0,0.1,96.1,34.65,130.75,21.55,0.1,1.55,1.65,0.6,0.5,0.1,0,0.55,0.05,1.15,0.3,0.2,0.3,0.65,0.3,0.3,0.1,11.3,41.05,43.75,28.6,23,18.55,16.95,9,2.65,15.2,16.8,11.3,8,6.45,4.15,4.75,13.95,56.25,60.55,39.9,31,25,21.1,13.75,1.15,2.35,0.1,0.75,67.6,0.4,263437.6,260647.1,0.8,3.25,2786.45,1.9,0,1.9,19589.35,46330.25,19417.65,0.05,0.35,171.3,46079.1,0.1,0.5,250.55,0,0,19589.35,0,0,46330.25,4361.2,10380.45,1.15,0.9,50484.85,0.5
11,80,1.1,NaN,NaN,0,0.55,0,0.2,0.95,0.15,0,0.25,0.55,0.1,0.05,0.15,89.25,32.75,122,19.15,0.1,1.1,1.2,0.6,0.2,0.4,0,0.55,0.05,0.5,0.7,0,0.55,0.35,0.05,0.25,0,10.55,37.85,40.85,25.75,22.4,16.85,14.05,10.2,4,13.45,15.3,8.2,7.95,7.4,5.15,4.05,14.55,51.3,56.15,33.95,30.35,24.25,19.2,14.25,1.6,1.25,0,0.35,66.8,0.5,263450.8,260659.45,0.3,3.6,2787.45,1.95,0,1.95,19642.45,46353.6,19470.75,0,0.25,171.45,46102.25,0,0.45,250.9,0,0,19642.45,0,0,46353.6,4375.35,10391.9,0.75,0.9,50503.6,0.8
12,80,0.95,NaN,NaN,0,0.75,0.25,0.4,0.75,0.2,0,0.25,0.45,0,0.15,0.1,102,32.95,134.95,23,0.6,1.25,1.85,1.05,0.85,0.1,0.1,0.5,0.55,1.4,0.35,0.1,0.35,0.6,0.3,0.25,0.35,11.55,45.5,44.95,26.85,24,23.2,15.1,12.85,4.45,12.7,15.8,8.85,8.8,6.15,5.5,3.65,16,58.2,60.75,35.7,32.8,29.35,20.6,16.5,2.45,1.3,0,0.55,70.1,0.25,263460.7,260666.9,0.8,4.75,2788.25,2.5,0.25,2.25,19706.6,46376.55,19534.15,0.35,0.6,171.5,46124.5,0.15,0.85,251.05,0,0,19706.6,0,0,46376.55,4393.05,10402.55,0.8,0.8,50520.6,1.45
13,80,0.95,0.25,0.44,0,0.5,0.1,0.35,0.9,0.05,0,0.1,0.5,0.2,0.05,0.1,94.35,31.7,126.05,19.75,0.1,2.2,2.3,0.55,0.5,0.05,0,0.2,0.35,1.1,0.5,0.7,0.6,0.6,0.5,0.3,0.3,8.25,41.2,44.9,24.85,22.85,18.75,15.8,12.1,2.65,14.3,14.75,7.9,8.6,6.2,5.15,3.85,10.9,55.5,59.65,32.75,31.45,24.95,20.95,15.95,2.65,1.6,0,0.6,68.8,0.3,263471.9,260675.5,1.1,5.8,2789.5,3.3,0.2,3.1,19765.7,46401.2,19592.8,0.35,0.85,171.7,46148.75,0.25,0.9,251.3,0,0,19765.7,0,0,46401.2,4407.7,10413.65,0.85,0.6,50538.3,1.25
14,80,1.35,0.24,0.37,0,0.8,0.1,0.15,1.25,0.1,0,0.3,0.5,0.4,0.1,0.05,96.5,33.7,130.2,19.65,0,2.2,2.2,0.55,0.35,0.2,0,0.4,0.15,0.9,1.1,0.2,0.65,0.65,0.35,0.25,0.3,10.15,40.4,45.95,27.4,22.8,18.45,16.7,11.15,4.8,13.3,15.6,9.95,8.5,6.1,5.4,3.75,14.95,53.7,61.55,37.35,31.3,24.55,22.1,14.9,1.9,2.25,0,0.65,68.05,0.25,263483.85,260686.35,0.55,5.45,2791.5,3.4,0,3.4,19825.3,46427.15,19652.3,0.05,1.05,171.9,46174.55,0.1,0.7,251.8,0,0,19825.3,0,0,46427.15,4422.3,10424.7,0.85,0.45,50557.75,1.15
15,80,1.2,0.16,0.33,0,0.7,0.15,0.15,1.2,0,0,0.4,0.55,0.05,0.05,0.15,94.4,32.05,126.45,21.6,0,1.7,1.7,1.1,0.9,0.2,0,0.6,0.5,1.25,0.4,0.05,0.2,0.7,0.3,0.3,0.2,11.25,41.25,41.9,24.4,22.7,19.3,18.1,9.9,3.95,13.2,14.9,9.35,7.5,7,4.8,3.4,15.2,54.45,56.8,33.75,30.2,26.3,22.9,13.3,1.9,2.45,0,0.6,67.25,0.4,263496.6,260697.6,0.85,4.9,2793.25,2.75,0,2.75,19884.8,46450.55,19711.65,0.05,0.7,172.4,46197.7,0.15,0.7,252,0,0,19884.8,0,0,46450.55,4439,10435.55,0.8,0.55,50576.85,0.9
16,80,0.8,0.19,0.3,0,0.35,0,0.4,0.6,0.2,0,0.3,0.4,0.05,0.05,0,96.2,34,130.2,22.2,0.1,1.75,1.85,0.7,0.6,0,0.1,0.55,0.15,1.1,0.4,0.35,0.55,0.55,0.45,0.25,0.05,11,41.3,43.9,25.6,22.9,18.55,18.85,10.3,3.95,14.05,16,9.25,8.65,6.75,4.4,4.95,14.95,55.35,59.9,34.85,31.55,25.3,23.25,15.25,1.8,2.15,0.1,0.6,70.15,0.55,263506.45,260706.05,0.75,4.55,2795.1,2.6,0,2.6,19943.05,46475.25,19769.95,0,0.8,172.3,46221.75,0.35,0.8,252.35,0,0,19943.05,0,0,46475.25,4455.9,10446.8,1.05,0.9,50595.25,0.95
17,80,0.95,0.28,0.48,0,0.25,0.1,0.15,0.7,0.25,0,0.35,0.35,0.1,0.15,0,96.1,34.45,130.55,22.55,0.1,1.7,1.8,0.45,0.3,0.15,0,0.35,0.1,0.7,0.75,0.35,0.3,0.45,0.35,0.2,0.5,11.1,41.35,43.65,27.85,23.95,18.15,15.05,11.1,3.25,15.2,16,8.2,8.7,6.75,5.85,4.95,14.35,56.55,59.65,36.05,32.65,24.9,20.9,16.05,1.15,1.8,0.1,0.9,73.2,0.45,263513.25,260712.4,0.45,3.9,2796.5,2.6,0,2.6,20001.25,46501.55,19828.05,0.1,0.55,172.55,46247.85,0,1.15,252.55,0,0,20001.25,0,0,46501.55,4472.5,10458.55,1.2,0.85,50614.05,1
18,80,0.8,NaN,NaN,0,0.25,0.2,0.25,0.6,0.2,0,0.35,0.25,0,0,0.2,95.8,32.1,127.9,20.9,0.05,1.2,1.25,0.35,0.25,0.1,0,0.25,0.1,0.85,0.2,0.2,0.5,0.5,0.2,0.05,0,10.55,41.6,43.65,24.45,23.35,18.35,17.75,11.9,3.4,12.85,15.85,8.55,6.7,6,6.1,4.75,13.95,54.45,59.5,33,30.05,24.35,23.85,16.65,0.9,1.1,0,0.7,77.05,0.4,263516.2,260714.9,0.35,3.7,2797.25,2.75,0,2.75,20060.55,46525.2,19887.1,0.05,0.65,172.75,46271.25,0.15,0.8,253,0,0,20060.55,0,0,46525.2,4488.8,10469.55,1.35,1,50632,0.65
19,80,0.85,NaN,NaN,0,0.4,0.05,0.2,0.8,0.05,0,0.35,0.3,0.1,0,0.1,90.95,31.6,122.55,19.9,0,0.55,0.55,0.25,0.2,0.05,0,0.15,0.1,0.25,0.3,0,0.2,0.2,0.05,0,0.1,10.8,36.55,43.6,25,21.6,16.75,15.15,12.45,2.8,14.1,14.7,7.35,7.35,6.55,5.7,4.6,13.6,50.65,58.3,32.35,28.95,23.3,20.85,17.05,0.7,1.85,0,0.4,72.95,0.3,263523.25,260721.6,0.5,2.55,2798.6,1.7,0,1.7,20115.55,46547.1,19942.1,0.05,0.55,172.85,46293,0.1,0.65,253.35,0,0,20115.55,0,0,46547.1,4504.4,10479.2,0.85,0.75,50647.65,0.35
20,80,0.5,NaN,NaN,0,0.1,0.05,0.1,0.4,0.1,0,0.25,0,0.15,0.05,0.05,88.15,35,123.15,16.9,0.1,0.85,0.95,0.2,0.15,0.05,0,0.15,0.05,0.75,0.15,0.05,0.5,0.3,0,0,0.15,9.5,39.7,38.95,24.85,20.05,17.45,15.6,10.2,4.6,13.9,16.5,8.8,8.35,6.3,6.9,4.65,14.1,53.6,55.45,33.65,28.4,23.75,22.5,14.85,2.6,1.4,0.05,0.15,69,0.15,263534.25,260729.65,1.35,3.75,2799.5,1.2,0,1.2,20165.25,46574.15,19991.5,0.05,0.55,173.15,46319.25,0.2,1.15,253.55,0,0,20165.25,0,0,46574.15,4514.35,10492.95,0.45,0.4,50666.6,0.3
