Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.8943,1.7,2.1
2,2.586,2.25,2.95
3,3.2383,2.95,3.55
4,4.0901,3.8,4.35
5,4.5279,4.1,5
6,6.5078,5.8,7.25
7,7.3628,6.5,8.2
8,9.0651,7.95,10.35
9,10.3498,9.15,11.75
10,11.1917,10.1,12.55
11,11.5342,10.25,13.15
12,11.826,10.35,13.55
13,13.2876,12,14.9
14,15.0403,13.65,16.7
15,16.0691,14.35,18.15
16,17.0811,15.25,19.25
17,18.3275,16.45,20.5
18,18.9255,17.1,21.2
19,19.3757,17.5,21.85
20,19.7376,17.85,22.2
21,21.3617,19.45,23.75
22,22.8624,20.9,25.4
23,24.298,22.45,26.55
24,25.8624,23.55,28.65
25,27.6745,25.3,30.45
26,28.473,26.2,31.25
27,29.8584,27.4,32.65
28,31.3266,28.9,34.3
29,34.4158,31.75,37.6
30,35.0588,32.3,38.15
31,36.1783,33.55,39.25
32,37.7151,34.95,40.65
33,40.5999,37.8,43.6
34,43.5592,40.7,46.55
35,44.6941,41.7,47.9
36,46.7809,43.35,50.45
37,47.7984,44.5,51.65
38,49.5856,46.35,53.3
39,50.3653,47,54.15
40,51.7771,48.25,55.7
41,52.2628,48.55,56.45
42,53.1587,49.5,57.2
43,53.6693,49.85,57.85
44,53.9212,50,58.2
45,54.1198,50.25,58.4
46,54.719,51,58.85
47,55.6754,51.75,59.95
48,56.0681,52.15,60.3
49,56.2136,52.35,60.35
50,56.2652,52.45,60.4
51,56.813,52.75,61.1
52,57.1706,53.35,61.4
53,57.9145,54,62.3
54,58.963,54.75,63.6
55,61.0237,56.75,65.75
56,61.6083,57.3,66.35
57,62.4973,58,67.4
58,64.002,59.35,68.9
59,65.2505,60.45,70.5
60,66.3219,61.6,71.75
61,67.8602,63.3,73.5
62,69.592,64.7,75.4
63,70.3886,65.6,76.15
64,71.4972,66.9,76.7
65,72.7582,68.5,77.95
66,73.908,69.45,79.05
67,74.6733,70.1,79.95
68,75.224,70.75,80.35
69,76.475,71.85,81.65
70,77.7026,73.3,83
71,78.4963,74,83.75
72,79.1298,74.6,84.4
73,79.5799,75,85
74,79.7757,75.1,85.25
75,79.8266,75.1,85.25
76,79.8266,75.1,85.25
77,79.9792,75.1,85.5
78,79.9792,75.1,85.5
79,80.0809,75.1,85.65
80,80.0809,75.1,85.65
81,80.0809,75.1,85.65
82,80.0809,75.1,85.65
83,80.0809,75.1,85.65
84,80.0809,75.1,85.65
85,80.0809,75.1,85.65
