Week,Mean,LowerBound,UpperBound
0,0,0,0
1,23.3775,21.3,25.2
2,20.4533,18.7,22.2
3,21.3622,20.05,22.8
4,21.2229,19.6,23
5,20.8763,18.95,22.75
6,18.938,17.6,20.1
7,19.1978,17.3,21.35
8,19.7772,18.1,21.75
9,21.6704,19.55,23.65
10,18.346,16.75,19.75
11,22.3747,20.45,24.55
12,20.0026,18.55,21.65
13,18.7911,17.7,19.9
14,21.4525,19.05,23.8
15,21.3212,19.25,23.4
16,22.5182,20.5,24.55
17,20.5896,18.55,22.45
18,17.6511,15.45,19.65
19,20.1343,18.25,22.35
20,19.2534,17.95,20.65
21,20.2542,18.05,22.45
22,19.5615,17.65,21.3
23,22.2862,20.6,23.75
24,19.3613,17.85,21
25,18.9606,16.65,21.55
26,20.0256,18.25,21.7
27,21.4777,19.55,23.35
28,19.1401,17.15,20.95
29,18.755,16.3,21.2
30,19.2265,17.5,20.75
31,19.8916,17.85,22.05
32,20.0316,18.25,22.3
33,21.1664,19.15,23.15
34,19.8558,17.95,21.8
35,20.9906,18.8,23.35
36,22.0938,20.85,23.4
37,20.3469,17.9,22.95
38,19.9304,18,22.25
39,20.0729,17.9,22.5
40,17.6291,16.05,19
41,21.6537,19.3,23.9
42,19.5901,17.3,22.05
43,20.1196,17.9,22.5
44,19.3641,17.65,21.25
45,18.9735,17.5,20.6
46,18.5667,16.85,20.2
47,18.1061,16.2,20.3
48,21.9851,19.85,24.35
49,18.9331,17.05,20.8
50,22.2222,20.45,24.1
51,18.5209,16.85,20.15
52,20.337,18.9,21.9
53,19.9306,17.9,21.7
54,18.3694,16.6,20.4
55,16.8376,15.2,18.25
56,22.7731,19.55,26.2
57,21.2188,19.5,23
58,19.8172,18.25,21.25
59,18.4339,17,20.5
60,19.8224,18,21.5
61,20.2147,18.35,22.1
62,21.9219,20.2,23.5
63,17.9898,16.3,19.7
64,20.2854,18.95,21.55
65,18.0373,15.6,20.55
66,20.0632,18.45,21.7
67,17.2378,15.35,18.85
68,21.1347,19.05,23.1
69,20.1425,18.65,21.6
70,18.3542,16.1,20.8
71,21.0977,19.6,22.95
72,19.1157,17.15,21
73,19.0278,17.25,20.75
74,19.4252,17.9,20.8
75,20.1377,18.8,21.4
76,19.3783,17.2,21.65
77,19.294,17.45,20.9
78,19.9284,18.6,21.3
79,19.6999,17.9,21.4
80,19.1431,17.6,20.7
81,18.556,17,20.15
82,20.6538,18.6,22.55
83,19.8883,17.9,21.95
84,19.6487,17.55,21.7
85,20.9,19.1,22.4
