Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.1965,0.05,0.4
3,0.4573,0.2,0.8
4,0.2902,0.1,0.5
5,0.1965,0,0.5
6,0.348,0.05,0.65
7,0.6021,0.25,1.05
8,0.5921,0.15,1.15
9,0.4448,0.15,0.85
10,0.3881,0.15,0.6
11,0.2975,0.1,0.5
12,0.0942,0,0.25
13,0.208,0.05,0.4
14,0.4163,0.2,0.6
15,0.4502,0.15,0.8
16,0.5154,0.25,0.85
17,0.1994,0.05,0.4
18,0.2977,0.1,0.5
19,0.3485,0.15,0.55
20,0.1539,0,0.3
21,0.2572,0.1,0.45
22,0.4612,0.2,0.8
23,0.1993,0.05,0.35
24,0.4406,0.1,0.8
25,0.2381,0.05,0.45
26,0.296,0.1,0.5
27,0.2956,0.1,0.5
28,0.2596,0.05,0.45
29,0.5476,0.3,0.8
30,0.1937,0,0.45
31,0.1555,0,0.35
32,0.397,0.15,0.65
33,0.4993,0.2,0.85
34,0.8014,0.45,1.15
35,0.4981,0.15,0.85
36,0.9988,0.6,1.45
37,0.5034,0.25,0.75
38,0.8868,0.45,1.35
39,0.685,0.4,1
40,0.4964,0.2,0.85
41,0.3918,0.15,0.65
42,0.2493,0,0.55
43,0.2014,0,0.45
44,0.0508999999999999,0,0.15
45,0.1006,0,0.4
46,0.1012,0,0.25
47,0.3557,0.15,0.55
48,0.1984,0.05,0.4
49,0,0,0
50,0,0,0
51,0.0979,0,0.2
52,0.1068,0,0.25
53,0.1502,0,0.4
54,0.2461,0.1,0.45
55,0.3558,0.1,0.6
56,0.2929,0.1,0.55
57,0.5971,0.3,1
58,0.4092,0.1,0.7
59,0.0497,0,0.15
60,0.6597,0.3,1
61,0.4457,0.15,0.75
62,0.5111,0.2,0.85
63,0.2967,0.05,0.6
64,0.61,0.3,0.95
65,0.3488,0.1,0.65
66,0.5,0.15,0.9
67,0.2629,0,0.55
68,0.0962,0,0.25
69,0.3544,0.15,0.55
70,0.411,0.15,0.7
71,0.1936,0.05,0.35
72,0.1996,0.05,0.4
73,0.3522,0.1,0.65
74,0,0,0
75,0.0509,0,0.15
76,0,0,0
77,0.1526,0,0.3
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
