Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,3,0.6,0,0,1,0,0,2,1,0,2,0,0,1,0,102,156,258,28,0,2,2,1,0,1,0,0,1,0,2,0,0,1,1,0,0,17,44,41,20,27,24,25,6,13,76,67,38,30,38,27,23,30,120,108,58,57,62,52,29,3,3,0,0,74,2,263328,260546,1,5,2776,2,0,2,19506,45672,19335,0,1,170,45423,0,1,248,0,0,19506,0,0,45672,4335,10187,0,2,50325,1
2,80,1,0.2,0.2,0,0,0,0,1,0,0,0,1,0,0,0,87,179,266,20,0,3,3,0,0,0,0,0,0,2,1,0,1,1,0,1,0,16,36,35,19,22,24,10,12,21,75,83,45,39,37,28,30,37,111,118,64,61,61,38,42,2,1,0,2,75,2,263333,260550,0,6,2777,4,0,4,19413,45841,19242,0,1,170,45592,0,1,248,0,0,19413,0,0,45841,4318,10235,2,4,50342,1
3,80,3,0.5,0.833333333333333,0,2,0,0,3,0,0,2,1,0,0,0,92,153,245,22,1,2,3,2,2,0,0,2,0,3,0,0,2,1,0,0,0,11,35,46,24,16,17,23,12,20,65,68,42,44,29,24,14,31,100,114,66,60,46,47,26,0,2,1,1,67,1,263346,260559,3,4,2780,4,0,4,19345,45984,19173,0,0,172,45735,0,1,248,0,0,19345,0,0,45984,4316,10266,1,3,50359,2
4,80,1,0.25,0.625,0,0,1,0,1,0,0,0,1,0,0,0,76,185,261,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,38,21,22,14,12,7,25,76,84,54,47,37,29,18,32,107,122,75,69,51,41,25,2,1,0,0,69,1,263357,260569,2,5,2781,3,0,3,19232,46160,19059,1,0,172,45911,0,1,248,0,0,19232,0,0,46160,4294,10313,0,3,50377,1
5,80,1,0.2,0.48,0,0,0,0,1,0,0,0,1,0,0,0,89,36,125,25,0,2,2,1,1,0,0,1,0,2,0,0,1,1,0,0,0,8,41,40,34,18,12,13,12,7,15,14,9,6,8,10,3,15,56,54,43,24,20,23,15,4,2,0,0,77,1,263360,260569,1,7,2783,3,0,3,19280,46184,19107,0,1,172,45934,0,1,249,0,0,19280,0,0,46184,4316,10325,0,3,50397,1
6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,28,121,18,0,4,4,0,0,0,0,0,0,1,2,1,2,1,1,0,0,10,39,44,28,25,12,19,9,4,13,11,4,6,7,5,6,14,52,55,32,31,19,24,15,1,0,0,1,75,4,263365,260574,0,8,2783,7,0,7,19342,46208,19169,0,1,172,45958,0,1,249,0,0,19342,0,0,46208,4331,10339,1,7,50416,1
7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,28,115,15,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8,39,40,29,22,10,19,7,1,17,10,11,3,4,6,4,9,56,50,40,25,14,25,11,2,5,0,1,63,0,263382,260589,0,5,2788,3,0,3,19397,46228,19224,0,1,172,45978,0,1,249,0,0,19397,0,0,46228,4341,10356,1,3,50438,1
8,80,3,0.6,1.68,0,2,0,0,1,2,0,2,1,0,0,0,100,25,125,27,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,11,44,45,33,24,16,17,10,2,10,13,7,3,8,5,2,13,54,58,40,27,24,22,12,2,1,0,2,67,2,263395,260599,2,6,2788,4,0,4,19468,46246,19295,0,1,172,45996,0,2,248,0,0,19468,0,0,46246,4365,10364,2,4,50458,0
9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,35,127,21,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,15,38,39,21,23,19,15,14,3,17,15,16,6,4,5,4,18,55,54,37,29,23,20,18,1,3,0,0,74,0,263401,260605,1,4,2791,2,0,2,19519,46267,19346,0,1,172,46017,0,2,248,0,0,19519,0,0,46267,4377,10379,0,2,50475,0
