Week,Mean,LowerBound,UpperBound
0,0,0,0
1,175.0762,171.85,178.35
2,185.4718,181.95,189.2
3,166.9736,162.3,171.7
4,169.909,165.35,173.95
5,34.4683,32.05,37
6,35.349,33.15,37.85
7,34.0912,31.8,36.2
8,33.0082,31.55,34.5
9,35.3842,31.6,39.3
10,32.8304,31.2,34.35
11,32.2938,30.15,34.6
12,33.0036,30.35,35.6
13,31.561,29.3,33.85
14,33.0418,31.05,35.4
15,33.6269,31.25,36
16,34.1845,31.65,36.5
17,34.9803,32.05,38.4
18,33.9574,31.4,36.75
19,30.8231,28.6,33.15
20,32.236,30.45,34.15
21,31.9529,29.1,34.7
22,33.6498,32.3,34.85
23,31.1207,28.65,33.35
24,32.7778,31.2,34.55
25,33.3699,30.8,35.9
26,35.6022,33.5,37.45
27,34.7917,31.55,37.95
28,32.1006,29.4,34.9
29,34.0334,31.6,36.3
30,33.5186,30.95,36.1
31,32.0532,28.85,35.1
32,31.2688,28.55,33.95
33,31.2182,28.7,33.75
34,33.4894,31.7,35.2
35,31.2052,28.5,34.35
36,32.5036,30.4,34.55
37,33.7905,30.65,36.15
38,31.7568,28.75,34.6
39,28.1695,26,30.1
40,31.0841,28.25,33.65
41,33.0407,30.9,35.25
42,28.5038,26.3,31
43,33.7766,31.6,36.2
44,31.1719,29.65,32.75
45,35.0581,32.7,37.7
46,30.7522,28.7,32.9
47,32.0758,29.85,34.4
48,34.6643,31,38.5
49,33.0854,30.45,36
50,33.8755,32.05,35.95
51,35.3191,33.85,36.75
52,36.1845,32.15,40.7
53,31.2521,28.4,34
54,32.1207,28.5,35.9
55,32.5669,30.1,34.85
56,29.4086,26.95,31.85
57,32.0453,29.55,34.5
58,30.0723,27.4,33.05
59,30.4368,28.5,32.4
60,35.5917,32.55,38.55
61,33.9367,32.3,35.5
62,31.6129,28.8,34.3
63,31.6325,29.35,33.85
64,31.4529,29.7,33.25
65,30.5499,28.15,32.95
66,33.5462,31.9,35.05
67,32.0076,30.05,34.25
68,30.2092,28.3,32.3
69,28.4877,25,31.55
70,33.1877,30.85,35.7
71,31.3783,28.85,34
72,29.9883,27.7,32.5
73,31.9385,29.5,34.2
74,33.8903,31.65,36.15
75,31.0814,27.9,34.35
76,28.6423,26.15,31.25
77,31.3646,28.95,33.65
78,31.68,29.4,33.95
79,29.0071,26.8,31.35
80,28.5743,27.2,29.95
81,33.6825,31.2,36.3
82,31.1685,28.75,33.5
83,32.1852,29.15,35.1
84,30.2679,27.9,32.6
85,31.6279,29.35,34.05
