Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.6948,0.45,0.95
2,0.95,0.6,1.3
3,0.406,0.15,0.7
4,0.1512,0,0.3
5,0.2065,0,0.45
6,0.7998,0.35,1.3
7,0.7574,0.3,1.2
8,0.7538,0.5,1.05
9,1.0919,0.5,1.6
10,1.2675,0.85,1.65
11,0.5574,0.2,1
12,0.5104,0.15,0.9
13,0.6567,0.3,1
14,0.9676,0.55,1.45
15,0.9198,0.35,1.55
16,0.9114,0.5,1.4
17,0.8651,0.4,1.3
18,0.7649,0.3,1.35
19,0.3498,0.05,0.7
20,0.4544,0.05,1
21,0.7155,0.45,1
22,1.1149,0.6,1.65
23,0.673,0.25,1.3
24,0.8273,0.35,1.45
25,0.8761,0.4,1.45
26,0.8752,0.4,1.45
27,1.3063,0.9,1.85
28,1.1407,0.6,1.65
29,0.9568,0.5,1.45
30,0.5656,0.25,0.95
31,0.9048,0.6,1.25
32,0.857,0.4,1.3
33,1.4797,0.95,2.05
34,1.7629,1.1,2.6
35,1.7977,1.35,2.35
36,1.604,0.95,2.4
37,1.0076,0.55,1.5
38,1.3522,0.9,1.85
39,1.3584,1,1.8
40,1.0636,0.55,1.7
41,1.1583,0.6,1.8
42,1.6947,1.25,2.2
43,0.936,0.6,1.3
44,0.4428,0.2,0.7
45,1.0837,0.7,1.5
46,0.4955,0.15,0.9
47,1.3325,0.8,1.9
48,0.6969,0.35,1.2
49,0.4994,0.1,1
50,0.8112,0.2,1.5
51,1.4079,0.65,2.2
52,0.5567,0.1,1.2
53,0.4641,0,1.1
54,0.4981,0.25,0.8
55,0.8104,0.35,1.45
56,0.4943,0.2,0.85
57,0.7632,0.4,1.15
58,0.7978,0.4,1.15
59,0.5054,0.2,0.85
60,0.7036,0.3,1.15
61,0.6026,0.25,1.05
62,0.5943,0.4,0.8
63,0.5056,0.15,0.95
64,0.3617,0.05,0.75
65,0.7591,0.45,1.15
66,1.0058,0.75,1.35
67,0.4501,0.25,0.65
68,0.5988,0.25,1.05
69,0.9003,0.55,1.25
70,1.2752,0.8,1.7
71,0.3998,0.15,0.7
72,0.5416,0.2,1
73,0.6937,0.3,1.1
74,1.0042,0.6,1.4
75,0.7566,0.4,1.25
76,0.9356,0.55,1.35
77,0.2619,0,0.6
78,0.1074,0,0.25
79,0.412,0.2,0.65
80,0.1627,0,0.4
81,0.4005,0.2,0.65
82,0.1461,0,0.4
83,0.6549,0.3,1.05
84,0.248,0.1,0.45
85,0,0,0
