Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.2459,0.05,0.45
3,0,0,0
4,0.1962,0.05,0.35
5,0.1493,0,0.3
6,0.1576,0,0.4
7,0.148,0,0.3
8,0.4039,0.2,0.6
9,0.2016,0.05,0.4
10,0.2048,0.05,0.4
11,0.0516,0,0.15
12,0,0,0
13,0.1973,0,0.45
14,0.3929,0.15,0.65
15,0.2098,0.05,0.4
16,0.5486,0.3,0.8
17,0.4008,0.2,0.65
18,0.0973,0,0.25
19,0.0514999999999999,0,0.15
20,0,0,0
21,0.6079,0.25,1.1
22,0.7536,0.4,1.1
23,0.3987,0.2,0.6
24,0.4462,0.25,0.65
25,1.1985,0.85,1.55
26,0.0533999999999999,0,0.15
27,0.3028,0.1,0.55
28,0.6964,0.25,1.2
29,0.2923,0.05,0.6
30,0.1571,0,0.4
31,0.2511,0.05,0.45
32,0.6445,0.45,0.85
33,0.4584,0.15,0.8
34,0.8093,0.55,1.05
35,0.4431,0.2,0.65
36,0.49,0.25,0.75
37,0.1004,0,0.25
38,0.1062,0,0.25
39,0,0,0
40,0.2485,0.1,0.45
41,0.0516,0,0.15
42,0.255,0.1,0.5
43,0.0482999999999999,0,0.15
44,0,0,0
45,0.0482999999999999,0,0.15
46,0.1004,0,0.25
47,0.2475,0.05,0.45
48,0.0473,0,0.15
49,0,0,0
50,0,0,0
51,0.1017,0,0.25
52,0,0,0
53,0.1069,0,0.25
54,1.0874,0.6,1.6
55,0.796,0.55,1.05
56,0.1526,0,0.35
57,0.0514999999999999,0,0.15
58,1.0475,0.75,1.3
59,0.1031,0,0.25
60,0.3011,0.1,0.55
61,0.5031,0.3,0.7
62,0.1996,0.05,0.4
63,0.0502999999999999,0,0.2
64,0.1426,0,0.3
65,0.1017,0,0.25
66,0.1062,0,0.25
67,0.0502999999999999,0,0.2
68,0.2014,0.05,0.4
69,0.2985,0.1,0.5
70,0.3591,0.1,0.7
71,0.1018,0,0.25
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
