Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.79,1.6,1.95
2,0.7537,0.45,1.1
3,0.5068,0.3,0.7
4,0.4514,0.2,0.7
5,0.3914,0.15,0.7
6,1.3101,0.95,1.75
7,0.2505,0.1,0.45
8,0.6997,0.45,1
9,0.7964,0.5,1.15
10,0.1491,0,0.3
11,0.1015,0,0.25
12,0.2003,0.05,0.4
13,0.9063,0.6,1.2
14,1.0949,0.75,1.5
15,0.5023,0.25,0.75
16,0.6534,0.4,0.9
17,0.6991,0.4,1
18,0.4055,0.2,0.65
19,0,0,0
20,0.0542,0,0.15
21,1.0969,0.75,1.4
22,0.6417,0.4,0.9
23,1.0992,0.75,1.5
24,0.6567,0.35,0.95
25,1.3925,0.85,1.9
26,0.756,0.45,1.1
27,1.006,0.65,1.35
28,0.4895,0.2,0.85
29,1.5434,1.15,2.1
30,0.8995,0.55,1.25
31,1.1484,0.7,1.7
32,0.794,0.5,1.1
33,1.7929,1.15,2.5
34,1.2324,0.85,1.7
35,0.8642,0.45,1.35
36,0.7846,0.5,1.1
37,0.3949,0.15,0.65
38,0.6452,0.4,0.95
39,0.3568,0.1,0.75
40,0.6984,0.3,1.2
41,0.4583,0.2,0.75
42,0.8999,0.55,1.25
43,0.2511,0.05,0.5
44,0.1576,0,0.4
45,0.2023,0,0.45
46,0.4611,0.25,0.7
47,0.5019,0.2,0.8
48,0.0478,0,0.15
49,0.3455,0.1,0.6
50,0.2019,0.05,0.4
51,0.3413,0.1,0.55
52,0.3017,0.1,0.55
53,0.5974,0.35,0.9
54,0.509,0.3,0.7
55,0.5444,0.25,0.9
56,0.4491,0.2,0.7
57,0.2922,0.1,0.6
58,1.1164,0.7,1.55
59,0.5549,0.25,0.85
60,0.2938,0.1,0.5
61,0.5942,0.3,0.95
62,1.1604,0.85,1.5
63,0.8086,0.55,1.1
64,0.7056,0.45,1
65,0.2498,0.05,0.5
66,0.7066,0.45,1
67,0.4122,0.1,0.8
68,0.5085,0.25,0.8
69,0.4042,0.15,0.65
70,0.5545,0.35,0.75
71,0.5878,0.3,0.95
72,0.5498,0.3,0.8
73,0.3456,0.15,0.6
74,0.1018,0,0.25
75,0.045,0,0.15
76,0.1457,0,0.4
77,0.097,0,0.25
78,0.151,0,0.3
79,0.097,0,0.25
80,0.1429,0,0.4
81,0.2547,0,0.55
82,0,0,0
83,0,0,0
84,0.151,0,0.3
85,0.1419,0,0.45
