Week,Mean,LowerBound,UpperBound
0,0,0,0
1,2.0454,1.8,2.25
2,1.2366,0.85,1.7
3,0.7569,0.45,1.05
4,1.4908,0.85,2.4
5,1.5686,0.9,2.3
6,2.3985,1.7,3.1
7,1.4327,0.85,2.15
8,2.4302,1.9,3.05
9,2.6266,1.7,3.7
10,2.4691,1.7,3.15
11,2.4051,1.55,3.3
12,2.5108,1.25,4.2
13,3.3477,2.3,4.5
14,4.3239,3,5.65
15,2.4107,1.8,3.15
16,2.9716,2.05,4.05
17,2.9046,2.1,3.8
18,2.1088,1.5,2.85
19,1.9475,1.35,2.55
20,1.5375,0.95,2.3
21,3.2378,2.2,4.4
22,3.8801,3.1,4.65
23,3.5305,2.6,4.55
24,3.3436,2.35,4.45
25,4.3306,3.2,5.45
26,2.9307,2,4
27,4.5673,3.35,5.9
28,4.5907,3.15,6.25
29,5.1876,4.1,6.5
30,4.2749,3.1,5.6
31,4.1781,3,5.45
32,4.5689,3.6,5.6
33,5.4014,4.55,6.3
34,6.3066,4.7,8
35,5.3212,3.85,7.05
36,5.1668,4,6.45
37,5.5529,4.2,7
38,4.8072,3.7,6.15
39,4.7966,3.4,6.3
40,5.3787,4.05,6.95
41,3.8305,2.45,5.3
42,5.1144,3.5,6.65
43,4.8742,3.25,6.8
44,5.3566,3.7,6.95
45,4.6702,2.85,6.85
46,4.4016,2.45,6.45
47,4.3523,2.8,6.3
48,5.4363,3.8,7.1
49,5.5355,3.8,7.25
50,4.6244,3.1,6.25
51,4.3921,2.4,6.65
52,3.7713,2.15,5.8
53,4.1785,2.9,5.55
54,2.8327,1.65,4.4
55,5.2284,3.4,7.2
56,3.5083,2.1,5.2
57,2.4937,1.55,3.65
58,4.5173,3.45,5.65
59,3.9339,2.5,5.6
60,3.5069,2.75,4.25
61,4.352,3.05,5.8
62,5.6383,4.4,7.2
63,3.2544,2.25,4.35
64,3.4833,2.7,4.35
65,3.3634,2.3,4.7
66,4.8869,3.75,6.1
67,3.1996,2.05,4.4
68,3.6969,2.9,4.6
69,3.5545,2.45,4.7
70,4.2701,3.25,5.4
71,3.3534,2.35,4.45
72,2.537,1.5,3.7
73,2.5587,1.85,3.2
74,2.1381,1.2,3.2
75,1.5068,0.8,2.4
76,1.4902,0.75,2.3
77,1.5582,0.9,2.25
78,0.9503,0.4,1.75
79,1.354,0.8,2.05
80,0.8115,0.35,1.3
81,2.1097,0.85,3.55
82,1.9024,0.65,3.4
83,1.1968,0.55,1.9
84,1.7451,0.7,3.05
85,0.9009,0.25,1.55
