Week,Mean,LowerBound,UpperBound
0,0,0,0
1,270.262,265.15,275.8
2,281.6795,274.05,289.2
3,257.4089,250.95,263.55
4,267.8805,260.55,274.8
5,128.6507,125.25,132.5
6,125.1665,120.15,129.5
7,126.4521,119.5,133.1
8,126.1439,121.8,130.45
9,130.4843,124.6,136
10,124.4883,119.1,129.5
11,123.5991,118.45,129
12,128.0788,123.7,132.15
13,128.3538,124,132.7
14,125.6597,120.7,129.95
15,127.0119,120.7,134.05
16,128.4832,124.55,132.25
17,130.8086,126.8,135.25
18,124.5615,120.35,129.5
19,129.7213,125.05,135.45
20,127.5744,123.45,131.45
21,129.1938,124.85,133.35
22,126.4376,121.65,131.1
23,129.1562,123.3,135.4
24,127.9936,122.65,134.05
25,120.2856,114.25,125.6
26,127.8165,122.05,133.45
27,129.4208,124.6,134.25
28,121.4226,115.05,127.7
29,123.1708,118.75,128.05
30,126.1183,121.95,130.45
31,128.1206,122,134
32,122.8628,118.9,126.85
33,127.0327,123.8,129.85
34,123.296,118.85,126.95
35,131.1368,126.05,136.15
36,121.6475,117.45,126.65
37,124.6789,122.55,126.85
38,124.6117,120.15,129
39,128.8401,124.65,132.75
40,126.6691,122.3,131.3
41,120.4532,116.15,124.95
42,121.108,117.05,125.45
43,124.7376,119.3,130.4
44,125.5681,120.75,130.7
45,122.357,117.5,126.6
46,126.4363,121.45,131.6
47,120.946,117.05,125
48,128.6857,124.85,132.6
49,122.9469,119.65,126.55
50,125.6205,120.3,130.25
51,124.5373,118.75,129.9
52,119.785,115.55,124.6
53,125.4708,121,129.95
54,120.3709,116.5,124.1
55,122.5212,117.7,126.75
56,124.2157,119.65,128.8
57,119.2411,114.3,124.05
58,123.3738,118.55,127.85
59,129.6234,123.8,135.05
60,126.635,121.6,131.7
61,115.4153,110.55,120.05
62,123.0197,118,127.8
63,123.739,119.95,128.45
64,126.1942,121.55,130.6
65,122.3076,117.55,126.85
66,118.9607,115.95,122.25
67,121.993,117.75,126.5
68,121.6925,117.35,126.45
69,123.2807,118.25,128.4
70,115.0667,109.3,120.8
71,122.2894,117.6,127.35
72,122.3255,117.9,126.6
73,119.5545,114.25,124.3
74,119.1505,112.9,124.75
75,120.7502,116.7,124.75
76,118.1831,113.05,123.4
77,121.6238,117.75,125.65
78,120.3214,116.6,124.15
79,121.8475,117.8,126
80,121.2159,117.65,124.5
81,120.8502,115.95,125.8
82,122.8019,119.45,126.6
83,119.2639,114.3,124.95
84,115.2146,110.55,120.1
85,121.5364,118.3,124.8
