Week,Mean,LowerBound,UpperBound
0,0,0,0
1,2.5834,2.25,2.9
2,0.5059,0.3,0.75
3,1.2084,0.8,1.6
4,0.3479,0.15,0.65
5,1.9019,1.7,2.1
6,0.2008,0.05,0.4
7,2.0003,1.75,2.2
8,1.2001,0.85,1.55
9,0.5013,0.2,0.85
10,0.205,0.05,0.4
11,0.1484,0,0.3
12,1.8529,1.7,2
13,2.2399,1.8,2.7
14,0.6069,0.25,1
15,0.6316,0.35,0.85
16,1.3461,1.1,1.6
17,0.1062,0,0.25
18,0.1018,0,0.25
19,0,0,0
20,2.6003,2.3,2.85
21,1.2419,0.9,1.6
22,1.9006,1.5,2.25
23,1.4029,1.1,1.7
24,1.8072,1.55,2
25,0.1947,0.05,0.4
26,1.5565,1.3,1.75
27,1.2553,1.1,1.45
28,2.5587,2.2,2.95
29,0.9879,0.6,1.4
30,1.3838,1.05,1.75
31,1.9545,1.65,2.25
32,4.1069,3.6,4.6
33,2.2461,1.7,2.8
34,0.6152,0.25,1
35,2.2619,1.9,2.6
36,0.2468,0.1,0.45
37,1.1554,1,1.3
38,0.2982,0.1,0.55
39,1.1846,0.9,1.5
40,0.1554,0,0.3
41,0.798,0.55,1.05
42,0.0979,0,0.25
43,0.2056,0.05,0.4
44,0.0533999999999999,0,0.15
45,0.8568,0.7,1
46,1.0471,0.8,1.3
47,0.1476,0,0.35
48,0,0,0
49,0,0,0
50,0.8481,0.7,1
51,0.1033,0,0.25
52,0.895500000000001,0.75,1
53,0.9968,0.8,1.2
54,2.1327,1.8,2.5
55,0.3618,0.1,0.6
56,0.297,0.1,0.5
57,2.9041,2.65,3.15
58,0.3405,0.1,0.6
59,1.0017,0.8,1.25
60,1.2595,1,1.5
61,1.6597,1.35,2.05
62,0.599,0.4,0.85
63,1.2921,1.05,1.55
64,1.0417,0.8,1.25
65,0.8958,0.65,1.1
66,0.1468,0,0.4
67,1.0975,0.9,1.3
68,1.0065,0.65,1.4
69,1.3221,0.9,1.7
70,1.1488,0.7,1.7
71,0.4863,0.2,0.85
72,0.242,0.1,0.45
73,0.0988,0,0.25
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
