Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,1,0.166666666666667,0,0,0,0,0,0,1,0,1,0,0,0,0,78,170,248,17,1,3,4,1,0,1,0,0,1,0,3,1,1,1,1,0,1,12,26,40,24,21,11,13,9,17,77,76,42,32,41,30,25,29,103,116,66,53,52,43,34,1,4,0,0,65,2,263337,260557,0,3,2777,3,0,3,19468,45682,19297,0,1,170,45432,0,1,249,0,0,19468,0,0,45682,4317,10192,1,3,50320,0
2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,175,270,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,53,29,20,23,13,10,22,78,75,44,37,42,29,23,33,109,128,73,57,65,42,33,0,1,0,1,80,0,263337,260557,0,2,2778,2,0,2,19381,45843,19210,0,1,170,45593,0,1,249,0,0,19381,0,0,45843,4291,10232,1,2,50333,0
3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,173,260,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,40,35,22,23,14,16,12,27,79,67,45,39,31,31,27,39,119,102,67,62,45,47,39,0,1,0,0,72,0,263345,260564,0,2,2779,1,0,1,19290,46008,19119,0,1,170,45758,0,0,250,0,0,19290,0,0,46008,4278,10268,0,1,50343,0
4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,161,261,17,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12,46,42,25,23,19,25,8,21,72,68,37,38,35,35,16,33,118,110,62,61,54,60,24,0,0,0,2,72,0,263353,260572,0,2,2779,2,0,2,19226,46160,19055,0,1,170,45910,0,0,250,0,0,19226,0,0,46160,4257,10311,2,1,50357,0
5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,15,135,24,0,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,1,8,48,64,26,32,25,12,25,4,2,9,4,4,0,3,4,12,50,73,30,36,25,15,29,0,2,0,0,70,1,263363,260580,0,2,2781,2,0,2,19323,46168,19152,0,0,171,45918,0,0,250,0,0,19323,0,0,46168,4280,10318,0,1,50376,0
6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,35,127,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,46,26,21,16,19,10,5,9,21,11,7,6,7,4,20,40,67,37,28,22,26,14,0,0,0,0,60,0,263383,260600,0,2,2781,2,0,2,19376,46192,19205,0,0,171,45942,0,0,250,0,0,19376,0,0,46192,4302,10329,0,1,50394,0
7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,33,115,21,0,2,2,0,0,0,0,0,0,0,2,0,1,0,1,0,0,8,33,41,21,25,11,12,13,3,16,14,5,11,6,4,7,11,49,55,26,36,17,16,20,0,1,0,0,74,1,263389,260604,0,3,2782,3,0,3,19420,46218,19249,0,0,171,45968,0,0,250,0,0,19420,0,0,46218,4321,10331,0,2,50411,0
8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,38,134,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,47,24,24,13,18,17,9,18,11,12,8,7,8,3,20,56,58,36,32,20,26,20,0,3,0,1,70,1,263399,260613,0,1,2785,1,0,1,19477,46251,19306,0,0,171,46001,0,0,250,0,0,19477,0,0,46251,4336,10342,1,1,50428,0
9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,40,145,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,46,46,32,32,15,12,14,4,15,21,7,12,9,3,9,17,61,67,39,44,24,15,23,0,1,0,0,68,0,263411,260626,0,0,2785,0,0,0,19536,46283,19366,0,0,170,46033,0,0,250,0,0,19536,0,0,46283,4343,10360,0,0,50445,0
10,80,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,79,33,112,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,34,41,20,20,14,12,13,6,9,18,11,6,7,8,1,10,43,59,31,26,21,20,14,0,0,0,0,63,0,263428,260643,0,0,2785,0,0,0,19578,46307,19408,0,0,170,46057,0,0,250,0,0,19578,0,0,46307,4345,10374,0,0,50465,0
11,80,0,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,88,31,119,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,43,26,19,22,17,4,6,11,14,7,10,5,5,4,18,44,57,33,29,27,22,8,0,0,0,0,63,0,263445,260660,0,0,2785,0,0,0,19632,46330,19462,0,0,170,46080,0,0,250,0,0,19632,0,0,46330,4356,10387,0,0,50483,0
12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,30,127,15,0,2,2,1,0,0,1,0,1,0,0,2,0,0,1,1,0,11,39,47,29,15,20,16,17,3,10,17,9,9,1,5,6,14,49,64,38,24,21,21,23,0,0,0,0,86,1,263439,260653,0,2,2784,2,0,2,19695,46350,19524,0,1,170,46099,0,1,250,0,0,19695,0,0,46350,4371,10394,0,1,50498,1
