Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.2037,0.05,0.4
2,0,0,0
3,0.1924,0.05,0.4
4,0.0514999999999999,0,0.15
5,0.6521,0.35,1
6,0.0533999999999999,0,0.15
7,0.8471,0.6,1.1
8,0.189,0.05,0.35
9,0,0,0
10,0,0,0
11,0,0,0
12,0.4509,0.25,0.7
13,0.7504,0.45,1.05
14,0,0,0
15,0.3001,0.1,0.5
16,0.3496,0.15,0.55
17,0.103,0,0.25
18,0,0,0
19,0,0,0
20,1.1555,0.85,1.5
21,0.3514,0.15,0.6
22,0.5046,0.25,0.8
23,0.2016,0.05,0.4
24,0.4524,0.25,0.65
25,0.1056,0,0.25
26,0.4483,0.2,0.7
27,0.2906,0.1,0.55
28,0.9055,0.6,1.3
29,0.0962,0,0.25
30,0.1944,0,0.45
31,0.9935,0.75,1.3
32,1.0197,0.65,1.45
33,0.9033,0.65,1.2
34,0.1999,0,0.4
35,0.6024,0.35,0.8
36,0.103,0,0.25
37,0.4479,0.25,0.65
38,0.1056,0,0.25
39,0.1458,0,0.35
40,0,0,0
41,0.2911,0.1,0.5
42,0,0,0
43,0,0,0
44,0,0,0
45,0.143,0,0.3
46,0.3033,0.1,0.5
47,0,0,0
48,0,0,0
49,0,0,0
50,0.3062,0.15,0.5
51,0,0,0
52,0.1987,0.05,0.4
53,0.4618,0.2,0.75
54,0.2867,0.1,0.55
55,0,0,0
56,0,0,0
57,0.5354,0.2,0.9
58,0.2018,0.05,0.4
59,0.2003,0.05,0.4
60,0.0982,0,0.25
61,0.393,0.1,0.7
62,0.0492,0,0.15
63,0.4041,0.2,0.6
64,0.6562,0.4,0.95
65,0.144,0,0.3
66,0.1572,0,0.3
67,0.1465,0,0.35
68,0.3024,0.1,0.5
69,0.438,0.25,0.65
70,0.241,0.05,0.45
71,0.047,0,0.15
72,0.0492,0,0.15
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
