Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.405076666666667,0.280833333333333,0.520833333333334
3,0.187274341836735,0.123673469387755,0.248948979591837
4,NaN,0.042,0.55
5,0.479335625,0.314840277777778,0.649969907407407
6,NaN,0.434913194444444,0.845833333333333
7,0.297319194444444,0.153402777777778,0.438550925925926
8,0.585478227231862,0.356703908415218,0.799717490301905
9,0.32592025,0.178520833333333,0.50853125
10,NaN,0.247304209183673,0.562751629818594
11,NaN,0.25117365835223,1.38044916855631
12,0.588729766439909,0.318388888888889,0.893431972789116
13,0.25272928669815,0.168877551020408,0.339402864451566
14,0.351779309027778,0.203875,0.506293402777778
15,0.41318116901661,0.298180618543714,0.545394112060779
16,0.754501549918727,0.543629101122341,0.9428728898967
17,0.674238936249881,0.476786981132322,0.872732512122496
18,NaN,0.807602769116906,1.33976396171895
19,NaN,0.274838199168556,0.617176870748299
20,0.745990081426163,0.527895541543149,0.948416142170231
21,0.473106223370064,0.307916666666667,0.656158402203857
22,0.559222473891595,0.482051020408163,0.634292698144347
23,0.516020849150443,0.361397194380711,0.690807230146059
24,0.687895909390491,0.532647924364833,0.84683646590571
25,0.430671569564376,0.314009542368684,0.567134182611705
26,0.228380705764545,0.190812415301426,0.27190514223595
27,0.0801553250674384,0.0272592592592593,0.139202126029675
28,0.0907255488119835,0.014453125,0.184710743801653
29,0.115644500566893,0.0257777777777778,0.237691326530612
30,0.0804139577594122,0,0.20633608815427
31,0.117122965986395,0.025,0.223224489795918
32,0.0878376414557804,0.0455927021696253,0.135914166918662
33,0.0505933333333333,0.024,0.0785
34,0.186203862488522,0.0590277777777778,0.337049471992654
35,0.252862361111111,0.107638888888889,0.421027777777778
36,0.536087806122449,0.287816326530612,0.802316326530612
37,0.315390945578231,0.184371882086168,0.476649659863945
38,NaN,0.182,0.819
39,0.683329645833333,0.393875,0.996520833333334
40,0.452483673469388,0.206823979591837,0.7125
41,0.33593541262228,0.149599031244729,0.54237680785124
42,0.495184285714286,0.287714285714286,0.733571428571429
43,NaN,0.317091836734694,1.10829577664399
44,NaN,0.26375,1.20027777777778
45,0.772472222222222,0.384722222222222,1.27847222222222
46,0.325713931405896,0.20031179138322,0.45031179138322
47,NaN,0.268,0.495138321995464
48,NaN,NaN,NaN
49,NaN,NaN,NaN
50,0.22444806712963,0.0791087962962963,0.421498842592593
51,0.501363472222222,0.219166666666667,0.847222222222222
52,0.290837164902999,0.146507936507937,0.441872134038801
53,0.270895212962964,0.0685,0.486564814814816
54,0.37712700340136,0.232380952380952,0.566995464852608
55,0.547162783068782,0.352018518518518,0.747779667422523
56,0.241351019979546,0.0760802469135803,0.43755296223245
57,0.434153903133958,0.298805213806656,0.552998581812674
58,0.738720781666666,0.59993875,0.87296875
59,0.564050716752524,0.462351396399015,0.64957711727426
60,0.312948257043994,0.210867358708189,0.423686080968335
61,0.338951494222616,0.181430461073318,0.526446941059828
62,0.783593283677919,0.592542714172471,0.963895149320133
63,0.467230119621842,0.2714555780788,0.703348684744789
64,0.901034716897055,0.696833333333334,1.10865004960317
65,0.723274021358473,0.566264008342763,0.895497434518323
66,0.978467975552721,0.587789115646259,1.60522385204082
67,0.739152655844669,0.550783523869535,0.911631234611936
68,0.84849512764568,0.684114951632477,1.02576649508305
69,0.718619199008549,0.598836264360658,0.841282491349481
70,0.755546933166739,0.536433623343097,0.993512845336482
71,0.656859649515469,0.5646390242596,0.754098726073862
72,0.513976367067274,0.340139577117787,0.734344413438342
73,0.753390190822162,0.535874681122449,0.952771860827664
74,0.81217384362572,0.63564236111111,0.964472222222222
75,1.27399953828182,0.769100410997733,1.82828537991994
76,NaN,0.75078793819817,1.12002837839001
77,0.861589682234911,0.638740435811899,1.0557040607012
78,NaN,0.688060621838479,0.837086451448429
79,NaN,0.64426030168725,1.18010892084106
80,NaN,0.521412388796332,0.986014399596132
81,NaN,0.744655029690646,1.21505812234659
82,NaN,0.789386420154628,1.7211433636571
83,NaN,0.554944969549326,0.912319825077871
84,NaN,0.819444444444446,1.02474922839506
85,NaN,0.524340072516734,0.798653722927079
