Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.2455,0.05,0.45
2,0.5435,0.3,0.8
3,0.5522,0.2,0.95
4,0.6461,0.4,0.95
5,0.7497,0.5,1
6,0.5489,0.25,0.9
7,0.145,0,0.3
8,1.5916,1.05,2.1
9,1.5016,1.15,1.85
10,0.703,0.5,0.9
11,1.482,0.95,2.05
12,1.6873,1.1,2.25
13,0.8725,0.4,1.35
14,0.8899,0.6,1.15
15,0.8912,0.5,1.3
16,0.7027,0.2,1.35
17,0.1965,0.05,0.4
18,1.2844,0.9,1.6
19,1.655,1.05,2.25
20,1.0955,0.75,1.4
21,1.8945,1.3,2.55
22,2.5152,1.6,3.4
23,1.3038,0.9,1.7
24,2.9012,2.3,3.55
25,2.4861,1.5,3.5
26,3.4254,2.1,4.75
27,4.5961,3,6.2
28,3.3687,2.5,4.1
29,3.8254,2.6,5
30,3.0162,2.55,3.4
31,5.4568,3.7,7.05
32,4.9469,4.1,5.75
33,6.0832,4.05,7.95
34,5.8037,3.75,7.65
35,4.118,3.3,4.8
36,4.5055,2.9,5.85
37,3.2629,2.1,4.4
38,3.4193,2.3,4.5
39,4.0664,2.6,5.75
40,2.8374,1.5,4.45
41,1.8156,1.25,2.4
42,0.6466,0.35,0.95
43,2.3063,2.1,2.6
44,1.934,1.3,2.6
45,2.1373,1.6,2.7
46,1.0606,0.6,1.5
47,2.2364,1.45,2.95
48,1.4565,0.95,2.05
49,1.2001,0.75,1.6
50,2.3397,1.65,3.05
51,1.5514,1.05,2.1
52,1.9446,1.3,2.5
53,2.0808,1.55,2.6
54,1.2477,0.9,1.6
55,0.2998,0.05,0.7
56,2.6721,1.75,3.55
57,2.8947,1.95,3.8
58,1.8838,1.35,2.35
59,1.4884,0.9,2.05
60,1.7459,1.35,2.15
61,4.2669,2.85,5.65
62,2.3201,1.6,3.05
63,4.2436,2.45,5.9
64,4.7437,2.85,6.6
65,2.3304,1.65,2.95
66,2.3695,1.6,3
67,1.5899,0.9,2.3
68,0.6487,0.45,0.85
69,1.976,1.2,2.7
70,1.3788,0.8,1.95
71,1.6881,1.2,2.2
72,1.0364,0.6,1.4
73,0.6519,0.45,0.85
74,0.3093,0.05,0.6
75,0,0,0
76,0.0516,0,0.15
77,0.4544,0.15,0.85
78,0.2998,0.05,0.7
79,0.145,0,0.3
80,0.2063,0.05,0.4
81,0,0,0
82,0.1547,0,0.35
83,0,0,0
84,0.0514999999999999,0,0.15
85,0,0,0
