Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.8022,0.35,1.3
2,0.6494,0.45,0.9
3,0.5408,0.15,1
4,0.5576,0.3,0.85
5,0.7563,0.3,1.35
6,0.7434,0.25,1.4
7,1.1813,0.65,1.8
8,0.6911,0.25,1.2
9,0.8405,0.4,1.3
10,0.5062,0.25,0.8
11,0.1551,0,0.4
12,1.2598,0.55,2.1
13,0.7955,0.25,1.55
14,0.8625,0.4,1.4
15,1.0246,0.45,1.65
16,1.0707,0.5,1.65
17,1.1025,0.5,1.8
18,1.0232,0.4,1.7
19,0.4974,0.2,0.85
20,0.7883,0.2,1.45
21,1.3713,0.75,2.15
22,2.1165,1.2,3.15
23,1.7694,0.8,2.8
24,0.9758,0.35,1.7
25,0.8367,0.45,1.3
26,1.3285,0.5,2.5
27,1.4698,0.75,2.25
28,1.7801,1.15,2.7
29,0.9521,0.55,1.4
30,0.7998,0.25,1.55
31,1.3559,0.55,2.35
32,2.049,1.55,2.6
33,2.2498,1.75,2.8
34,1.6967,0.95,2.55
35,2.6247,1.9,3.5
36,1.6295,0.9,2.5
37,1.8189,1.1,2.55
38,0.895,0.45,1.5
39,1.2027,0.5,2.05
40,1.1752,0.65,1.7
41,1.4685,0.85,2.1
42,0.8238,0.35,1.35
43,0.5925,0.25,0.95
44,0.8978,0.15,1.7
45,0.3959,0.2,0.6
46,1.4943,0.7,2.3
47,0.8475,0.55,1.15
48,0.455,0.15,0.8
49,0.55,0.25,0.85
50,1.1437,0.65,1.75
51,0.3924,0.1,0.7
52,0.9295,0.6,1.3
53,0.7369,0.5,1
54,0.8778,0.45,1.35
55,0.9374,0.6,1.3
56,0.5802,0.05,1.3
57,1.8724,1.3,2.5
58,1.273,0.5,2.1
59,1.6382,0.95,2.45
60,1.1354,0.65,1.7
61,1.9382,1.3,2.65
62,0.9926,0.6,1.4
63,1.6908,0.75,2.6
64,2.2102,1.35,3.05
65,2.0065,1.25,2.85
66,1.2958,0.75,1.8
67,0.7267,0.25,1.3
68,1.3412,0.8,1.9
69,1.2973,0.7,2
70,1.7648,0.8,2.7
71,1.7384,0.95,2.5
72,1.4363,0.65,2.25
73,1.182,0.5,1.95
74,0.9901,0.55,1.45
75,0.7341,0.15,1.45
76,0.889,0.4,1.45
77,0.5643,0.2,1
78,0.4488,0.1,0.9
79,0.3951,0.05,0.85
80,0.159,0,0.35
81,0.5541,0.2,1
82,0.716,0.2,1.4
83,0.2585,0.05,0.45
84,0.159,0,0.35
85,0.636,0,1.4
