Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.5356,0.25,0.85
2,0.3548,0.15,0.55
3,0.4452,0.25,0.7
4,0.2029,0.05,0.4
5,0.646,0.4,0.95
6,0.0966,0,0.25
7,0.7818,0.35,1.2
8,0.9403,0.5,1.4
9,0.1475,0,0.3
10,0.6036,0.35,0.85
11,0.2441,0.05,0.5
12,0.1975,0.05,0.4
13,0.7962,0.45,1.15
14,0.3045,0,0.7
15,0.198,0.05,0.35
16,0.8637,0.4,1.35
17,0.655,0.3,1.05
18,0.611,0.2,1.2
19,0.2971,0,0.7
20,1.0065,0.6,1.4
21,0.5947,0.2,1.1
22,1.1088,0.6,1.7
23,0.5718,0.15,1.15
24,1.1723,0.45,1.95
25,0.3927,0.1,0.75
26,0.9893,0.5,1.45
27,0.5915,0.2,1
28,1.8941,1.45,2.3
29,0.7441,0.45,1.1
30,0.3316,0.15,0.6
31,0.8528,0.5,1.2
32,0.9516,0.65,1.25
33,1.2532,0.8,1.65
34,1.055,0.6,1.6
35,1.8609,1.35,2.4
36,0.8841,0.5,1.35
37,1.0198,0.55,1.6
38,0.6649,0.3,1.05
39,0.9598,0.55,1.35
40,0.4829,0.15,0.9
41,0.8064,0.45,1.15
42,0.6762,0.25,1.1
43,0.4329,0.15,0.75
44,0.4468,0.15,0.8
45,0.0984,0,0.25
46,0.7418,0.3,1.2
47,0.5444,0.2,1
48,0.1478,0,0.3
49,0.0533999999999999,0,0.15
50,0.7092,0.4,1
51,0.7852,0.3,1.35
52,0.4475,0.15,0.85
53,0.2918,0.1,0.5
54,0.6495,0.35,1
55,0.1867,0,0.45
56,0.0473,0,0.15
57,0.8422,0.45,1.3
58,0.6407,0.3,1.05
59,0.6388,0.3,1.05
60,1.0467,0.7,1.5
61,0.9372,0.65,1.3
62,0.4989,0.15,1
63,0.705,0.35,1.15
64,0.5469,0.3,0.8
65,0.8485,0.55,1.15
66,0.8311,0.45,1.2
67,0.9514,0.5,1.4
68,0.8545,0.4,1.35
69,0.6894,0.35,1.05
70,1.1999,0.7,1.85
71,0.6966,0.4,1
72,0.8431,0.4,1.35
73,0.9475,0.4,1.5
74,0.2876,0.05,0.55
75,0.2875,0.1,0.5
76,0.4988,0.2,0.8
77,0.2383,0.05,0.45
78,0.7575,0.3,1.2
79,0.5112,0.1,0.9
80,0.199,0,0.5
81,0.2556,0.05,0.45
82,0.2585,0.05,0.45
83,0.0995,0,0.25
84,0.5141,0.2,0.9
85,0.159,0,0.35
