Week,Mean,LowerBound,UpperBound
0,0,0,0
1,19.7089,18.2,21.3
2,19.9465,18,22.15
3,21.8914,20.15,23.6
4,17.6616,14.8,20.4
5,21.0454,19.45,22.65
6,20.6392,19.15,22.25
7,21.8749,20.8,22.85
8,20.3834,18.75,21.95
9,20.7792,18.45,23
10,20.0548,18,22
11,21.4698,18.4,23.95
12,19.9039,17.35,22.3
13,20.5332,19.15,21.85
14,18.9333,16.9,21.1
15,19.2221,16.85,21.5
16,22.0123,20.5,23.95
17,18.5016,16.9,20.2
18,20.1426,18.6,21.55
19,21.803,20.25,23.45
20,20.4316,18.75,21.85
21,18.1663,16.3,20
22,20.3327,18.35,22.3
23,18.6861,17.7,19.75
24,21.4093,19.7,23.05
25,18.7746,16.8,20.7
26,16.3485,14.85,17.8
27,20.1075,18.35,22.05
28,20.5789,19.15,22.05
29,16.9627,15.8,18.05
30,20.0339,17.25,23.15
31,19.6152,18.35,21
32,20.6755,19.1,22.4
33,21.5363,18.95,24.1
34,17.0424,15.5,18.5
35,22.3696,20.45,24.1
36,19.8708,17.8,21.85
37,21.9979,20.55,23.35
38,20.2603,18.2,22.25
39,19.786,18.5,21.15
40,20.2147,18.55,22.25
41,19.6426,18.05,21.25
42,19.3143,17.3,21.2
43,18.1273,15.95,20.1
44,19.0078,17.7,20.6
45,21.3519,19.85,23.1
46,20.0288,18.2,21.75
47,20.4907,18.95,21.95
48,20.1727,18.85,21.6
49,20.3856,18.3,22.35
50,20.0169,17.8,22.3
51,19.8327,18.25,21.4
52,21.1765,19.5,23.1
53,22.9201,21.5,24.55
54,22.5767,21.05,24.05
55,17.4107,15.8,19.1
56,17.3629,15.6,19
57,17.6258,15.7,19.85
58,21.9233,19.4,24.5
59,19.0433,17.65,20.3
60,17.3231,15.5,19.25
61,17.9989,17,19
62,20.6677,18.6,22.5
63,18.3643,16.8,19.8
64,19.0753,16.45,22
65,18.8675,17.5,20.25
66,17.4922,16.1,18.9
67,20.7795,18.8,22.65
68,20.0825,18.25,21.9
69,19.7974,18.2,21.65
70,17.105,15.05,18.95
71,18.8711,16.7,20.9
72,18.0826,16.65,19.55
73,19.9336,17.9,21.95
74,20.9571,19.55,22.4
75,19.6143,17.75,21.4
76,20.0234,17.55,22.4
77,18.4356,16.55,20.5
78,18.6001,16.95,20.3
79,19.2319,17,21.15
80,18.1627,16.3,20.05
81,17.9236,15.6,20.1
82,16.3724,15.45,17.4
83,19.2654,17.9,20.6
84,20.7844,19.2,22.4
85,18.3605,16.35,20.55
