Week,Mean,LowerBound,UpperBound
0,0,0,0
1,174.9371,171.15,178.2
2,184.297,180.1,188.2
3,165.4882,161.95,168.85
4,169.8331,165.55,174.2
5,30.7738,28.85,32.8
6,33.9717,29.85,37.85
7,29.9152,26.65,33
8,31.3979,29.5,33.4
9,31.7794,30.1,33.7
10,34.8007,31.95,37.35
11,32.1076,30.4,34.3
12,32.4921,29.4,35.7
13,34.2662,31.75,36.5
14,33.1044,31.6,34.75
15,32.6754,29.9,35.65
16,35.8181,34.25,37.35
17,31.9247,30.25,33.6
18,31.005,29.45,32.55
19,34.3135,31.9,36.75
20,35.0057,32.15,37.85
21,31.6939,29.95,33.7
22,29.0165,26.65,31.4
23,32.1925,30.6,34.05
24,32.7129,29.8,35.5
25,31.0452,28.7,33.4
26,33.8695,31.15,36.8
27,32.0413,29.7,34.5
28,34.2797,31.1,37.3
29,31.4326,27.75,34.6
30,31.8453,28.45,35.3
31,33.6444,31.1,36.75
32,30.873,28.65,33.2
33,29.4389,26.9,32
34,30.6646,28.55,32.9
35,32.2575,29.4,34.95
36,32.414,29.8,34.8
37,35.7787,31.8,39.5
38,31.4998,29.9,33.2
39,34.443,32.35,36.85
40,31.9389,29.85,34.3
41,32.7716,30.6,34.8
42,31.7681,29.95,33.7
43,29.943,27.9,31.8
44,31.5668,28.85,34.55
45,31.8668,30,33.75
46,32.4384,29.85,34.95
47,34.1167,31.6,36.7
48,32.5922,30.5,35.15
49,33.3819,31.4,35.3
50,33.4364,30,36.6
51,33.9954,32.1,35.95
52,31.1441,29.35,32.75
53,34.2482,32.45,36.15
54,33.0418,30.9,35.45
55,31.946,29.45,34.9
56,32.3738,29.55,35.35
57,35.5064,33.3,37.65
58,31.9491,29.6,34.35
59,31.2873,29.2,33.05
60,31.5443,28.8,34.55
61,28.3754,25.3,31.75
62,35.9461,33,39.05
63,32.4303,29.95,34.7
64,31.6299,29.65,33.65
65,31.535,29.95,33.2
66,31.28,29.1,33.55
67,28.7415,26.9,30.85
68,31.0229,28.95,33.1
69,31.1068,29.25,33.4
70,31.8245,30.15,33.7
71,34.0748,30.75,37.05
72,29.8756,28.15,31.8
73,31.2226,29.6,32.75
74,30.0999,27.05,32.85
75,29.9666,27.8,32
76,29.8075,28.4,31.25
77,34.5849,32.3,36.5
78,31.3135,28.85,33.65
79,32.0542,30.2,34.05
80,30.3174,26.85,33.5
81,31.2143,29.1,33.3
82,29.7253,26.65,32.75
83,32.0394,29.75,34.15
84,32.3976,30.05,34.5
85,27.7481,25.55,30
