Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1026,0,0.25
2,0.1965,0,0.45
3,0.2439,0,0.55
4,1.4909,0.9,2.1
5,0.7519,0.3,1.3
6,0.9895,0.65,1.3
7,1.2321,0.75,1.7
8,1.7228,1.15,2.4
9,1.4704,1.05,1.95
10,1.2209,0.45,2.2
11,0.7974,0.4,1.25
12,1.1922,0.7,1.75
13,1.111,0.65,1.65
14,0.7584,0.4,1.2
15,0.9461,0.5,1.45
16,1.9851,1.3,2.65
17,2.2659,1.45,3
18,2.0766,1.2,3.05
19,0.932,0.2,2.05
20,1.808,1.25,2.45
21,1.5955,0.7,2.75
22,1.5395,0.95,2.2
23,2.023,1.2,2.85
24,1.6907,1,2.5
25,2.1408,1.35,3
26,2.4183,1.65,3.5
27,1.6565,1.1,2.3
28,2.1032,1.6,2.55
29,2.8269,2.1,3.65
30,3.1571,2.25,3.95
31,2.7432,1.55,4.1
32,4.0061,2.75,5.25
33,3.8215,2.8,4.9
34,3.412,2,5
35,4.7407,3,7.1
36,4.8104,3.55,5.9
37,5.0227,3.55,6.5
38,5.5602,3.9,7.05
39,4.0006,3,4.95
40,4.4769,3.25,5.75
41,3.1155,1.8,4.5
42,2.6261,1.75,3.45
43,2.5248,1.45,3.65
44,2.5979,1.75,3.4
45,3.1778,2.1,4.35
46,2.2637,1.35,3.25
47,2.2116,1.3,3.2
48,2.1371,1.15,3.35
49,1.8558,1.25,2.65
50,1.9551,1.05,3.05
51,1.4303,0.95,1.9
52,2.1638,1.25,3.25
53,1.7857,0.85,2.7
54,1.8496,1,2.8
55,1.9638,0.95,3.2
56,1.5529,0.55,2.9
57,1.0617,0.6,1.5
58,1.5203,0.75,2.5
59,2.4857,1.45,3.5
60,1.5345,0.55,2.75
61,2.3187,1.2,3.55
62,2.2994,0.95,3.85
63,1.3689,0.8,2.05
64,2.4532,1.55,3.45
65,2.3572,1.35,3.45
66,1.3513,0.6,2.5
67,1.5167,0.85,2.35
68,1.4703,0.8,2.3
69,1.3469,0.8,2.05
70,1.8656,1.25,2.55
71,1.5965,0.85,2.6
72,1.0523,0.5,1.8
73,1.4603,0.7,2.35
74,0.6338,0.3,1
75,0.9449,0.25,1.95
76,1.3591,0.6,2.25
77,0.9238,0.35,1.6
78,0.9208,0.4,1.6
79,0.8329,0.2,1.7
80,0.4453,0.05,1
81,0.5413,0.05,1.2
82,0.638,0,1.5
83,0.5473,0,1.8
84,0.4467,0,1.4
85,0.1509,0,0.6
