Week,Mean,LowerBound,UpperBound
0,0,0,0
1,2.3981,2.2,2.6
2,0.1492,0,0.3
3,0.4944,0.25,0.75
4,0.2004,0.05,0.4
5,1.1927,0.7,1.7
6,0.3567,0.15,0.6
7,1.5924,1.15,2
8,0.9332,0.6,1.35
9,0.2366,0,0.55
10,0.2534,0.05,0.45
11,0.1512,0,0.3
12,1.2551,0.85,1.65
13,0.7016,0.3,1.2
14,0.5707,0.2,1
15,0.6815,0.35,1.05
16,0.8124,0.55,1.15
17,0.2862,0.1,0.5
18,0.0941999999999999,0,0.3
19,0.1506,0,0.3
20,1.2555,0.95,1.6
21,0.4572,0.25,0.75
22,0.9134,0.55,1.35
23,0.9478,0.55,1.4
24,1.051,0.6,1.6
25,0.0946,0,0.25
26,1.1448,0.85,1.5
27,0.8904,0.55,1.2
28,1.7545,1.45,2.1
29,0.3964,0.2,0.6
30,0.605,0.3,0.95
31,1.5737,1,2.15
32,2.1557,1.6,2.7
33,1.5018,1.05,1.95
34,0.7372,0.35,1.2
35,1.8048,1.25,2.6
36,0.6526,0.35,1
37,1.2046,0.9,1.45
38,0.4943,0.2,0.8
39,1.4863,1.1,1.9
40,0.1954,0.05,0.4
41,1.2588,0.95,1.5
42,0.3968,0.2,0.6
43,0.1513,0,0.3
44,0.4435,0.2,0.7
45,0.7967,0.55,1.05
46,0.986,0.55,1.45
47,0.487,0.2,0.9
48,0.2951,0.1,0.5
49,0.2468,0.05,0.45
50,0.39,0.2,0.6
51,0.3505,0.15,0.55
52,0.5078,0.2,0.9
53,0.8545,0.6,1.1
54,1.0015,0.75,1.3
55,0.3532,0.15,0.55
56,0,0,0
57,1.5987,1.35,1.85
58,0.5111,0.25,0.8
59,1.0467,0.7,1.35
60,0.8589,0.55,1.2
61,1.0881,0.7,1.55
62,0.6523,0.45,0.85
63,0.4459,0.25,0.65
64,0.5898,0.3,0.95
65,0.6353,0.4,0.9
66,0.1508,0,0.3
67,0.7907,0.5,1.1
68,0.2476,0.1,0.45
69,0.4347,0.15,0.8
70,1.0885,0.75,1.45
71,0.3902,0.2,0.65
72,0.3379,0.1,0.6
73,0.1913,0.05,0.4
74,0.0502999999999999,0,0.2
75,0.2987,0.1,0.55
76,0.0974,0,0.25
77,0.0471,0,0.15
78,0.0967,0,0.25
79,0.0495999999999999,0,0.15
80,0.0999,0,0.25
81,0.0946,0,0.25
82,0.0502999999999999,0,0.2
83,0,0,0
84,0,0,0
85,0.0502999999999999,0,0.2
