Week,Mean,LowerBound,UpperBound
0,0,0,0
1,271.0655,265.35,276.55
2,279.8527,276.25,283.4
3,256.4621,248.45,265
4,270.8723,264.55,276.95
5,120.9297,117.2,125.6
6,130.1847,125.95,134.45
7,127.7418,123.45,132.45
8,129.6206,124.3,134.75
9,128.2556,126.3,130.2
10,122.0272,118.55,125.65
11,124.366,120,129.4
12,130.2073,124.95,135.1
13,131.2219,127.5,134.3
14,133.0485,128.9,138.2
15,127.1177,122.15,131.85
16,127.0895,122.05,132.05
17,125.8069,121.45,130
18,132.3088,126.85,138.05
19,125.9454,122.05,129.5
20,122.6064,117.8,127.75
21,122.2833,118.2,126.25
22,121.7371,118.45,125.2
23,121.6785,118.9,124.95
24,121.9666,118.6,125.75
25,124.6569,118.7,130.95
26,122.2937,118.5,126.9
27,130.9203,127,135.3
28,125.6245,123.05,128.95
29,126.9828,118.15,134.3
30,132.0133,129.2,135.05
31,124.5385,120.45,128.9
32,131.8404,125.75,137.7
33,127.3807,123.65,131.7
34,124.237,121.6,127.2
35,121.6553,115.65,126.9
36,130.2885,128.25,132.4
37,128.0447,122.55,133.25
38,128.0717,125.2,131
39,118.4815,115.65,122.1
40,123.5901,120.5,126.55
41,122.1608,118.7,125.55
42,127.0537,122.7,132.1
43,115.3381,109.8,121.15
44,119.9513,117.85,122
45,122.278,118.95,126.3
46,123.4679,117.75,129.1
47,119.3914,116.45,122.3
48,121.0721,117.15,125.85
49,119.5357,117.3,121.95
50,118.2746,114.65,121.7
51,120.4188,117.05,124.7
52,121.0333,117.45,124.45
53,125.6988,121.25,130.2
54,122.1147,119.2,126
55,122.7386,117.25,128.5
56,122.9612,119.65,126.45
57,125.7677,121.15,130.75
58,127.5972,121.35,133.55
59,128.6783,124.65,132.1
60,122.4683,119.3,125.6
61,124.3737,120.8,127.75
62,131.4167,126.8,136.25
63,119.4098,114,124.75
64,120.5994,116.4,124.7
65,123.2524,118.3,128.95
66,122.7596,118.7,126.85
67,116.0308,111.25,120.95
68,119.3109,115.75,123.45
69,132.8627,130.3,135.65
70,113.1351,108.05,118.45
71,116.7474,112.35,121.3
72,114.7372,111.45,118.05
73,120.9996,116.85,125.5
74,117.2869,111.75,122.65
75,109.6221,106,113.25
76,119.0583,113.95,123.9
77,119.9015,115.15,125.1
78,121.372,116.1,126.3
79,121.4599,118.85,123.7
80,118.7332,112.85,124.3
81,118.9863,113.8,123.9
82,119.7819,114.25,125
83,120.0333,116.4,123.6
84,118.188,113.65,122.2
85,122.3653,117.6,127.3
