Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,1.45,0.24,0,0,0.55,0.2,0.1,1.2,0.25,0,0.55,0.3,0.05,0.25,0.3,98.2,173.15,271.35,20.4,0.15,2.35,2.5,1.1,0.2,0.7,0.2,0.25,0.85,0.35,1.95,0.2,0.35,1.25,0.7,0.1,0.1,12.55,44.35,41.3,24.85,25.4,19.5,15.75,12.7,15.2,78.35,79.6,42.9,36.1,40,28.45,25.7,27.75,122.7,120.9,67.75,61.5,59.5,44.2,38.4,1.15,2.3,0.05,0.7,65.6,1.2,263336.4,260556.45,0.25,4.85,2774.85,3.15,0.05,3.1,19485,45685.55,19314.65,0.15,0.15,170.05,45436.25,0,0.9,248.4,0,0,19485,0,0,45685.55,4321.45,10191.95,1.35,1.4,50325.95,0.85
2,80,1.4,0.25,0.25,0,0.25,0,0.2,1.05,0.35,0,0.4,0.45,0.25,0.1,0.2,91,189.8,280.8,20.5,0,1.3,1.3,0.45,0.25,0.2,0,0.25,0.2,0.75,0.45,0.1,0.45,0.25,0.3,0.15,0.15,10.25,39.95,40.8,26.45,22.2,17,15.2,10.15,23.85,78.7,87.25,49.5,43.05,42,28.95,26.3,34.1,118.65,128.05,75.95,65.25,59,44.15,36.45,0.95,2.65,0,0.4,71.1,0.55,263345.3,260564.4,0.7,3.15,2777.05,2,0,2,19382.2,45865.95,19211.9,0.1,0.05,170.15,45616.45,0.05,0.65,248.8,0,0,19382.2,0,0,45865.95,4298.6,10241.25,0.75,1.2,50342.85,0.6
3,80,1.4,0.27,0.37,0,0.5,0.1,0.5,1,0.4,0,0.3,0.5,0.2,0.15,0.25,95.85,164.05,259.9,22.55,0.15,1.75,1.9,0.5,0.25,0.25,0,0.2,0.3,0.55,1.25,0.1,0.75,0.3,0.35,0.1,0.4,11.8,41.7,42.35,25.9,22.9,20.4,15.6,11.05,20.2,67.7,76.15,41,39.5,30.8,31.4,21.35,32,109.4,118.5,66.9,62.4,51.2,47,32.4,1.4,1.6,0.05,0.8,71.6,0.75,263353.7,260570.8,0.65,3.95,2778.3,2.4,0,2.4,19309.95,46021.95,19139.4,0.1,0.2,170.25,45771.8,0.4,0.7,249.05,0,0,19309.95,0,0,46021.95,4284.65,10284.05,1.2,1.3,50361.25,0.8
4,80,1,NaN,NaN,0,0.4,0.1,0.45,0.85,0.15,0,0.35,0.35,0.05,0.15,0.1,93.1,178.35,271.45,20.05,0,1.35,1.35,0.35,0.35,0,0,0,0.35,1,0.35,0,0.3,0.25,0.2,0.2,0.4,11.8,40.35,40.95,26.3,21.7,17.9,14.4,12.8,23,83.65,71.7,45.1,46.35,38.3,28.2,20.4,34.8,124,112.65,71.4,68.05,56.2,42.6,33.2,1.3,1.65,0,0.45,70.8,0.5,263362.9,260579.1,0.35,3.6,2779.85,2.25,0,2.25,19221.05,46191.95,19050.4,0,0.25,170.4,45941.35,0.3,0.95,249.35,0,0,19221.05,0,0,46191.95,4270.15,10323.8,1.1,1.4,50379.3,0.75
5,80,1,0.13,0.19,0,0.45,0,0.1,0.9,0.1,0,0.3,0.35,0.05,0.2,0.1,96.55,34.25,130.8,20,0,2.6,2.6,0.5,0.25,0.15,0.1,0.2,0.3,1.05,1.2,0.35,0.7,0.7,0.6,0.4,0.2,9.15,43.45,43.95,28.5,21.6,17.9,16.1,12.45,4.2,15.6,14.45,8.8,8.9,6.2,5.5,4.85,13.35,59.05,58.4,37.3,30.5,24.1,21.6,17.3,1.05,1.85,0,0.85,63.7,1.3,263379.2,260592.5,0.3,4.8,2781.6,3.15,0,3.15,19280.25,46218.35,19109.5,0,0.3,170.45,45967.3,0,1.05,250,0,0,19280.25,0,0,46218.35,4285.05,10333.55,1.4,2.15,50398.55,0.85
6,80,1.45,0.18,0.37,0,0.4,0.1,0.15,1.4,0.05,0,0.4,0.6,0.05,0.2,0.2,100.95,32.95,133.9,22.05,0.15,1.35,1.5,0.5,0.5,0,0,0.4,0.1,1.05,0.45,0,0.3,0.8,0.05,0.2,0.15,12.2,42.5,46.25,28.35,23.65,19.5,15.55,13.9,3.05,14.2,15.7,10.8,7.6,5.85,5.15,3.55,15.25,56.7,61.95,39.15,31.25,25.35,20.7,17.45,1.3,1.75,0.05,0.75,65.1,0.8,263394.1,260606.35,0.4,4.35,2783,3,0,3,19345.2,46241.9,19174.3,0,0.3,170.6,45990.75,0.05,0.75,250.35,0,0,19345.2,0,0,46241.9,4301.25,10345.3,1.1,1.75,50417.25,0.7
7,80,1.35,0.23,0.24,0,1.05,0,0.2,1.2,0.15,0,0.5,0.35,0.1,0.3,0.1,94.55,36.75,131.3,18.15,0.05,2.45,2.5,0.95,0.55,0.15,0.25,0.4,0.55,1.2,0.8,0.5,0.55,0.55,0.35,0.5,0.55,11.95,38.3,44.3,27.95,22.25,17.15,15.4,11.8,3.45,16.55,16.75,9.55,9.7,7.35,5.85,4.3,15.4,54.85,61.05,37.5,31.95,24.5,21.25,16.1,1.2,2,0,1.2,71.9,0.6,263402.2,260611.25,0.55,5.55,2784.85,3.75,0,3.75,19398.95,46269.8,19227.65,0,0.5,170.8,46018,0.05,1.25,250.5,0,0,19398.95,0,0,46269.8,4312.8,10357.75,1.45,1.65,50435.2,1.05
8,80,1.35,0.14,0.24,0,0.75,0.15,0.65,1.15,0.2,0,0.4,0.65,0.2,0.05,0.05,95.75,33.15,128.9,20.55,0.05,2.05,2.1,1.1,0.7,0.3,0.1,0.75,0.35,1.2,0.6,0.3,0.6,0.65,0.35,0.2,0.3,11.7,39.3,44.75,25.55,24.5,19,14.5,12.2,4.1,15.15,13.9,9.55,7.55,6.3,4.9,4.85,15.8,54.45,58.65,35.1,32.05,25.3,19.4,17.05,1.4,2.85,0.05,0.7,68.3,0.7,263413.9,260620.85,0.45,5.1,2787.5,3.2,0,3.2,19458.55,46293.85,19287,0,0.5,171.05,46041.15,0.15,1.4,251.15,0,0,19458.55,0,0,46293.85,4329.1,10368.5,1.2,1.5,50453.25,1.4
9,80,0.75,0.19,0.42,0,0.35,0.15,0.15,0.65,0.1,0,0.1,0.4,0.1,0.05,0.1,93.8,33.05,126.85,19.95,0.1,1.6,1.7,0.75,0.75,0,0,0.6,0.15,1.2,0.45,0.05,0.65,0.5,0.4,0.1,0.05,10.05,41,42.75,28.5,20.55,18.3,15.65,10.8,3,15.55,14.5,10.05,8.15,6.1,4.95,3.8,13.05,56.55,57.25,38.55,28.7,24.4,20.6,14.6,0.9,2.9,0,0.95,66.3,0.7,263427.6,260634.2,0.3,3.1,2790,2.1,0,2.1,19515.75,46318.6,19344,0.1,0.35,171.3,46065.75,0.05,0.65,252.15,0,0,19515.75,0,0,46318.6,4343.85,10380.5,1.25,1.15,50472.15,0.95
