Week,Mean,LowerBound,UpperBound
0,0,0,0
1,2.0485,1.75,2.3
2,2.9021,2.55,3.25
3,4.64,4,5.25
4,6.0605,5.2,6.95
5,9.8295,8.35,11.3
6,11.7927,9.6,13.95
7,15.9725,12.75,19.15
8,20.2453,15.85,25
9,22.6519,17.25,28.55
10,25.6118,18.95,32.6
11,28.1584,20.45,36.45
12,33.2244,23.8,43.55
13,38.0052,26.55,50.3
14,42.6725,29.2,57.6
15,48.5661,32.95,64.85
16,54.1981,36.75,71.95
17,58.8153,39.45,78.9
18,63.8946,43.1,86
19,69.4681,46.6,93.6
20,76.8246,52,102.75
21,84.1896,57.6,111.95
22,92.2976,63.7,122.9
23,101.3933,70.5,134.3
24,111.2428,78.35,146.6
25,121.1411,86.7,158.3
26,131.3863,94.6,170.8
27,142.2156,102.65,184
28,153.4011,111.7,197.15
29,165.8245,120.6,211.7
30,179.1658,128.7,229.95
31,194.7477,139.1,250
32,212.0625,151.35,270.75
33,230.1753,165,294.1
34,247.9975,177.15,316.6
35,267.9134,190.65,342.85
36,288.44,204.7,370.45
37,308.3019,218.55,396.75
38,330.298,233.2,424.3
39,351.5256,248.2,451.6
40,375.0325,263.8,482.05
41,401.1204,280,515.95
42,430.4892,300.2,553.1
43,462.7204,323.05,596.15
44,493.4003,342.85,637.9
45,523.8063,364.9,679.05
46,557.6031,388.85,723.85
47,592.5882,414.5,770.8
48,628.7609,436.75,821.2
49,666.3257,463.35,872.15
50,702.4614,489.55,916.45
51,743.2922,516.9,971.4
52,787.2402,547.65,1029.75
53,831.9323,578.6,1085.5
54,877.179,610.5,1141.7
55,924.2907,642,1198.6
56,969.6957,671.6,1255.1
57,1023.8516,710.7,1320.5
58,1075.274,743.6,1380.4
59,1132.0838,787.35,1443.6
60,1187.07,828.35,1515.4
61,1249.4665,874.8,1591.5
62,1311.6206,924.05,1670.05
63,1377.7779,976,1756.5
64,1443.233,1027.45,1843.65
65,1511.31,1087.9,1922.6
66,1575.7082,1140.55,1998.85
67,1648.3802,1200.4,2078.95
68,1720.6956,1261.8,2163.2
69,1792.4042,1328.75,2241.9
70,1865.5206,1392.15,2328.35
71,1940.4293,1454.45,2416.4
72,2013.232,1516.75,2500.25
73,2087.8214,1584.1,2585.4
74,2165.9269,1649.35,2674.3
75,2239.2497,1708.75,2759.65
76,2316.4575,1773,2844.85
77,2391.4265,1837.75,2930.4
78,2466.6515,1909.05,3014.25
79,2541.0756,1978.25,3096.1
80,2612.412,2050.9,3177.7
81,2690.8602,2127.1,3264.6
82,2767.135,2200.1,3346.85
83,2837.0353,2264.8,3424.55
84,2908.8789,2334.85,3501.45
85,2980.348,2405.6,3576.5
